logFC..nacl...control	logFC..h2o2...control	logFC..sorb...control	logCPM	F	PValue	FDR
KAF5840622	-3.71031712940896	0.186920349054137	-1.80317755508395	6.17768659644636	235.990316925165	4.47528143002126e-11	1.33994163229585e-07
KAF5836300	-1.63413813974005	-0.12399715696289	-0.543195778752792	11.8643071212812	233.427358806078	4.77822638505326e-11	1.33994163229585e-07
KAF5835155	-2.54362622705969	0.262087144901599	-1.17537953414072	5.54892784091998	222.019478541916	6.45236741073441e-11	1.33994163229585e-07
KAF5841941	5.91839182188727	0.209915039603881	4.69833989135388	8.68625698933465	196.253852665109	1.34999116285514e-10	2.10261123614689e-07
KAF5839176	3.04426886258209	-0.081089936882585	2.55358461951243	5.81437728979239	185.820444250789	1.87087353125486e-10	2.33110841994356e-07
KAF5842415	1.77130177285835	-0.421112217553162	0.984113512248167	10.5502029743479	168.176161554706	3.3915156888322e-10	3.52152379023743e-07
KAF5826491	3.15031547634186	-0.904970843454662	2.0687077542996	5.85854146676669	162.230173459626	4.2019161537406e-10	3.73970537682914e-07
KAF5827569	-1.4473403353601	0.0522555062511202	-0.790768084182012	8.10494222018556	152.788210463409	6.00154798465752e-10	4.67370549305204e-07
KAF5839890	1.32351213120635	0.16816830217522	1.08536112865128	9.97698929361047	143.812787134598	8.59620335592527e-10	5.95048298971271e-07
KAF5838121	2.3181317235556	-0.154259101124517	1.32979031552593	4.72491594652401	141.141382716947	9.60682529265184e-10	5.9850521573221e-07
KAF5826258	2.79252651169787	-0.325036233695855	1.69321531559621	4.39157955556571	135.63622663477	1.21595812187048e-09	6.65946077264055e-07
KAF5834205	2.71308368979797	0.190505904740247	2.01654693594428	6.76792444954488	133.695710715591	1.32420106928369e-09	6.65946077264055e-07
KAF5839763	2.45734926610424	-0.369535817395089	0.946547231867517	5.30067645454768	132.610434486358	1.38961460745309e-09	6.65946077264055e-07
KAF5834655	-1.21350597363627	-0.0653304298482996	-0.510283517989633	9.0160756157821	123.76210830881	2.08970384566612e-09	8.78230211161348e-07
