p.geomean	stat.mean	p.val	q.val	set.size	h2o2_1	h2o2_2	h2o2_3	Direction
Photosynthesis - antenna proteins	3.45812841870049e-11	0.794845084573365	9.40585688021187e-30	6.01974840333559e-28	19	6.66666803757883e-10	8.79007465547007e-12	8.5325902544572e-12	Downregulated
Oxidative phosphorylation	3.66114471217826e-10	0.367383529084777	4.74891389649942e-25	1.51965244687981e-23	85	6.02533081532789e-06	4.27775878703183e-13	1.90415563399196e-10	Downregulated
Photosynthesis	1.20442307092206e-08	0.34869922581316	5.71468643547041e-22	1.21913310623369e-20	74	4.56630770994989e-06	6.27262663098563e-10	7.0695521992885e-10	Downregulated
Glyoxylate and dicarboxylate metabolism	7.61025417172167e-08	0.39229203921316	2.53787719308021e-18	4.06060350892833e-17	53	7.4271978367544e-05	3.24994009485072e-07	2.55195233868744e-10	Downregulated
Cysteine and methionine metabolism...5	1.15958958429296e-07	0.361731836419578	4.68525629130878e-17	5.99712805287524e-16	68	0.000109157273750669	3.96360990877645e-09	4.09354076108932e-07	Downregulated
Porphyrin metabolism	2.21787921300174e-06	0.325515698919339	1.42996336149793e-15	1.52529425226445e-14	61	1.29020652123357e-05	1.09553169972888e-06	1.09430475324439e-06	Downregulated
Carbon fixation by Calvin cycle	2.30576062717301e-06	0.326023205924458	4.83914890993059e-15	4.42436471765082e-14	59	3.98777874729935e-05	1.54098211379445e-05	5.80513564060418e-08	Downregulated
Glycine, serine and threonine metabolism	3.28269959233027e-06	0.336241534562657	1.65162431441765e-14	1.32129945153412e-13	57	5.91427403336868e-05	3.13402628406017e-07	8.28734552045392e-06	Downregulated
Glycolysis / Gluconeogenesis	9.26010865713963e-06	0.282290153077655	8.70966725966474e-13	6.19354116242826e-12	78	0.000740976263819093	6.03661844053835e-08	8.95423933179405e-05	Downregulated
Fatty acid biosynthesis	2.79222292926763e-05	0.367497167204451	3.25394911402129e-12	2.08252743297363e-11	38	4.45903887803997e-05	9.13742409573856e-05	1.13866196261854e-05	Downregulated
Alanine, aspartate and glutamate metabolism	1.82563070725306e-05	0.383188295194297	4.02488788743339e-12	2.34175295268852e-11	36	0.000460818937784418	1.26296500182519e-05	7.8979553995601e-06	Downregulated
Pyruvate metabolism	2.04460832468651e-05	0.269117584827347	7.11123410622779e-12	3.79265818998815e-11	76	0.000357307722054253	5.4805045944273e-06	4.42969214642552e-05	Downregulated
Citrate cycle (TCA cycle)	1.35533087302833e-05	0.422578074162484	3.02317822091662e-11	1.43606879469596e-10	37	0.00455237122730332	5.08570116795456e-06	8.14428309347413e-06	Downregulated
Pentose phosphate pathway	4.21719869357404e-05	0.359983303805921	3.14140048839742e-11	1.43606879469596e-10	38	0.0015718934821353	1.12762800150741e-05	1.80716225458665e-05	Downregulated
Methane metabolism	6.10451830280833e-05	0.339677945549153	3.42299981650625e-11	1.46047992170933e-10	41	0.000349605435265045	6.61993177341121e-05	2.17511819580246e-05	Downregulated
Sulfur metabolism	5.89830109681585e-05	0.415988191457385	4.75898990704024e-11	1.9035959628161e-10	27	0.000619964039778495	2.2555003159292e-06	0.000339214456715948	Downregulated
Phenylalanine, tyrosine and tryptophan biosynthesis	2.46364706565056e-05	0.471750841001701	5.77145117086055e-11	2.17278161726515e-10	26	2.05075577403906e-06	1.89949198614927e-06	0.026482934303974	Downregulated
Nitrogen metabolism	0.000177021949338698	0.365554279499424	4.24855666150324e-10	1.51059792409004e-09	32	0.000232375841272055	0.000121056488800389	0.000274139207748735	Downregulated
One carbon pool by folate	3.22764303796059e-05	0.469301804797695	9.99005625089635e-10	3.3650715792493e-09	28	0.11024839600411	2.92964043251519e-07	1.53790507291189e-05	Downregulated
Lipoic acid metabolism	0.000195223643298382	0.400895834048412	6.9764189888945e-09	2.23245407644624e-08	32	0.0356551103107156	3.45191284483587e-05	2.62146106446551e-05	Downregulated
Starch and sucrose metabolism	0.000452274513261392	0.224711629108594	1.12921375543829e-08	3.44141334990717e-08	76	0.000684942064571532	0.00485107962680055	4.87755946753736e-05	Downregulated
Inositol phosphate metabolism	0.000263530821888457	0.326192571559228	1.28673204784999e-08	3.74322050283634e-08	38	0.00575837444488223	6.86281156503044e-05	0.000475266424241736	Downregulated
Arginine biosynthesis	0.000563566369734244	0.369171669865279	2.09386033027943e-08	5.82639396251668e-08	27	0.00151914359948389	0.00022289829249351	0.00125893920764878	Downregulated
Thiamine metabolism	0.000733429651737005	0.334122066856246	6.61159219294266e-08	1.76309125145137e-07	33	0.00381024590392994	0.00296589964998782	0.000100459047416284	Downregulated
Valine, leucine and isoleucine biosynthesis	0.000411232386928399	0.508523712157819	9.53958727469209e-08	2.44213434232117e-07	17	0.0399466124870901	2.11072936462777e-06	0.00380155384520272	Downregulated
Pyrimidine metabolism...26	0.000977818828771855	0.304878770768481	1.92263470717037e-07	4.73263927918859e-07	48	0.00181471467716473	0.000996731627507647	0.00261275472850335	Downregulated
Glycerophospholipid metabolism	0.00186977007122767	0.233441302408731	4.83770338372882e-07	1.14671487614313e-06	56	0.000925644585512544	0.010680505734762	0.00107331755391813	Downregulated
Purine metabolism...28	0.00137619811245242	0.165132989219318	8.34023528786598e-07	1.90633949436937e-06	161	0.000483782433643718	0.000691353262398474	0.0360532049395962	Downregulated
Terpenoid backbone biosynthesis	0.00258057083830444	0.3269252181566	1.19916086278044e-06	2.6464239730327e-06	27	0.00587494527840225	0.000661837585041753	0.00736386386783128	Downregulated
Fructose and mannose metabolism	0.00179712936906648	0.316409950062745	1.72364831904217e-06	3.67711641395663e-06	35	0.00825806802560725	0.0171567530974888	0.000210274449806386	Downregulated
Ascorbate and aldarate metabolism	0.00141583653405462	0.371005333515377	1.95142893454483e-06	4.02875651002805e-06	27	0.00132010381988087	0.0117506469393028	0.00322465695936411	Downregulated
Amino sugar and nucleotide sugar metabolism	0.00284404834263192	0.248688177827092	2.34226181142838e-06	4.68452362285675e-06	47	0.00927891171113886	0.0231236867332777	0.000170050536767898	Downregulated
Glutathione metabolism	0.00391349330575013	0.222816474643128	3.82899199557452e-06	7.42592387020514e-06	54	0.0134795009395531	0.00171227652628608	0.00451140553665096	Downregulated
Purine metabolism...34	0.00358151788943897	0.165132989219318	7.51953888388533e-06	0.000481250488568661	161	0.00324273279918209	0.0627237691513962	0.000593384035047446	Upregulated
Selenocompound metabolism	0.00463974181140098	0.403384015980998	1.32616432815086e-05	2.49630932357809e-05	18	0.0430722622329463	0.00121257237765982	0.00572806967857881	Downregulated
Other carbon fixation pathways	0.00493225897074072	0.326151338367091	2.46820225736293e-05	4.51328412774936e-05	26	0.0345193154233549	0.0152562329843915	0.00115111481389469	Downregulated
Pyrimidine metabolism...37	0.00467793854578253	0.304878770768481	2.56732497960148e-05	0.000821543993472473	48	0.00339444262691703	0.022479070424392	0.0106756290305136	Upregulated
Nicotinate and nicotinamide metabolism	0.00492156617375945	0.349373414498526	5.13560842380606e-05	8.98221327809319e-05	24	0.00134860775664732	0.329715934873488	0.00050727736468431	Downregulated
Biotin metabolism	0.0109659134567023	0.331877722396238	5.19284205139762e-05	8.98221327809319e-05	20	0.00384596277536844	0.0396497151068822	0.0106474481664871	Downregulated
Drug metabolism - other enzymes...40	0.00634741691224695	0.302730210021732	6.92889467991708e-05	0.00147816419838231	39	0.00764568445931923	0.00654141818615018	0.045189358518334	Upregulated
Folate biosynthesis	0.0139953910208084	0.239249845452531	8.074262981892e-05	0.000135987587063444	37	0.0149840060761987	0.0107370845233032	0.0194867406500417	Downregulated
Fatty acid degradation	0.0111486854116374	0.309565068908845	0.000142030879339758	0.000233076314813963	25	0.120967566086335	0.0342134690401057	0.000493886027511139	Downregulated
Arginine and proline metabolism	0.0119880261727797	0.269830956480314	0.000167049729079212	0.000267279566526739	36	0.0019563797542083	0.0184370663887283	0.107275594060281	Downregulated
Tryptophan metabolism	0.00926016403263364	0.333133487246436	0.00018495595386894	0.000288711732868589	20	0.0162781022793585	0.051629046286334	0.00818667833876087	Downregulated
Pentose and glucuronate interconversions	0.016133701938817	0.368964628123899	0.000280355832963968	0.000427208888326046	15	0.0624895394223896	0.0231967438566691	0.0071533368979031	Downregulated
Glycerolipid metabolism	0.0176171146302863	0.21622145192045	0.000372138115922627	0.000553879986489491	43	0.0192680364824294	0.0361201112408563	0.0241325360306379	Downregulated
Cysteine and methionine metabolism...47	0.00585819877425309	0.361731836419578	0.000413006331629709	0.00660810130607534	68	0.00220374264106861	0.143408461454005	0.0301017745066815	Upregulated
Other types of O-glycan biosynthesis	0.0229742576641295	0.376733749055178	0.000994569332734369	0.00141900229510692	15	0.0235914945981026	0.0128872250928027	0.126936496200987	Downregulated
Galactose metabolism	0.0298365510071854	0.218325804187614	0.000997735988747056	0.00141900229510692	36	0.0527376336519572	0.04107502773503	0.0229457217324691	Downregulated
Propanoate metabolism	0.0148171073684212	0.27973544620777	0.00166060113379017	0.00231040157744719	39	0.525798238254735	0.0374663683462223	0.000376237234883082	Downregulated
Drug metabolism - other enzymes...51	0.0205946438660572	0.302730210021732	0.00220789585530679	0.00300649648382201	39	0.174336376316482	0.0412046419538539	0.012010275136722	Downregulated
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.04102334628358	0.252761313246131	0.00297607141665556	0.00396809522220741	23	0.0458386138237272	0.117877417278439	0.0292746209823626	Downregulated
Carotenoid biosynthesis	0.0421406202403754	0.262595649269115	0.00337079550739072	0.00440267168312257	22	0.0416398733364889	0.0918465714556002	0.0514144723075143	Downregulated
Valine, leucine and isoleucine degradation	0.047870890642666	0.272160049098026	0.00689181734888406	0.0088215262065716	25	0.189698602180713	0.0933250140754403	0.0194036172617964	Downregulated
Biosynthesis of unsaturated fatty acids	0.0263041692304981	0.371062405175812	0.00952088608526147	0.0119477786167987	18	0.797431325547957	0.0534360514766462	0.000516779095727461	Downregulated
Various types of N-glycan biosynthesis	0.0558950888435235	0.296072075158168	0.0103589798212693	0.0127495136261776	20	0.109057726591811	0.0306047631520623	0.183303464490476	Downregulated
Ubiquinone and other terpenoid-quinone biosynthesis	0.0642446430592244	0.292271444411887	0.0237706319576412	0.0287041593450762	22	0.0170811699369087	0.600051585000392	0.0585227948442392	Downregulated
N-Glycan biosynthesis	0.066462344175906	0.265285041777527	0.0315097546274422	0.0373448943732649	30	0.143123119397007	0.0460087844290677	0.319630093658344	Downregulated
