p.geomean	stat.mean	p.val	q.val	set.size	sorb_1	sorb_2	sorb_3
Glycolysis / Gluconeogenesis	9.97619582167187e-05	0.252471700628106	1.14000630134019e-10	7.29604032857724e-09	78	0.000374571778332159	3.43683886827523e-05	0.000140774697564681
Starch and sucrose metabolism	0.000186628749544511	0.233699935848653	1.96715849576957e-09	6.29490718646262e-08	76	0.00119447406788295	0.00450457356172744	2.71184955990368e-06
Fructose and mannose metabolism	0.000439615050438386	0.331264709828282	5.08831330263896e-09	1.08550683789631e-07	35	0.00112322608046998	0.000440913989225887	0.000200465167085555
Pyruvate metabolism	0.00173484681160443	0.233188733457522	6.30424540039126e-07	9.14240881764573e-06	76	0.00716367271653482	0.000706287977663082	0.00295980786175203
Glycerolipid metabolism	0.00196368101991285	0.262495940742282	8.46686601009739e-07	9.14240881764573e-06	43	0.00296899549871494	0.0172325600941587	0.000306877039502232
Pentose phosphate pathway	0.00253402431991125	0.294521104630058	8.57100826654287e-07	9.14240881764573e-06	38	0.00623923755256819	0.00554597827880322	0.000579304245049105
Inositol phosphate metabolism	0.00594087345248379	0.282575297667533	2.59348888550626e-05	0.000237118983817715	38	0.0126038267375039	0.00866033479482258	0.00838661648846458
Citrate cycle (TCA cycle)	0.00724557496356935	0.387385931652952	8.95337636381488e-05	0.000654734574875824	37	0.0148936855113526	0.0118990882566668	0.019869092516187
Fatty acid degradation	0.0119400167393635	0.305101786076082	9.20720495919128e-05	0.000654734574875824	25	0.0363970164783671	0.00859684959354932	0.0106981341869969
Glycerophospholipid metabolism	0.0140220623194593	0.213067033839869	0.000328297750860419	0.00192290281643668	56	0.0338888792535578	0.214725296454551	0.000510566071360647
Riboflavin metabolism	0.0138706546789497	0.386994623287795	0.000330498921575055	0.00192290281643668	16	0.0030416478242427	0.0430481146712061	0.0751496010072991
Carbon fixation by Calvin cycle	0.0195135170457801	0.264762616271281	0.000396945141576834	0.00211704075507645	59	0.0710318981045867	0.00638711835595943	0.0319602146908004
Tryptophan metabolism	0.0297365756397973	0.317376713814316	0.00112390565191718	0.00553307397866918	20	0.0754781625981501	0.061846628461688	0.0102670267103955
Purine metabolism	0.0319319243543488	0.17725267032022	0.00142748811661899	0.00652565996168682	161	0.00537627450010855	0.13205634181155	0.0669064528710002
Pentose and glucuronate interconversions	0.0317652033659362	0.365923249071466	0.00178537666038884	0.00761760708432573	15	0.110613915491945	0.114806076517635	0.00436825864771348
Methane metabolism	0.0371626246885434	0.356904883216147	0.00221926848552058	0.00887707394208234	41	0.0871368393688291	0.0341098152649158	0.0404179944337054
Amino sugar and nucleotide sugar metabolism	0.0404314642585783	0.235274390319047	0.00263309747607023	0.00991283755697029	47	0.140008406151316	0.12036674598446	0.00494752587903039
