p.geomean	stat.mean	p.val	q.val	set.size	h2o2_1	h2o2_2	h2o2_3
Photosynthesis - antenna proteins	3.45812841870049e-11	0.794845084573365	9.40585688021187e-30	6.01974840333559e-28	19	6.66666803757883e-10	8.79007465547007e-12	8.5325902544572e-12
Oxidative phosphorylation	3.66114471217826e-10	0.367383529084777	4.74891389649942e-25	1.51965244687981e-23	85	6.02533081532789e-06	4.27775878703183e-13	1.90415563399196e-10
Photosynthesis	1.20442307092206e-08	0.34869922581316	5.71468643547041e-22	1.21913310623369e-20	74	4.56630770994989e-06	6.27262663098563e-10	7.0695521992885e-10
Glyoxylate and dicarboxylate metabolism	7.61025417172167e-08	0.39229203921316	2.53787719308021e-18	4.06060350892833e-17	53	7.4271978367544e-05	3.24994009485072e-07	2.55195233868744e-10
Cysteine and methionine metabolism	1.15958958429296e-07	0.361731836419578	4.68525629130878e-17	5.99712805287524e-16	68	0.000109157273750669	3.96360990877645e-09	4.09354076108932e-07
Porphyrin metabolism	2.21787921300174e-06	0.325515698919339	1.42996336149793e-15	1.52529425226445e-14	61	1.29020652123357e-05	1.09553169972888e-06	1.09430475324439e-06
Carbon fixation by Calvin cycle	2.30576062717301e-06	0.326023205924458	4.83914890993059e-15	4.42436471765082e-14	59	3.98777874729935e-05	1.54098211379445e-05	5.80513564060418e-08
Glycine, serine and threonine metabolism	3.28269959233027e-06	0.336241534562657	1.65162431441765e-14	1.32129945153412e-13	57	5.91427403336868e-05	3.13402628406017e-07	8.28734552045392e-06
Glycolysis / Gluconeogenesis	9.26010865713963e-06	0.282290153077655	8.70966725966474e-13	6.19354116242826e-12	78	0.000740976263819093	6.03661844053835e-08	8.95423933179405e-05
Fatty acid biosynthesis	2.79222292926763e-05	0.367497167204451	3.25394911402129e-12	2.08252743297363e-11	38	4.45903887803997e-05	9.13742409573856e-05	1.13866196261854e-05
Alanine, aspartate and glutamate metabolism	1.82563070725306e-05	0.383188295194297	4.02488788743339e-12	2.34175295268852e-11	36	0.000460818937784418	1.26296500182519e-05	7.8979553995601e-06
Pyruvate metabolism	2.04460832468651e-05	0.269117584827347	7.11123410622779e-12	3.79265818998815e-11	76	0.000357307722054253	5.4805045944273e-06	4.42969214642552e-05
Citrate cycle (TCA cycle)	1.35533087302833e-05	0.422578074162484	3.02317822091662e-11	1.43606879469596e-10	37	0.00455237122730332	5.08570116795456e-06	8.14428309347413e-06
Pentose phosphate pathway	4.21719869357404e-05	0.359983303805921	3.14140048839742e-11	1.43606879469596e-10	38	0.0015718934821353	1.12762800150741e-05	1.80716225458665e-05
Methane metabolism	6.10451830280833e-05	0.339677945549153	3.42299981650625e-11	1.46047992170933e-10	41	0.000349605435265045	6.61993177341121e-05	2.17511819580246e-05
Sulfur metabolism	5.89830109681585e-05	0.415988191457385	4.75898990704024e-11	1.9035959628161e-10	27	0.000619964039778495	2.2555003159292e-06	0.000339214456715948
Phenylalanine, tyrosine and tryptophan biosynthesis	2.46364706565056e-05	0.471750841001701	5.77145117086055e-11	2.17278161726515e-10	26	2.05075577403906e-06	1.89949198614927e-06	0.026482934303974
Nitrogen metabolism	0.000177021949338698	0.365554279499424	4.24855666150324e-10	1.51059792409004e-09	32	0.000232375841272055	0.000121056488800389	0.000274139207748735
One carbon pool by folate	3.22764303796059e-05	0.469301804797695	9.99005625089635e-10	3.3650715792493e-09	28	0.11024839600411	2.92964043251519e-07	1.53790507291189e-05
Lipoic acid metabolism	0.000195223643298382	0.400895834048412	6.9764189888945e-09	2.23245407644624e-08	32	0.0356551103107156	3.45191284483587e-05	2.62146106446551e-05
