p.geomean	stat.mean	p.val	q.val	set.size	h2o2_1	h2o2_2	h2o2_3
Starch and sucrose metabolism	0.000434559268106635	-3.3786159298392	5.16284979353093e-09	3.8721373451482e-07	76	0.000314305961948595	0.00176063220496711	0.000172195337420194
Pentose phosphate pathway	0.0194298585836527	-2.05062681049538	0.000256146093308125	0.00960547849905469	38	0.0448282162334195	0.0283967595131358	0.0078576687375614
Carbon fixation by Calvin cycle	0.0330855313819602	-1.69256077816509	0.0019369127257743	0.0484228181443574	59	0.101857308549298	0.0436931944683257	0.0215767765442387
Fructose and mannose metabolism	0.051650523331803	-1.63117679492115	0.00272173607135291	0.0510325513378671	35	0.109995728163321	0.0378778914038584	0.0350004338488339
Glycerolipid metabolism	0.0601585797150388	-1.50212296478508	0.00511242153705748	0.0744114835006397	43	0.0243672682876849	0.113099081610198	0.102574676469027
Sphingolipid metabolism	0.0718691677082456	-1.46787093589369	0.00681207110429114	0.0744114835006397	16	0.100392264969506	0.0924025817332599	0.0476989555211562
Glycerophospholipid metabolism	0.070339382187691	-1.40906140952301	0.00781570379894383	0.0744114835006397	56	0.0326496579763789	0.240158791241155	0.050702366090414
Nicotinate and nicotinamide metabolism	0.055720849312494	-1.43489784173148	0.0079372249067349	0.0744114835006397	24	0.0292078418034267	0.471900387741519	0.0134046709173074
Galactose metabolism	0.0936094456954445	-1.30182521019425	0.0129201375767383	0.107667813139485	36	0.128246380342228	0.0937270682406869	0.0796859103453295
Inositol phosphate metabolism	0.122539697613438	-1.12036806334691	0.0274080241480679	0.205560181110509	38	0.0466361718999014	0.27108808333865	0.149587767961
Pentose and glucuronate interconversions	0.148042725860953	-0.969099510943704	0.0517655629237677	0.350411610508035	15	0.378674087005194	0.135666395172222	0.0791570609516973
Fatty acid degradation	0.170007851661186	-0.927514983482137	0.0564015049975279	0.350411610508035	25	0.198317718660844	0.273103475449651	0.0975830031232914
alpha-Linolenic acid metabolism	0.157953363466218	-0.92596298598219	0.0607380124880594	0.350411610508035	13	0.283140368209212	0.265042871956386	0.0693226513467921
Glycolysis / Gluconeogenesis	0.161790008874958	-0.840289664063307	0.0739725742718232	0.396281647884767	78	0.357904398867597	0.105823461251872	0.185965060170219
Metabolism of xenobiotics by cytochrome P450	0.210532281453772	-0.749605634767094	0.100322494078229	0.501612470391147	21	0.094485035291008	0.307473558590456	0.344623574462384
Methane metabolism	0.196179452750913	-0.697901185046511	0.116108534085829	0.544258753527323	41	0.395573776397602	0.275585702067319	0.113447127119294
Drug metabolism - cytochrome P450	0.239697558083941	-0.650219376733352	0.133882109227941	0.590656364240918	18	0.105073730736098	0.344972466012213	0.394575247704717
Valine, leucine and isoleucine biosynthesis	0.156896776700161	-0.615120535585009	0.158772818250428	0.661553409376785	17	0.566662746173317	0.0337287646619066	0.471905803027878
Carotenoid biosynthesis	0.297768976365302	-0.502855310387151	0.194125930990831	0.737798803731685	22	0.277141880784979	0.386181723608823	0.269686481541819
Cyanoamino acid metabolism	0.277141330302989	-0.506017597162167	0.19694355565884	0.737798803731685	10	0.281119557696525	0.400575783887786	0.25934954013436
Tryptophan metabolism	0.256973977290364	-0.479470035402712	0.207223060841123	0.737798803731685	20	0.426479396194314	0.413622751989184	0.156262778896397
Arachidonic acid metabolism	0.307581486189321	-0.461019919208103	0.216420982427961	0.737798803731685	13	0.234188007173388	0.437638561882184	0.316884089796207
Pyruvate metabolism	0.303150507627887	-0.370928270952741	0.261299577736794	0.808251045803893	76	0.392266217923913	0.263688631493013	0.419980137464695
Tyrosine metabolism	0.337288268856778	-0.370625938628488	0.262519693887825	0.808251045803893	21	0.236572984080991	0.423983498267998	0.423948339441282
beta-Alanine metabolism	0.337613528328065	-0.358053866889079	0.269417015267964	0.808251045803893	25	0.306643237445872	0.552682944426148	0.244615100452126
Arginine and proline metabolism	0.249840214806142	-0.252924148359883	0.336107530942359	0.969540954641419	36	0.033596338290639	0.720508127702418	0.696088528257322
Ubiquinone and other terpenoid-quinone biosynthesis	0.371616002767178	-0.221999577654941	0.352579219582343	0.979386721062065	22	0.232784972513166	0.565967434481787	0.463444154372128
Fatty acid elongation	0.362098993213756	-0.158393799973489	0.394458315142249	0.999999985242449	11	0.599325575735456	0.398220455076465	0.323710996037019
Phenylalanine metabolism	0.426612930979808	-0.132197380769227	0.410707629067276	0.999999985242449	15	0.30273708658635	0.553798591030876	0.496135420737225
Butanoate metabolism	0.467509003696513	-0.0510773782732384	0.465128955791035	0.999999985242449	16	0.485653470587399	0.427769533475487	0.526484291953115
Ascorbate and aldarate metabolism	0.450368954293143	-0.0228312811742088	0.484733157427467	0.999999985242449	27	0.250853757671163	0.660192706008923	0.5763315995444
Cutin, suberine and wax biosynthesis	0.453111531576634	-0.00549694463872262	0.496670234178059	0.999999985242449	13	0.360297871961875	0.576135066054495	0.560087180749699
Alanine, aspartate and glutamate metabolism	0.437758889260694	0.0442489123158859	0.530931716983547	0.999999985242449	36	0.46801640707397	0.597903622820491	0.486741869737963
