Reaction	Pvalue	Padj	Reject	FC
T_COth__chlomem	0.0	0.0	True	-0.6797406129065997
BMGR5295__er	1.8907611080918637e-44	2.7783233235319823e-44	True	-0.012390881091808014
BMGR4709__chlomem	2.213168348420243e-151	4.648671860677182e-151	True	0.03318041344009052
BMGR0188__er	0.9960156012411452	1.0	False	-0.31182795698924726
BMGR3936__ermem	1.6033408609680853e-78	2.7108337149330775e-78	True	-0.026884958659584984
RXN0_6427__cytop	0.03379876165411855	0.03560569545024258	True	-0.004017811678629933
RXN_14384__chlo	0.0	0.0	True	0.14568389008533442
R01057__chlo	1e-323	2.5e-323	True	0.11075880128453335
BMGR4795__ermem	0.0	0.0	True	0.4381461761442126
R04737__pero	8.640619513491106e-293	2.291060682231572e-292	True	0.2546280354051327
BMGR3323__er	0.0018791907538100322	0.002019263819021451	True	0.014861517676199134
T_FA160th__chlomem	7.659690659636285e-123	1.4996349332911927e-122	True	-0.04056453848001253
R03656__cytop	0.0	0.0	True	0.05391544965411214
T_CO2th__chlomem	2.9468187945683056e-267	7.564514225232042e-267	True	-0.04649203205285232
T_FADH2tx__permem	0.0	0.0	True	0.20934606264467573
R03503__cytop	3.5727044438965934e-12	4.299489223125118e-12	True	-0.4166666666666667
R01021__cytop	1.6531707581442144e-66	2.634109776938338e-66	True	0.03316912972085383
BMGR3613__er	2.6178468215319457e-55	3.972455647742936e-55	True	-0.015704823962559157
RXN_17790__pero	1e-323	2.5e-323	True	0.13408962178011682
FACOAL183__cytop	0.0	0.0	True	0.4567068906779509
R10121__mito	3.3062501651831954e-179	7.410654011814053e-179	True	0.2773737373737372
TR2900012th__chlomem	3.101038755709402e-08	3.594475307612379e-08	True	0.03772617935823955
BMGR5769__er	8.947082709586518e-46	1.3225072607424432e-45	True	0.16357534004592836
BMGR3251__er	3.8795207636072686e-61	6.085914874868447e-61	True	0.05765033744082193
R00191__cytop	4.732707608876252e-14	5.810347889158249e-14	True	-0.05841261586249446
BMGR4814__ermem	0.0	0.0	True	-3.261003363629857
R04798__chlo	0.014473851205715274	0.015324266893101714	True	0.0017850741988673494
TR2918366tm__mitmem	0.0	0.0	True	-0.9687635786133478
T_4HBZth__chlomem	2.4490978168913404e-128	4.832909885061513e-128	True	0.046470821305258404
BMGR0131__er	4.768465772736311e-13	5.79708289015746e-13	True	0.09309929731193817
BMGR1095__er	0.9998939179661921	1.0	False	-1.0
R08539__er	1.1457765804065715e-48	1.706515526771941e-48	True	-0.0002411031357915878
I2FE2SR__mito	3.3062501651831954e-179	7.410654011814053e-179	True	0.2773737373737372
T_LIPOtm__mitmem	1.098708036276576e-168	2.3978974592522243e-168	True	-0.03513403098582691
R03105__mito	2.5115321617812634e-159	5.35337477908084e-159	True	0.09782924930212877
R01830__chlo	1.1365288461626946e-160	2.4453672503060648e-160	True	-0.023779059052932674
R02327__cytop	3.1179832214721115e-30	4.341716341439813e-30	True	0.05312147235816939
BMGR3867__ermem	1.7554371023281302e-84	3.088081068257385e-84	True	-0.02085846838891029
T_ACth__chlomem	1e-323	2.5e-323	True	-0.10320356053451166
T_FADth__chlomem	1.491853362038266e-263	3.8011035894165685e-263	True	-0.9152721981648965
R02413__chlo	0.0	0.0	True	0.05398959585303767
BMGR4803__ermem	9.254702737244502e-20	1.196254402893473e-19	True	0.08916347109785544
R03460__chlo	0.0	0.0	True	0.05398959585303767
R00085__cytop	0.0	0.0	True	-1.0
BMGR0422__chlo	2.375032079120672e-102	4.419302217874674e-102	True	-0.11248740445820722
BMGR0980__er	1.6494790145430137e-32	2.3216459510962563e-32	True	-0.6695245518316446
BMGR1649__er	0.08118453676750115	0.08464577320372503	False	0.03334936885872622
R00292__chlo	1.1984341784078613e-16	1.501606228114882e-16	True	0.09611531059659162
R00475__pero	5.029742288342833e-35	7.19397604583343e-35	True	-0.033957877363628514
BMGR1551__er	0.0	0.0	True	0.49159281981367875
BMGR4738__ermem	1.5057845535221732e-122	2.939660650104941e-122	True	-0.3900386578671963
R09504__mito	0.0007031717393225393	0.000759458751579036	True	0.02568826574054494
R12459__nucl	3.188295346590668e-94	5.783272155173403e-94	True	-0.07189531948802128
RXN_17775__pero	6.65459896429701e-131	1.3362864049273834e-130	True	0.21713185624630624
R02017__cytop	0.0	0.0	True	0.05395680349299751
BMGR0190__chlo	0.0008797594498322507	0.0009479390767468665	True	-0.024137931034482644
T_4MOPtm__mitmem	0.0	0.0	True	-0.37829515279581305
R10996__mito	0.0	0.0	True	-0.9669286977704143
R03425__mito	1e-323	2.5e-323	True	0.2417944014217696
BMGR0476__mito	0.0	0.0	True	0.3383343278492883
T_ORNth__chlomem	3.511671549552292e-116	6.749802367876301e-116	True	0.054392759462442625
R01039__cytop	1.0052362466512335e-257	2.5446784469295087e-257	True	-0.06317564548305853
BMGR0399__er	9.741259618098452e-27	1.32808910373179e-26	True	0.09807269564963976
R02412__chlo	0.0	0.0	True	0.05398959585303767
T_5HIUtx__permem	1.7334771516563186e-175	3.8507655461367855e-175	True	-0.056513712272345785
BMGR0194__chlo	6.131908069490708e-129	1.2259340293675217e-128	True	0.15491824338408886
R03815__mito	1e-323	2.5e-323	True	0.2417944014217696
BMGR0057__chlo	2.8989137068833746e-204	6.880523954205861e-204	True	0.3305768929922158
R04738__pero	8.640619513491106e-293	2.291060682231572e-292	True	0.2546280354051327
DGDGS_180_180__chlo	0.0	0.0	True	-0.9988940716372369
BMGR5562__ermem	1.2152955281334563e-80	2.0843421737993343e-80	True	-0.022015379471748444
R00722__cytop	6.463150996586136e-91	1.1669459841561917e-90	True	-0.13038532255544022
BMGR4809__ermem	1.372967321099431e-58	2.1354670599042258e-58	True	0.02617692275730249
T_FUMth__chlomem	1.7872442273609856e-114	3.406584508518956e-114	True	0.0020413311653866453
R01665__cytop	9.965303058483196e-18	1.2624868213314281e-17	True	0.06197170711365676
T_FA161tx__permem	1e-323	2.5e-323	True	0.13408962178011682
BMGR0590__er	1.4306982099200826e-268	3.689908095076372e-268	True	0.2543847874288991
T_MEOHtm__mitmem	3.3062501651831954e-179	7.410654011814053e-179	True	0.2773737373737372
BMGR1116__er	4.178088166110865e-09	4.9178270249151954e-09	True	-0.07753686036426716
BMGR0445__chlo	0.0	0.0	True	0.2996482635262481
TR0000020tm__mitmem	9.058745349732794e-96	1.6585497000613716e-95	True	-0.08165183288298446
RXN_20411__er	4.619534406491951e-113	8.720127318663993e-113	True	0.04328723913594504
BMGR5609__lip	4.347151708936561e-08	5.019750645352968e-08	True	0.2620842822333658
BMGR4830__ermem	1.7879778897490116e-81	3.095620379281e-81	True	-0.17516519137264688
R03172__mito	0.0	0.0	True	-0.9732053061770177
R02529__cytop	0.08413471385146415	0.08758836231058925	False	0.007829368498460925
EX_C00011__dra	0.0	0.0	True	0.04538320953722822
T_PC162n6183__ermem	2.1485655004645875e-14	2.646097529573968e-14	True	0.660069848661234
BMGR6075__cytop	2.11750643807456e-66	3.3720058917943136e-66	True	1.0
R00177__cytop	1.7879778897490116e-81	3.095620379281e-81	True	-0.046412167019156264
R00115__chlo	3.461453188065403e-44	5.083603368424204e-44	True	0.07357609870994312
TR2000079th__chlomem	3.5751340894516995e-16	4.457119832047431e-16	True	0.11025280000078606
R00066__chlo	0.0	0.0	True	0.05227328289255112
R01843__chlo	8.905268852875433e-06	9.903179613489976e-06	True	-0.029369172475026194
T_CDPtn__nucmem	0.0	0.0	True	1.0
T_COAtn__nucmem	1.2941082951613566e-50	1.9369194647251124e-50	True	-0.06840691381764817
BMGR1157__er	2.2304644193399226e-121	4.338950315747194e-121	True	0.2854448825647179
BMGR4829__chlomem	0.0	0.0	True	0.9297316138027187
EX_C00076__dra	1.372967321099431e-58	2.1354670599042258e-58	True	-0.1217351393105879
NGAM_D1__chlo	1e-323	2.5e-323	True	0.0023704535231951463
STCHLbPSII__chlo	0.0	0.0	True	-0.3009681558226814
MGDGG_183_162n6__chlo	0.0	0.0	True	-1.0
RXN_17777__pero	6.65459896429701e-131	1.3362864049273834e-130	True	0.21713185624630624
T_COAth__chlomem	2.495321207956586e-34	3.5504856044639425e-34	True	-0.07270927490517425
T_RIBFLVth__chlomem	0.0	0.0	True	0.07230343737653118
R00582__chlo	1.3883874467714262e-32	1.9581839426915223e-32	True	0.06264657357778361
BMGR0912__chlo	6.242317530420411e-07	7.036093710214612e-07	True	-0.05870540413609943
R05071__mito	0.0	0.0	True	-0.579130775894477
T_SLC25A17_NMN_COA__permem	1.6619250923895013e-05	1.837712082379832e-05	True	-0.018389558214219073
BMGR3238__cytop	1e-323	2.5e-323	True	0.4550189018425992
BMGR3279__lip	0.0	0.0	True	0.5421621621621622
T_GLUtm__mitmem	1e-323	2.5e-323	True	0.11611831062672931
BMGR0976__er	3.6125024201855554e-07	4.098858379821142e-07	True	1.0
R06194__eye	0.0	0.0	True	-0.5544358636278018
BMGR5907__cytop	8.3341586601822e-27	1.140222805706246e-26	True	0.7088262056414923
BMGR5745__er	1e-323	2.5e-323	True	-1.0
R06948__chlo	0.2809396165446236	0.28841589569554876	False	-0.0071116529513359375
T_MAL_Ltx__permem	0.0	0.0	True	0.2065795031397777
R01791__chlo	7.412500752300525e-11	8.811996337044764e-11	True	0.04110459374171954
R00183__cytop	1.6669254544749703e-189	3.869244762548258e-189	True	-0.17415553617873925
BMGR0497__chlo	1.0	1.0	False	1.0
R01655__chlo	8.342679500466317e-87	1.490580505660616e-86	True	-0.16548482904998457
R03067__cytop	3.5727044438965934e-12	4.299489223125118e-12	True	-0.4166666666666667
DGDGS_160_183__chlo	1.0	1.0	False	0.0003836247054309795
T_PI4P183183tn__nucmem	8.3341586601822e-27	1.140222805706246e-26	True	0.09274506110846471
T_DNDPt47m__mitmem	3.064456516172909e-129	6.140121724797072e-129	True	-0.11140025675251748
BMGR6107__lip	0.06525767706262187	0.06819564192083986	False	0.03506651930110706
BMGR5449__er	9.307989615117201e-62	1.4652059514831043e-61	True	-0.019904071580668033
R01969__cytop	5.872732802166469e-23	7.770731954170995e-23	True	-0.006715678479247422
PSIICSb__chlo	0.0	0.0	True	0.24248245961736437
BMGR5670__er	0.0	0.0	True	-0.2424591555712009
BMGR0954__er	1.0	1.0	False	-1.0
R01401__cytop	2.808138489844643e-16	3.5056934018616577e-16	True	0.04633745148639852
BMGR1538__er	0.0034908587545203736	0.0037349461439966027	True	-0.013178537809852644
R00549__chlo	0.0	0.0	True	0.06370660669353577
BMGR5975__nucl	9.89822201094981e-07	1.1138549748558558e-06	True	0.035113212880877584
T_G14LACtm__mitmem	0.0	0.0	True	0.055244987430461065
BMGR5990__cytop	1.1441559634099407e-28	1.5827490827170847e-28	True	0.08331850304242501
R09543__mito	3.3062501651831954e-179	7.410654011814053e-179	True	0.2773737373737372
