Reaction,Pvalue,Padj,Reject,FC,Padj_bootstrap
T_COth__chlomem,0.0,0.0,True,-0.6797406129065997,
BMGR4814__ermem,0.0,0.0,True,-3.261003363629857,
TR2918366tm__mitmem,0.0,0.0,True,-0.9687635786133478,
T_FADth__chlomem,1.491853362038266e-263,3.8011035894165685e-263,True,-0.9152721981648965,
R00085__cytop,0.0,0.0,True,-1.0,
R10996__mito,0.0,0.0,True,-0.9669286977704143,
DGDGS_180_180__chlo,0.0,0.0,True,-0.9988940716372369,
R03172__mito,0.0,0.0,True,-0.9732053061770177,
BMGR6075__cytop,2.11750643807456e-66,3.3720058917943136e-66,True,1.0,
T_CDPtn__nucmem,0.0,0.0,True,1.0,
BMGR4829__chlomem,0.0,0.0,True,0.9297316138027187,
MGDGG_183_162n6__chlo,0.0,0.0,True,-1.0,
BMGR0976__er,3.6125024201855554e-07,4.098858379821142e-07,True,1.0,
BMGR5907__cytop,8.3341586601822e-27,1.140222805706246e-26,True,0.7088262056414923,
BMGR5745__er,1e-323,2.5e-323,True,-1.0,
BMGR5709__er,2.600432412128435e-175,5.771948441507118e-175,True,1.0,
BMGR5788__chlo,0.0,0.0,True,1.0,
BMGR5797__chlo,0.0,0.0,True,-3.190389116442365,
R05069__mito,0.0,0.0,True,-0.8264248643257244,
BMGR0053__chlo,0.0,0.0,True,0.9560491037599372,
BMGR4810__ermem,0.0,0.0,True,1.0058917322100085,
R04432__mito,0.0,0.0,True,-0.9982441446530603,
BMGR5417__lip,4.201040721508505e-71,6.873745840030941e-71,True,1.0,
BMGR3419__chlo,0.0,0.0,True,0.8540934459835764,
R07850__chlo,0.0,0.0,True,-1.0,
R00659__cytop,0.0,0.0,True,-1.0,
R10997__mito,0.0,0.0,True,-0.9669286977704143,
TI2000026th__chlomem,0.0,0.0,True,0.7923994192336935,
T_PPECOAtx__permem,0.0,0.0,True,-0.9980386383934899,
R01561__cytop,0.0,0.0,True,-0.8148942109615981,
R00802__cytop,0.0,0.0,True,1.0,
T_VALt2m__mitmem,0.0,0.0,True,2.23232974086361,
BMGR5280__mito,0.00011829301861653911,0.0001297055956728185,True,1.0,
BMGR5423__lip,4.201040721508505e-71,6.873745840030941e-71,True,1.0,
BMGR0974__er,1.9766917210646647e-54,2.992901395243846e-54,True,0.7141025641025642,
R01993__chlo,0.0,0.0,True,-0.9403464370020392,
R10711__chlo,0.0,0.0,True,-0.6797406129065997,
BMGR3127__chlo,0.0,0.0,True,0.9297316138027187,
BMGR1085__er,3.935728004769394e-46,5.8270048676018214e-46,True,-0.7454545454545455,
BMGR5746__er,0.0,0.0,True,1.0,
R07600__mito,0.0,0.0,True,-0.9899656687671549,
R01214__mito,0.0,0.0,True,-2.23232974086361,
T_PE181140__ermem,1.075940514845141e-267,2.7645413416142976e-267,True,0.9991902834008096,
T_PPCOAtx__permem,0.0,0.0,True,-0.9980386383934899,
R10092__cytop,0.0,0.0,True,-1.0,
BMGR5781__chlo,0.0,0.0,True,1.0,
BMGR0919__chlo,0.0,0.0,True,-0.8889797131604369,
R00935__mito,0.0,0.0,True,-0.9720341068814123,
BMGR1518__chlo,0.0,0.0,True,-1.0,
MGDGS_182_182__chlo,0.0,0.0,True,-0.9379988432620013,
R00575__chlo,0.0,0.0,True,-0.8341255691121651,
BMGR0914__chlo,1.4969703202135986e-15,1.8552948900746816e-15,True,0.9800664451827241,
BMGR0457__chlo,5.371969735004469e-56,8.298829725988291e-56,True,1.0,
R03158__mito,0.0,0.0,True,-0.9981819097718427,
BMGR4872__chlomem,0.0,0.0,True,1.0,
BMGR2886__chlo,0.0,0.0,True,-0.9946067415730337,
BMGR0167__chlo,0.0,0.0,True,0.9297316138027187,
T_CTPtn__nucmem,0.0,0.0,True,-0.9985110723766188,
BMGR1051__er,6.313742064610421e-243,1.5836391497223392e-242,True,1.0,
R02269__cytop,0.0,0.0,True,-0.9972982990505971,
BMGR1123__er,3.6125024201855554e-07,4.098858379821142e-07,True,1.0,
AGPAT162n6__er,0.0,0.0,True,0.9450549450549453,
BMGR5759__er,0.0,0.0,True,-1.0,
BMGR6092__mito,0.00011829301861653911,0.0001297055956728185,True,1.0,
R00200__cytop,0.0,0.0,True,-1.0,
BMGR6079__cytop,0.0012921023140605172,0.001390050368504225,True,-1.0,
R00122__nucl,0.0,0.0,True,-1.0,
BMGR1162__er,4.1312785942878455e-141,8.533613928924893e-141,True,0.8930150309460655,
BMGR0582__er,0.0,0.0,True,-0.9659079953506964,
G3PAT162n6__er,0.0,0.0,True,0.9450549450549453,
T_Orotate__mitmem,0.0,0.0,True,-0.931080907524229,
BMGR3260__lip,0.0,0.0,True,-1.0,
CEF__chlo,0.0,0.0,True,-1.0,
R02092__cytop,0.0,0.0,True,-1.0,
R01214__chlo,0.0,0.0,True,1.121273169150929,
BMGR0918__chlo,0.0,0.0,True,-0.9348298868369643,
R00005__cytop,0.0,0.0,True,-1.0,
BMGR1068__er,1.3903711746802184e-22,1.8388346921531232e-22,True,-1.0,
BMGR5685__er,0.0,0.0,True,-1.0,
T_GDPtn__nucmem,0.0,0.0,True,1.0,
T_PC181182__ermem,0.0,0.0,True,0.7322964923891461,
T_NH4th__chlomem,0.0,0.0,True,-0.8451957498111495,
BMGR0921__chlo,0.0,0.0,True,-1.0,
BMGR0049__chlo,0.0,0.0,True,0.9300086641989836,
BMGR5722__er,0.0,0.0,True,-1.0075831603181409,
BMGR0060__chlo,0.0,0.0,True,-1.0,
T_PC160182tr__ermem,0.0,0.0,True,0.9944766322271873,
R00332__cytop,0.0,0.0,True,-0.9785386584579101,
BMGR5726__er,1e-323,2.5e-323,True,0.9700321084552266,
BMGR5903__cytop,0.0,0.0,True,0.9955219293205008,
R00996__mito,0.0,0.0,True,-0.8928268304231316,
BMGR6087__cytop,1e-323,2.5e-323,True,-0.9985657941914665,
BMGR3235__cytop,1e-323,2.5e-323,True,-0.9985657941914665,
BMGR5895__cytop,0.0,0.0,True,0.9933138616707538,
BMGR0953__er,1.917810216302276e-14,2.3650977858856076e-14,True,0.9046104928457871,
BMGR0186__chlo,0.0,0.0,True,-0.9962337243086193,
BMGR1121__er,1.9766917210646647e-54,2.992901395243846e-54,True,0.7141025641025642,
BMGR5712__er,0.0,0.0,True,1.0,
BMGR5669__er,1.1574672630754576e-253,2.924633610298596e-253,True,-1.3454545454545455,
T_PE182182tr__ermem,2.1008074882120754e-43,3.0770650856753337e-43,True,1.0,
R00335__nucl,0.0,0.0,True,-1.0,
BMGR5912__chlo,9.552169730167214e-06,1.0605347746626672e-05,True,-0.9831460674157303,
BMGR6081__cytop,1.54372176340479e-12,1.865131852653604e-12,True,-1.0,
BMGR0003__er,1e-323,2.5e-323,True,0.6884972612526792,
BMGR3286__lip,0.0,0.0,True,-1.0,
R02410__cytop,0.0,0.0,True,-1.0,
BMGR5768__er,0.0,0.0,True,-0.9849751505115586,
SQDGS_183_183__chlo,0.0,0.0,True,0.9976422045387563,
BMGR1486__er,0.0,0.0,True,-0.9862159222482529,
R01187__cytop,0.0,0.0,True,1.0,
R07604__mito,0.0,0.0,True,-0.9732053061770177,
BMGR5939__er,0.0,0.0,True,1.0,
BMGR1509__chlo,0.0,0.0,True,-0.8110733365711511,
