Reaction	Pvalue	Padj	Reject	FC
T_COth__chlomem	2.2733610111966164e-227	3.742301972277507e-227	True	-0.2107961399276236
BMGR5295__er	1e-323	2e-323	True	-0.028299478362920624
BMGR4709__chlomem	1e-323	2e-323	True	-0.1330519676824678
BMGR0188__er	0.44629561636001003	0.45264105166370683	False	-1.0
BMGR3936__ermem	1.5763972406168732e-162	2.462401529138765e-162	True	-0.020551796695024372
RXN0_6427__cytop	2.45986773719227e-22	2.9497207089952135e-22	True	0.2030019097450324
RXN_14384__chlo	1.73700005343991e-147	2.6334246041797435e-147	True	-0.07611976829566777
R01057__chlo	0.0	0.0	True	0.11881334658309096
BMGR4795__ermem	3.036026832281386e-98	4.371752923088414e-98	True	-0.06506525821629103
R04737__pero	3.1553974864468496e-217	5.133518015962067e-217	True	0.19303605615038008
BMGR3323__er	0.0	0.0	True	-0.821398834304746
T_FA160th__chlomem	0.0	0.0	True	-0.5938225671727894
R03656__cytop	0.0	0.0	True	-0.17684058621357843
T_CO2th__chlomem	1e-323	2e-323	True	-0.07900732999278937
T_FADH2tx__permem	0.0	0.0	True	0.2987581618099626
R03503__cytop	2.09020979905735e-34	2.655234548391574e-34	True	-1.0
R01021__cytop	0.0	0.0	True	0.9993288106930094
BMGR3613__er	1e-323	2e-323	True	-0.027502531642139127
RXN_17790__pero	1.0052362466512335e-257	1.7188489478695337e-257	True	0.15071721222051762
FACOAL183__cytop	1.1197707880974246e-153	1.7163649214804602e-153	True	0.19521912350597603
R10121__mito	1.893383040993969e-30	2.330704256657178e-30	True	-0.10820230810936415
TR2900012th__chlomem	7.36714814467229e-12	8.277627681130175e-12	True	-0.044501328906698466
BMGR5769__er	0.0	0.0	True	0.7090182823782455
BMGR3251__er	1e-323	2e-323	True	-0.27006330355032854
R00191__cytop	5.4235267158864475e-15	6.260685196512903e-15	True	-0.06511053796074211
BMGR4814__ermem	0.0	0.0	True	-2.03948745437374
R04798__chlo	4.30377251367078e-40	5.584466013541096e-40	True	-0.04648615336052745
TR2918366tm__mitmem	0.0	0.0	True	-0.7630632340899467
T_4HBZth__chlomem	0.0	0.0	True	-0.2636237482653865
BMGR0131__er	0.0011588744041518826	0.001199400517987551	True	-0.008306295536965666
BMGR1095__er	1.0	1.0	False	-0.1604938271604938
R08539__er	0.0	0.0	True	-0.060828295720024135
I2FE2SR__mito	1.893383040993969e-30	2.330704256657178e-30	True	-0.10820230810936415
T_DHAPtm__mitmem	0.0	0.0	True	-1.0
T_LIPOtm__mitmem	0.0	0.0	True	-0.2739156498365981
R03105__mito	0.0	0.0	True	-0.20865937823105013
R01830__chlo	0.0	0.0	True	-0.1107510502187199
R02327__cytop	3.490694867199954e-17	4.088889734968536e-17	True	-0.041399936494430384
BMGR3867__ermem	5.734853719035379e-275	1.0149085907351414e-274	True	-0.015955537400819494
T_ACth__chlomem	0.0	0.0	True	-0.1698487345558338
T_G3PShuttle__mitmem	0.0	0.0	True	1.0
T_FADth__chlomem	4.875254557808692e-267	8.498094097633948e-267	True	-1.151503296577483
