Reaction,Pvalue,Padj,Reject,FC,Padj_bootstrap
BMGR3323__er,0.0,0.0,True,-0.821398834304746,
R03503__cytop,2.09020979905735e-34,2.655234548391574e-34,True,-1.0,
R01021__cytop,0.0,0.0,True,0.9993288106930094,
BMGR5769__er,0.0,0.0,True,0.7090182823782455,
BMGR4814__ermem,0.0,0.0,True,-2.03948745437374,
TR2918366tm__mitmem,0.0,0.0,True,-0.7630632340899467,
T_DHAPtm__mitmem,0.0,0.0,True,-1.0,
T_G3PShuttle__mitmem,0.0,0.0,True,1.0,
T_FADth__chlomem,4.875254557808692e-267,8.498094097633948e-267,True,-1.151503296577483,
BMGR4803__ermem,0.0,0.0,True,1.0245838358174513,
R00085__cytop,0.0,0.0,True,-1.0,
BMGR0422__chlo,0.0,0.0,True,0.773722609493293,
BMGR0980__er,6.873513406769612e-45,9.062613411200503e-45,True,-0.893899204244032,
BMGR1649__er,0.0,0.0,True,-0.9406031306621154,
T_4MOPtm__mitmem,0.0,0.0,True,0.9854315362353825,
R10996__mito,0.0,0.0,True,-0.9819830511112493,
BMGR0476__mito,0.0,0.0,True,-0.9994848016486346,
BMGR4809__ermem,0.0,0.0,True,0.9780704380859703,
BMGR4830__ermem,0.0,0.0,True,0.9900476080366675,
R03172__mito,0.0,0.0,True,-0.9829688302521193,
R01194__cytop,0.0,0.0,True,1.0,
R01843__chlo,0.0,0.0,True,-1.0,
T_CDPtn__nucmem,0.0,0.0,True,1.0,
BMGR1157__er,1.992224027391873e-182,3.1743225911822395e-182,True,-0.9586466165413535,
BMGR4829__chlomem,0.0,0.0,True,0.9529115611002111,
BMGR1058__er,0.0,0.0,True,1.0,
MGDGG_183_162n6__chlo,0.0,0.0,True,-1.0,
T_COAth__chlomem,0.0,0.0,True,0.8776644523383936,
BMGR3238__cytop,0.0,0.0,True,0.9957630240765668,
BMGR3279__lip,0.0,0.0,True,0.9949878599787153,
BMGR5907__cytop,0.0,0.0,True,0.9997154819602228,
BMGR5745__er,1e-323,2e-323,True,-1.0,
R03067__cytop,2.09020979905735e-34,2.655234548391574e-34,True,-1.0,
DGDGS_160_183__chlo,0.0,0.0,True,0.999095384242734,
BMGR6107__lip,0.0,0.0,True,-1.0,
BMGR1072__er,0.0,0.0,True,1.0,
T_ACALDth__chlomem,0.0,0.0,True,-1.0,
R02094__nucl,0.0,0.0,True,-1.0,
T_4MOPth__chlomem,0.0,0.0,True,0.9854315362353825,
BMGR5943__er,0.0,0.0,True,1.0,
BMGR5607__lip,0.0,0.0,True,1.0,
BMGR1273__er,0.0,0.0,True,0.9956382945099401,
T_DAG183181tr__ermem,0.0,0.0,True,0.9995536793793234,
BMGR0481__chlo,0.0,0.0,True,-0.6868286233680384,
BMGR5797__chlo,0.0,0.0,True,-0.7025498166519799,
R05069__mito,0.0,0.0,True,-0.7084406297561431,
BMGR0053__chlo,0.0,0.0,True,0.9791382597123172,
BMGR4810__ermem,0.0,0.0,True,1.0038446985303637,
R04432__mito,0.0,0.0,True,-0.9988148772339627,
BMGR5285__chlo,0.0,0.0,True,-0.6847337730618488,
SQDGS_161_161__chlo,1e-323,2e-323,True,-0.6939247424847594,
T_CHOLtm__mitmem,0.0,0.0,True,0.9970338431203359,
BMGR1519__chlo,0.0,0.0,True,-0.7686415204111317,
BMGR0067__er,0.0,0.0,True,0.9893132187049144,
BMGR3419__chlo,0.0,0.0,True,0.8973085314349383,
R00746__cytop,0.0,0.0,True,2.5232696810005315,
R07850__chlo,0.0,0.0,True,-1.0,
R00659__cytop,0.0,0.0,True,-1.0,
