Reaction	Pvalue	Padj	Reject	FC
T_COth__chlomem	6.310637768713752e-40	8.725780736821088e-40	True	-0.09662000682826895
BMGR5295__er	0.0	0.0	True	-0.05613725440318085
BMGR4709__chlomem	1.1097946158941226e-110	1.907786470440242e-110	True	-0.040264274266184515
BMGR0188__er	0.9998939179661921	1.0	False	-0.23857868020304573
BMGR3936__ermem	0.0	0.0	True	-0.11288695480170105
RXN0_6427__cytop	3.952523473830566e-17	4.8066481551474426e-17	True	0.062075153712854575
RXN_14384__chlo	0.0	0.0	True	-0.3039072733114203
R01057__chlo	1.0380414123125552e-93	1.6959637172490077e-93	True	-0.03994479853428592
BMGR4795__ermem	0.0	0.0	True	1.0283371432467638
R04737__pero	1.946202357360278e-71	3.008967466014901e-71	True	0.08259713899960264
BMGR3323__er	6.597243091950528e-24	8.349588087221053e-24	True	0.04030710172744722
T_FA160th__chlomem	1.195458349210356e-135	2.1453927723689786e-135	True	-0.048045190379305075
R03656__cytop	0.0	0.0	True	0.048809288293189534
T_CO2th__chlomem	8.730246691622906e-178	1.6467051518337e-177	True	-0.039821153060554296
T_FADH2tx__permem	3.690445671345483e-248	7.509947106495459e-248	True	0.08406762375768331
R03503__cytop	2.09020979905735e-34	2.800942577374744e-34	True	-1.0
R01021__cytop	1.4775840563363156e-72	2.292224840657869e-72	True	0.022712977846110823
BMGR3613__er	0.0	0.0	True	-0.07118243742754381
RXN_17790__pero	1e-323	2e-323	True	0.12152646623098924
FACOAL183__cytop	0.0	0.0	True	0.4252982569277166
R10121__mito	1.5292497441698822e-110	2.5929932115961737e-110	True	-0.12413576367064744
TR2900012th__chlomem	1.7581443997718148e-47	2.5308025965136385e-47	True	0.13099046984656024
BMGR5769__er	1.5629591378608912e-142	2.8290491343808987e-142	True	0.2733829509706132
BMGR3251__er	1.6432525291147535e-95	2.692807469819563e-95	True	-0.10935242319769875
R00191__cytop	0.004480286858008985	0.004703871230961449	True	-0.0212469689017894
BMGR4814__ermem	0.0	0.0	True	-1.5479405156734782
R04798__chlo	2.2050447912792697e-08	2.510740010053623e-08	True	0.02760081218912205
TR2918366tm__mitmem	0.0	0.0	True	-1.4027885935941256
T_4HBZth__chlomem	2.0496858341156716e-195	3.9339584254781484e-195	True	0.05825134168157421
BMGR0131__er	2.3340154752133844e-05	2.5432399700034287e-05	True	0.02242115085256928
BMGR1095__er	0.5457429448400982	0.5592382743116031	False	0.5458937198067634
R08539__er	0.0	0.0	True	-0.056550659818363234
I2FE2SR__mito	1.5292497441698822e-110	2.5929932115961737e-110	True	-0.12413576367064744
T_LIPOtm__mitmem	0.0	0.0	True	0.21783318492134165
R03105__mito	5.220566246964788e-296	1.1111477576224666e-295	True	-0.1520857371312213
R01830__chlo	1e-323	2e-323	True	-0.04276124351558807
R02327__cytop	1.123237055192878e-12	1.331622603360434e-12	True	-0.023920746505566425
BMGR3867__ermem	0.0	0.0	True	-0.08090026734094545
T_ACth__chlomem	0.0	0.0	True	0.180894889181644
T_FADth__chlomem	3.654687096285703e-24	4.649101957368092e-24	True	-0.2034972011524335
R02413__chlo	0.0	0.0	True	0.04882747563705687
BMGR4803__ermem	3.460338919136149e-291	7.308128914160129e-291	True	0.39452416918429006
R03460__chlo	0.0	0.0	True	0.04882747563705687
R00085__cytop	0.0	0.0	True	-1.0
BMGR0422__chlo	1e-323	2e-323	True	-0.3301010813352138
BMGR0980__er	2.4689027185452645e-50	3.60707742266095e-50	True	-1.0
BMGR1649__er	0.0	0.0	True	-0.9478307141550947
R00292__chlo	0.011563080873013828	0.012107590424078414	True	0.0040043723811259676
R00475__pero	1.6052004903327522e-60	2.4188558352948086e-60	True	-0.08812842977462357
BMGR1551__er	0.0	0.0	True	0.4420489376071484
BMGR4738__ermem	9.658757447044667e-142	1.7436766744334761e-141	True	-0.4184169949383504
R09504__mito	3.254666630482321e-27	4.220726995907609e-27	True	0.11349409665438528
R12459__nucl	8.85308569110259e-24	1.1117166834327631e-23	True	0.05156055256835635
RXN_17775__pero	7.190052228455816e-35	9.649064202564602e-35	True	0.06309010284267626
R02017__cytop	0.0	0.0	True	0.04915701103170734
BMGR0190__chlo	0.0	0.0	True	0.4246230344515837
T_4MOPtm__mitmem	2.3011019840360224e-202	4.473002079842588e-202	True	-0.043687531254689646
R10996__mito	0.0	0.0	True	-0.9563428712198098
R03425__mito	8.87644273177731e-296	1.8848657508859429e-295	True	0.15785216122636728
BMGR0476__mito	0.0	0.0	True	0.3569179784589893
