Reaction,Pvalue,Padj,Reject,FC,Padj_bootstrap
BMGR4795__ermem,0.0,0.0,True,1.0283371432467638,
R03503__cytop,2.09020979905735e-34,2.800942577374744e-34,True,-1.0,
BMGR4814__ermem,0.0,0.0,True,-1.5479405156734782,
TR2918366tm__mitmem,0.0,0.0,True,-1.4027885935941256,
R00085__cytop,0.0,0.0,True,-1.0,
BMGR0980__er,2.4689027185452645e-50,3.60707742266095e-50,True,-1.0,
BMGR1649__er,0.0,0.0,True,-0.9478307141550947,
R10996__mito,0.0,0.0,True,-0.9563428712198098,
DGDGS_182_164__chlo,6.82921793707121e-77,1.0759165355927282e-76,True,1.0,
BMGR0590__er,0.0,0.0,True,-0.9983236460321154,
BMGR4830__ermem,0.0,0.0,True,-0.7128838815191714,
R03172__mito,0.0,0.0,True,-0.9900798114938976,
R00105__chlo,0.0,0.0,True,1.0,
R01194__cytop,0.0,0.0,True,1.0,
R01843__chlo,0.0,0.0,True,-1.0,
T_CDPtn__nucmem,0.0,0.0,True,1.0,
BMGR1157__er,4.120700447082611e-171,7.729846174740014e-171,True,-0.9014598540145986,
BMGR4829__chlomem,0.0,0.0,True,0.9305745429594706,
MGDGG_183_162n6__chlo,0.0,0.0,True,-1.0,
BMGR5745__er,1e-323,2e-323,True,-1.0,
R03067__cytop,2.09020979905735e-34,2.800942577374744e-34,True,-1.0,
DGDGS_160_183__chlo,0.0,0.0,True,0.9991171805806637,
BMGR6107__lip,0.0,0.0,True,-1.0,
BMGR0954__er,4.343702056061783e-30,5.722555454397388e-30,True,0.9951807228915663,
BMGR5766__er,0.0,0.0,True,-0.9997514513325706,
BMGR5709__er,6.089523363124891e-15,7.311170499625364e-15,True,1.0,
BMGR1273__er,1.2152955281334563e-80,1.9290964999680806e-80,True,0.9076923076923077,
BMGR1147__er,1.4085372408673205e-123,2.490206434241837e-123,True,1.0,
BMGR5894__cytop,0.0,0.0,True,-1.0,
R05069__mito,0.0,0.0,True,-0.8334947390462233,
BMGR0053__chlo,0.0,0.0,True,0.9495450753067431,
BMGR0592__er,0.0,0.0,True,-0.8849192477102705,
BMGR4810__ermem,0.0,0.0,True,1.0053656599112062,
R04432__mito,0.0,0.0,True,-0.9973802348443562,
BMGR0186__er,0.0,0.0,True,-0.9964730971128609,
BMGR1311__er,0.0,0.0,True,-0.9983236460321154,
TR2918400tm__mitmem,0.0,0.0,True,-1.1989885196721974,
BMGR3419__chlo,0.0,0.0,True,0.8503021748565718,
R07850__chlo,0.0,0.0,True,-1.0,
R10997__mito,0.0,0.0,True,-0.9563428712198098,
T_PC183y183y__ermem,0.0,0.0,True,-1.0,
MGDGS_181_161__chlo,0.0,0.0,True,-1.0,
BMGR1520__chlo,0.0,0.0,True,-1.0,
BMGR3256__chlo,0.0,0.0,True,-0.9994158025412588,
TI2000026th__chlomem,0.0,0.0,True,0.8932789913237373,
