Reaction	Pvalue	Padj	Reject	FC
BMGR5295__er	0.0	0.0	True	0.16913737872613704
BMGR4709__chlomem	2.287545241675173e-53	2.477723778536217e-53	True	-1.0
BMGR3936__ermem	4.951152787297715e-135	5.62586389557664e-135	True	0.3074459567654124
RXN0_6427__cytop	0.0	0.0	True	0.5821476022596657
RXN_14384__chlo	0.0	0.0	True	0.14388788677674463
R01057__chlo	1e-323	1e-323	True	0.1648022942428753
BMGR5629__er	0.0	0.0	True	1.0
BMGR4795__ermem	0.0	0.0	True	0.2980817249787023
R04737__pero	0.0	0.0	True	-0.07878410284240271
BMGR3323__er	0.0	0.0	True	0.340165660536291
T_FA160th__chlomem	8.056344659839958e-138	9.176948984109798e-138	True	0.058885522329073924
R03656__cytop	0.0	0.0	True	0.14421401899206307
T_CO2th__chlomem	0.0	0.0	True	-0.3003049426154978
T_FADH2tx__permem	0.0	0.0	True	-0.2358161453301377
R03503__cytop	1.316031604529685e-201	1.52947819016045e-201	True	0.6100000000000001
R01021__cytop	0.0	0.0	True	-1.0
BMGR3613__er	0.0	0.0	True	0.17361329411815365
RXN_17790__pero	3.262386248132357e-249	3.8342653341709354e-249	True	-0.5196238367947508
BMGR6088__mito	4.850477824195259e-88	5.388636458759559e-88	True	-0.9219765929778934
TR2900012th__chlomem	0.0	0.0	True	0.06364396449363939
BMGR4814__ermem	0.0	0.0	True	0.2311940298507463
R04798__chlo	0.0	0.0	True	-0.00999449904272096
TR2918366tm__mitmem	3.557286187723489e-228	4.155301695593459e-228	True	-0.4434764081448267
T_4HBZth__chlomem	0.0	0.0	True	0.18413562677886403
BMGR1095__er	1.284029722130501e-09	1.3474966374577752e-09	True	0.08744247205785677
R08539__er	0.0	0.0	True	0.16875272997420446
T_DHAPtm__mitmem	0.0	0.0	True	1.0
R01830__chlo	0.0	0.0	True	-0.05857689764840372
R02327__cytop	0.0	0.0	True	0.600244885056645
BMGR3867__ermem	0.0	0.0	True	0.3779895366218238
T_FADth__chlomem	0.0	0.0	True	-0.9197500298770356
R02413__chlo	0.0	0.0	True	0.14426057544906348
BMGR4803__ermem	0.0	0.0	True	-1.0
R03460__chlo	0.0	0.0	True	0.14426057544906348
R00085__cytop	0.0	0.0	True	-1.0
BMGR0980__er	9.187228212850023e-08	9.584310414952276e-08	True	-0.9427966101694913
BMGR1649__er	0.0	0.0	True	0.19775567663918656
R00292__chlo	0.0	0.0	True	0.4372795129846656
BMGR1551__er	6.175533217766098e-48	6.666900973793626e-48	True	-1.0
R09504__mito	0.0	0.0	True	0.45161830951422594
BMGR4738__ermem	0.0	0.0	True	-1.0
RXN_17775__pero	0.0	0.0	True	-0.27382605796349085
R02017__cytop	0.0	0.0	True	0.14465703731557866
T_4MOPtm__mitmem	0.0	0.0	True	-1.004832387928127
R10996__mito	0.0	0.0	True	1.0
R03425__mito	0.0	0.0	True	0.8177193625980107
BMGR0476__mito	0.0	0.0	True	0.407696597880647
R01039__cytop	0.0	0.0	True	-0.36859981521511187
R02412__chlo	0.0	0.0	True	0.14426057544906348
T_5HIUtx__permem	0.0	0.0	True	-1.0
BMGR0194__chlo	0.0	0.0	True	1.0
R03815__mito	0.0	0.0	True	0.8177193625980107
BMGR0057__chlo	0.0	0.0	True	1.0
DGDGS_182_164__chlo	9.379316706833986e-17	9.92009834352875e-17	True	-1.0
R04738__pero	0.0	0.0	True	-0.07878410284240271
DGDGS_180_180__chlo	0.0	0.0	True	-0.9988867890311599
BMGR5562__ermem	0.0	0.0	True	0.19870222362902595
R00722__cytop	0.0	0.0	True	0.22277539620438755
BMGR4809__ermem	1.8168854409745134e-25	1.933233557380306e-25	True	-0.8898007033997655
T_FUMth__chlomem	0.0	0.0	True	0.9283443240369554
BMGR5948__er	0.0	0.0	True	1.0
T_FA161tx__permem	3.262386248132357e-249	3.8342653341709354e-249	True	-0.5196238367947508
BMGR0590__er	0.0	0.0	True	1.0
BMGR1116__er	0.0	0.0	True	0.31783966879939785
BMGR0445__chlo	0.0	0.0	True	0.19048712481548308
TR0000020tm__mitmem	0.0	0.0	True	-0.49944462425566916
RXN_20411__er	0.0	0.0	True	0.18313163744134364
BMGR5609__lip	0.0	0.0	True	-1.0
BMGR5949__er	0.0	0.0	True	1.0
BMGR4830__ermem	0.0	0.0	True	0.9854635489248306
R03172__mito	0.0	0.0	True	-1.0
R00105__chlo	0.0	0.0	True	-1.0
EX_C00011__dra	0.0	0.0	True	0.11652393705412353
BMGR6075__cytop	6.72517656361e-208	7.835787530669577e-208	True	-1.0
R00177__cytop	0.0	0.0	True	0.09616743450726957
R00115__chlo	1e-323	1e-323	True	0.0012529091194281494
TR2000079th__chlomem	0.0	0.0	True	0.1554937007136553
R00066__chlo	0.0	0.0	True	0.14508914184058885
R01843__chlo	0.0	0.0	True	0.14723714809658536
T_CDPtn__nucmem	0.0	0.0	True	1.0
BMGR1157__er	1.4978274993369265e-24	1.5915284782111087e-24	True	0.2495145631067962
NGAM_D1__chlo	1.8000505631870605e-241	2.1091037002493255e-241	True	0.005592440179162519
STCHLbPSII__chlo	0.0	0.0	True	0.43947825455478684
RXN_17777__pero	0.0	0.0	True	-0.27382605796349085
T_COAth__chlomem	0.0	0.0	True	-0.9589770529933935
T_RIBFLVth__chlomem	0.0	0.0	True	0.14418660144365575
R00582__chlo	1.2383074661322037e-171	1.423277704181024e-171	True	-0.1509895997808915
BMGR0912__chlo	0.0	0.0	True	-1.0
R05071__mito	0.0	0.0	True	0.01396458000988361
BMGR3238__cytop	0.0	0.0	True	0.9997666215420304
T_GLUtm__mitmem	0.0	0.0	True	-0.9998833728820166
BMGR0976__er	0.019653913806156054	0.020163948258396347	True	-0.17375093214019383
R06194__eye	0.0	0.0	True	0.46737054925306076
BMGR5907__cytop	0.0	0.0	True	0.9999759594961635
T_PE181183y__ermem	0.0	0.0	True	-1.0
R06948__chlo	1e-323	1e-323	True	0.13636627738074492
T_MAL_Ltx__permem	0.0	0.0	True	-0.18751430346927722
R01791__chlo	0.0	0.0	True	0.1841921053241546
R00183__cytop	0.0	0.0	True	0.3790433778742849
BMGR0497__chlo	6.362770976285925e-120	7.172976326756945e-120	True	-0.8448187850944361
R01655__chlo	1e-323	1e-323	True	-0.5322339313999838
R03067__cytop	1.316031604529685e-201	1.52947819016045e-201	True	0.6100000000000001
DGDGS_160_183__chlo	0.0	0.0	True	-0.9971420197050065
T_DNDPt47m__mitmem	0.0	0.0	True	0.4800118157935004
