Reaction,Pvalue,Padj,Reject,FC,Padj_bootstrap
BMGR4709__chlomem,2.287545241675173e-53,2.477723778536217e-53,True,-1.0,
BMGR5629__er,0.0,0.0,True,1.0,
R01021__cytop,0.0,0.0,True,-1.0,
BMGR6088__mito,4.850477824195259e-88,5.388636458759559e-88,True,-0.9219765929778934,
T_DHAPtm__mitmem,0.0,0.0,True,1.0,
T_FADth__chlomem,0.0,0.0,True,-0.9197500298770356,
BMGR4803__ermem,0.0,0.0,True,-1.0,
R00085__cytop,0.0,0.0,True,-1.0,
BMGR0980__er,9.187228212850023e-08,9.584310414952276e-08,True,-0.9427966101694913,
BMGR1551__er,6.175533217766098e-48,6.666900973793626e-48,True,-1.0,
BMGR4738__ermem,0.0,0.0,True,-1.0,
T_4MOPtm__mitmem,0.0,0.0,True,-1.004832387928127,
R10996__mito,0.0,0.0,True,1.0,
R03425__mito,0.0,0.0,True,0.8177193625980107,
T_5HIUtx__permem,0.0,0.0,True,-1.0,
BMGR0194__chlo,0.0,0.0,True,1.0,
R03815__mito,0.0,0.0,True,0.8177193625980107,
BMGR0057__chlo,0.0,0.0,True,1.0,
DGDGS_182_164__chlo,9.379316706833986e-17,9.92009834352875e-17,True,-1.0,
DGDGS_180_180__chlo,0.0,0.0,True,-0.9988867890311599,
BMGR4809__ermem,1.8168854409745134e-25,1.933233557380306e-25,True,-0.8898007033997655,
T_FUMth__chlomem,0.0,0.0,True,0.9283443240369554,
BMGR5948__er,0.0,0.0,True,1.0,
BMGR0590__er,0.0,0.0,True,1.0,
BMGR5609__lip,0.0,0.0,True,-1.0,
BMGR5949__er,0.0,0.0,True,1.0,
BMGR4830__ermem,0.0,0.0,True,0.9854635489248306,
R03172__mito,0.0,0.0,True,-1.0,
R00105__chlo,0.0,0.0,True,-1.0,
BMGR6075__cytop,6.72517656361e-208,7.835787530669577e-208,True,-1.0,
T_CDPtn__nucmem,0.0,0.0,True,1.0,
T_COAth__chlomem,0.0,0.0,True,-0.9589770529933935,
BMGR0912__chlo,0.0,0.0,True,-1.0,
BMGR3238__cytop,0.0,0.0,True,0.9997666215420304,
T_GLUtm__mitmem,0.0,0.0,True,-0.9998833728820166,
BMGR5907__cytop,0.0,0.0,True,0.9999759594961635,
T_PE181183y__ermem,0.0,0.0,True,-1.0,
BMGR0497__chlo,6.362770976285925e-120,7.172976326756945e-120,True,-0.8448187850944361,
DGDGS_160_183__chlo,0.0,0.0,True,-0.9971420197050065,
BMGR5308__er,3.7655716015297906e-22,3.995583379133646e-22,True,-0.9805825242718446,
BMGR1072__er,4.833902770750538e-36,5.1892036766530826e-36,True,-1.0,
BMGR0083__er,0.0,0.0,True,1.0,
BMGR5766__er,1.5302180063410597e-129,1.735306571978264e-129,True,1.082324455205811,
R02094__nucl,0.0,0.0,True,-1.0,
T_4MOPth__chlomem,0.0,0.0,True,1.004832387928127,
rxn05736__pero,0.0,0.0,True,0.8893656394690143,
TO0000021t__plas,0.0,0.0,True,0.8536604880277778,
BMGR5788__chlo,0.0,0.0,True,1.0,
BMGR5943__er,0.0,0.0,True,1.0,
BMGR5607__lip,0.0,0.0,True,-1.0,
BMGR5940__er,0.0,0.0,True,1.0,
R01880__cytop,0.0,0.0,True,0.779689918215287,
BMGR5797__chlo,0.0,0.0,True,-0.8709086747539481,
T_FA226tr__ermem,0.0,0.0,True,-1.0,
BMGR0080__er,0.0,0.0,True,1.0,
BMGR5894__cytop,0.0,0.0,True,0.9999818617466816,
T_NH4tr__ermem,0.0,0.0,True,-1.0,
R05069__mito,0.0,0.0,True,1.0,
BMGR0906__chlo,0.0,0.0,True,-1.0,
BMGR4810__ermem,6.175533217766098e-48,6.666900973793626e-48,True,-1.0,
R04432__mito,0.0,0.0,True,-1.0,
