Reaction	Pvalue	Padj	Reject	FC
BMGR5295__er	0.0	0.0	True	-0.449554500346796
BMGR4709__chlomem	2.287545241675173e-53	2.517969506895008e-53	True	-1.0
BMGR3936__ermem	7.994166139352894e-100	8.98301232350534e-100	True	-1.0
RXN0_6427__cytop	0.0	0.0	True	0.6361997316300735
RXN_14384__chlo	0.0	0.0	True	-0.47414726012957986
R01057__chlo	3.94096464017917e-207	4.635705676591411e-207	True	-0.25113892071407035
BMGR4795__ermem	1e-323	1e-323	True	-0.21172473249150547
R04737__pero	3.306393451519475e-163	3.8080763682978885e-163	True	-0.4761467939454865
BMGR3323__er	0.0	0.0	True	-1.0
T_FA160th__chlomem	3.620805957893773e-124	4.0951315383778575e-124	True	-1.0
R03656__cytop	0.0	0.0	True	-0.4744361174468702
T_CO2th__chlomem	0.0	0.0	True	-0.3304577537519743
T_FADH2tx__permem	0.0	0.0	True	-0.281064419350022
R03503__cytop	0.0012921023140605172	0.0013345823901392193	True	-1.0
R01021__cytop	0.0	0.0	True	-1.0
BMGR3613__er	0.0	0.0	True	-0.4453473922048578
RXN_17790__pero	1e-323	1e-323	True	-0.41055694852633984
BMGR6088__mito	1.2201987546301659e-95	1.365704890140245e-95	True	-1.0
TR2900012th__chlomem	0.0	0.0	True	-1.0
BMGR4814__ermem	0.0	0.0	True	-0.9619120167587127
R04798__chlo	0.0	0.0	True	0.20602791476170199
TR2918366tm__mitmem	6.59340804876353e-60	7.289486317841205e-60	True	0.05660711022970085
T_4HBZth__chlomem	0.0	0.0	True	-0.530586186883343
BMGR0131__er	2.0974477637321213e-80	2.338307955427333e-80	True	1.0
BMGR1095__er	2.8218888444962036e-06	2.9293770382057886e-06	True	-1.0
R08539__er	0.0	0.0	True	-0.4463332415287511
T_DHAPtm__mitmem	0.0	0.0	True	1.0
R01830__chlo	0.0	0.0	True	-0.3892269484481153
R02327__cytop	0.0	0.0	True	0.6497221240006688
BMGR3867__ermem	1e-323	1e-323	True	-1.0
T_G3PShuttle__mitmem	0.0	0.0	True	1.0
T_FADth__chlomem	0.0	0.0	True	-0.8656102344889703
R02413__chlo	0.0	0.0	True	-0.4744230908071739
R03460__chlo	0.0	0.0	True	-0.4744230908071739
R00085__cytop	0.0	0.0	True	-1.0
BMGR0980__er	9.270472922739023e-09	9.721747682538558e-09	True	-1.0
BMGR1649__er	0.0	0.0	True	-0.3909043020193151
R00292__chlo	0.0	0.0	True	-0.8946442853665444
BMGR1551__er	6.175533217766098e-48	6.767953555516915e-48	True	-1.0
R09504__mito	0.0	0.0	True	0.3394290311158208
RXN_17775__pero	0.0	0.0	True	-0.22841423402585395
R02017__cytop	0.0	0.0	True	-0.47287672067707265
T_4MOPtm__mitmem	0.0	0.0	True	-1.000028492905493
BMGR0190__chlo	0.0	0.0	True	1.0
R10996__mito	0.0	0.0	True	1.0
R03425__mito	0.0	0.0	True	-0.3177701022827557
BMGR0476__mito	0.0	0.0	True	-1.0
R01039__cytop	0.0	0.0	True	0.21005272697791172
R02412__chlo	0.0	0.0	True	-0.4744230908071739
R03815__mito	0.0	0.0	True	-0.3177701022827557
DGDGS_182_164__chlo	9.379316706833986e-17	9.993412336720902e-17	True	-1.0
R04738__pero	3.306393451519475e-163	3.8080763682978885e-163	True	-0.4761467939454865
DGDGS_180_180__chlo	0.0	0.0	True	0.3663719234132282
BMGR5562__ermem	0.0	0.0	True	-0.39155529597691263
R00722__cytop	0.0	0.0	True	0.3439447674832004
BMGR4809__ermem	0.0	0.0	True	1.2199781659388647
T_FUMth__chlomem	0.0	0.0	True	-0.47437927463512425
T_FA161tx__permem	1e-323	1e-323	True	-0.41055694852633984
BMGR1116__er	7.165569436261467e-301	8.876515917208893e-301	True	-1.0
BMGR0445__chlo	0.0	0.0	True	-0.4054597919356062
TR0000020tm__mitmem	1e-323	1e-323	True	-0.006279441220995612
RXN_20411__er	0.0	0.0	True	-0.5270964390835112
BMGR5609__lip	0.0	0.0	True	-1.0
T_ADPtm__mitmem	0.0	0.0	True	-1.0
BMGR4830__ermem	0.0	0.0	True	-0.967259006815969
R03172__mito	0.0	0.0	True	-1.0
R00105__chlo	0.0	0.0	True	-0.4803157626687036
EX_C00011__dra	0.0	0.0	True	-0.16754854966746283
BMGR6075__cytop	6.72517656361e-208	7.923098639003031e-208	True	-1.0
R00177__cytop	1e-323	1e-323	True	-0.16206398026960178
R00115__chlo	0.0	0.0	True	0.0967037422520681
TR2000079th__chlomem	0.0	0.0	True	-0.9199364107332219
R00066__chlo	0.0	0.0	True	-0.47621008581063773
R01843__chlo	0.0	0.0	True	0.2912534013452274
T_CDPtn__nucmem	0.0	0.0	True	1.0
BMGR1157__er	3.446725029610878e-13	3.6517527011615013e-13	True	-1.0
NGAM_D1__chlo	1.2758355687206396e-217	1.5165213118476547e-217	True	0.004879364067193034
STCHLbPSII__chlo	0.0	0.0	True	0.670112504012726
RXN_17777__pero	0.0	0.0	True	-0.22841423402585395
T_COAth__chlomem	0.0	0.0	True	-0.9867339198748876
T_RIBFLVth__chlomem	0.0	0.0	True	-0.4687108085280642
R00582__chlo	0.0	0.0	True	-0.9826743702555524
BMGR0912__chlo	0.0	0.0	True	-1.0
R05071__mito	0.0	0.0	True	-0.015109700875690324
T_SLC25A17_NMN_COA__permem	0.0	0.0	True	1.0
BMGR3238__cytop	1e-323	1e-323	True	-1.0
T_GLUtm__mitmem	1e-323	1e-323	True	0.07534634885238338
BMGR0976__er	3.930639500523146e-26	4.229831850705687e-26	True	-1.0
R06194__eye	0.0	0.0	True	0.4636959963809093
BMGR5907__cytop	6.273904229741002e-05	6.500948862883256e-05	True	-1.0
T_PE181183y__ermem	0.0	0.0	True	-1.0
R06948__chlo	0.0	0.0	True	-0.9997309296381005
T_MAL_Ltx__permem	0.0	0.0	True	-0.37074920221691543
R01791__chlo	0.0	0.0	True	-1.0
R00183__cytop	0.0	0.0	True	0.5982754363980805
BMGR0497__chlo	5.2274051049248315e-143	5.962879650700942e-143	True	-1.0
R01655__chlo	0.0	0.0	True	-0.9920325134965501
R03067__cytop	0.0012921023140605172	0.0013345823901392193	True	-1.0
DGDGS_160_183__chlo	0.0	0.0	True	0.7489405984734961
T_DNDPt47m__mitmem	0.0	0.0	True	0.5104187963442083
BMGR5449__er	0.0	0.0	True	-0.42086774897939805
BMGR5308__er	1.3903711746802184e-22	1.491237362317048e-22	True	-1.0
PSIICSb__chlo	0.0	0.0	True	-1.0
BMGR5670__er	0.0	0.0	True	-0.8976649179932465
BMGR1072__er	4.833902770750538e-36	5.236728001646416e-36	True	-1.0
BMGR0954__er	0.9998353394314916	1.0	False	-1.0
R01401__cytop	0.0	0.0	True	0.4751435635615834
BMGR1538__er	0.0	0.0	True	-1.0
R00549__chlo	0.0	0.0	True	-0.48282261885957983
BMGR5975__nucl	0.0	0.0	True	1.0
T_G14LACtm__mitmem	0.0	0.0	True	-0.47353194338179033
BMGR1283__er	0.0	0.0	True	-1.0
BMGR5766__er	1.5302180063410597e-129	1.7367552084011426e-129	True	1.0
T_ACALDth__chlomem	0.0	0.0	True	-1.0
ECOAI3Z3E10__pero	1e-323	1e-323	True	-0.41055694852633984
R02094__nucl	0.0	0.0	True	-1.0
T_4MOPth__chlomem	0.0	0.0	True	1.000028492905493
R00658__cytop	0.0	0.0	True	-0.381271753887072
rxn05736__pero	0.0	0.0	True	0.9180057525839215
RXN_16020__er	0.0	0.0	True	-0.4453473922048578
TO0000021t__plas	0.0	0.0	True	0.869359971004143
T_L_SERtx__permem	8.842136544726553e-221	1.05378887587837e-220	True	-0.2469575940646922
BMGR5973__nucl	0.0	0.0	True	1.0
TO1100009t__plas	0.0	0.0	True	0.18344205773340033
BMGR5607__lip	0.0	0.0	True	0.8361081137984577
T_PPItx__permem	0.0	0.0	True	-0.0923737957561757
BMGR1273__er	0.3667356837968788	0.3740108731959152	False	-1.0
ETBCAROPSII__chlo	0.0	0.0	True	0.4955990022353635
R03038__cytop	0.0	0.0	True	-0.4744027884423808
BMGR1147__er	0.934921367863862	0.9441036312982393	False	-1.0
R12570__cytop	0.0	0.0	True	0.2408570548129312
R01880__cytop	0.0	0.0	True	0.815296660550131
