Reaction,Pvalue,Padj,Reject,FC,Padj_bootstrap
BMGR4709__chlomem,2.287545241675173e-53,2.517969506895008e-53,True,-1.0,
BMGR3936__ermem,7.994166139352894e-100,8.98301232350534e-100,True,-1.0,
BMGR3323__er,0.0,0.0,True,-1.0,
T_FA160th__chlomem,3.620805957893773e-124,4.0951315383778575e-124,True,-1.0,
R03503__cytop,0.0012921023140605172,0.0013345823901392193,True,-1.0,
R01021__cytop,0.0,0.0,True,-1.0,
BMGR6088__mito,1.2201987546301659e-95,1.365704890140245e-95,True,-1.0,
TR2900012th__chlomem,0.0,0.0,True,-1.0,
BMGR4814__ermem,0.0,0.0,True,-0.9619120167587127,
BMGR0131__er,2.0974477637321213e-80,2.338307955427333e-80,True,1.0,
BMGR1095__er,2.8218888444962036e-06,2.9293770382057886e-06,True,-1.0,
T_DHAPtm__mitmem,0.0,0.0,True,1.0,
BMGR3867__ermem,1e-323,1e-323,True,-1.0,
T_G3PShuttle__mitmem,0.0,0.0,True,1.0,
T_FADth__chlomem,0.0,0.0,True,-0.8656102344889703,
R00085__cytop,0.0,0.0,True,-1.0,
BMGR0980__er,9.270472922739023e-09,9.721747682538558e-09,True,-1.0,
R00292__chlo,0.0,0.0,True,-0.8946442853665444,
BMGR1551__er,6.175533217766098e-48,6.767953555516915e-48,True,-1.0,
T_4MOPtm__mitmem,0.0,0.0,True,-1.000028492905493,
BMGR0190__chlo,0.0,0.0,True,1.0,
R10996__mito,0.0,0.0,True,1.0,
BMGR0476__mito,0.0,0.0,True,-1.0,
DGDGS_182_164__chlo,9.379316706833986e-17,9.993412336720902e-17,True,-1.0,
BMGR4809__ermem,0.0,0.0,True,1.2199781659388647,
BMGR1116__er,7.165569436261467e-301,8.876515917208893e-301,True,-1.0,
BMGR5609__lip,0.0,0.0,True,-1.0,
T_ADPtm__mitmem,0.0,0.0,True,-1.0,
BMGR4830__ermem,0.0,0.0,True,-0.967259006815969,
R03172__mito,0.0,0.0,True,-1.0,
BMGR6075__cytop,6.72517656361e-208,7.923098639003031e-208,True,-1.0,
TR2000079th__chlomem,0.0,0.0,True,-0.9199364107332219,
T_CDPtn__nucmem,0.0,0.0,True,1.0,
BMGR1157__er,3.446725029610878e-13,3.6517527011615013e-13,True,-1.0,
STCHLbPSII__chlo,0.0,0.0,True,0.670112504012726,
T_COAth__chlomem,0.0,0.0,True,-0.9867339198748876,
R00582__chlo,0.0,0.0,True,-0.9826743702555524,
BMGR0912__chlo,0.0,0.0,True,-1.0,
T_SLC25A17_NMN_COA__permem,0.0,0.0,True,1.0,
BMGR3238__cytop,1e-323,1e-323,True,-1.0,
BMGR0976__er,3.930639500523146e-26,4.229831850705687e-26,True,-1.0,
BMGR5907__cytop,6.273904229741002e-05,6.500948862883256e-05,True,-1.0,
T_PE181183y__ermem,0.0,0.0,True,-1.0,
R06948__chlo,0.0,0.0,True,-0.9997309296381005,
R01791__chlo,0.0,0.0,True,-1.0,
BMGR0497__chlo,5.2274051049248315e-143,5.962879650700942e-143,True,-1.0,
R01655__chlo,0.0,0.0,True,-0.9920325134965501,
R03067__cytop,0.0012921023140605172,0.0013345823901392193,True,-1.0,
DGDGS_160_183__chlo,0.0,0.0,True,0.7489405984734961,
BMGR5308__er,1.3903711746802184e-22,1.491237362317048e-22,True,-1.0,
PSIICSb__chlo,0.0,0.0,True,-1.0,
BMGR5670__er,0.0,0.0,True,-0.8976649179932465,
BMGR1072__er,4.833902770750538e-36,5.236728001646416e-36,True,-1.0,
BMGR1538__er,0.0,0.0,True,-1.0,
BMGR5975__nucl,0.0,0.0,True,1.0,
BMGR1283__er,0.0,0.0,True,-1.0,
BMGR5766__er,1.5302180063410597e-129,1.7367552084011426e-129,True,1.0,
T_ACALDth__chlomem,0.0,0.0,True,-1.0,
R02094__nucl,0.0,0.0,True,-1.0,
T_4MOPth__chlomem,0.0,0.0,True,1.000028492905493,
rxn05736__pero,0.0,0.0,True,0.9180057525839215,
TO0000021t__plas,0.0,0.0,True,0.869359971004143,
BMGR5973__nucl,0.0,0.0,True,1.0,
BMGR5607__lip,0.0,0.0,True,0.8361081137984577,
R01880__cytop,0.0,0.0,True,0.815296660550131,
BMGR0124__er,0.0,0.0,True,1.0,
BMGR5894__cytop,6.690695263910137e-05,6.923308639965567e-05,True,-1.0,
BMGR2915__er,0.0,0.0,True,-0.7508447848614551,
BMGR0906__chlo,0.0,0.0,True,-0.8941409047932842,
R01061__cytop,0.0,0.0,True,-35.417670450681975,
BMGR4810__ermem,6.175533217766098e-48,6.767953555516915e-48,True,-1.0,
BMGR5285__chlo,0.0,0.0,True,-1.0,
R04433__mito,0.0,0.0,True,-0.7454813375691729,
SQDGS_161_161__chlo,0.0,0.0,True,-1.0,
BMGR0403__er,0.0,0.0,True,-0.9831835792597478,
TR2918400tm__mitmem,0.0,0.0,True,2.304836670377896,
T_CHOLtm__mitmem,0.0,0.0,True,1.0,
BMGR1607__chlo,7.833447935626117e-23,8.41370333826509e-23,True,-1.0,
BMGR1519__chlo,1.1441559634099407e-28,1.2341825413606514e-28,True,-1.0,
BMGR5279__mito,0.0,0.0,True,-1.0,
R00746__cytop,0.0,0.0,True,1.0,
BMGR0477__chlo,0.0,0.0,True,-1.0,
R00659__cytop,0.0,0.0,True,0.7042748860072955,
T_FA226COAtr__ermem,0.0,0.0,True,1.0,
T_PC181164__ermem,0.0,0.0,True,-1.0,
R10997__mito,0.0,0.0,True,1.0,
BMGR6090__mito,0.0,0.0,True,-1.0,
