Reaction	Pvalue	Padj	Reject	FC
BMGR5295__er	0.0	0.0	True	0.42213903629576843
BMGR4709__chlomem	2.287545241675173e-53	2.523409551250956e-53	True	-1.0
BMGR0188__er	0.0	0.0	True	1.0
BMGR3936__ermem	0.0	0.0	True	0.7247633442049162
RXN0_6427__cytop	0.0	0.0	True	0.5680977203153271
RXN_14384__chlo	0.0	0.0	True	0.1673149897591413
R01057__chlo	1.3887484607246814e-12	1.4730747429698235e-12	True	0.041944488005560464
BMGR5629__er	0.0	0.0	True	1.0
BMGR4795__ermem	1e-323	1.5e-323	True	-0.729569308722403
R04737__pero	0.0	0.0	True	-0.06382609232323784
BMGR3323__er	0.0	0.0	True	0.2793621588469795
T_FA160th__chlomem	3.620805957893773e-124	4.160391635072187e-124	True	-1.0
R03656__cytop	0.0	0.0	True	0.16797878545504316
T_CO2th__chlomem	0.0	0.0	True	1.0038143233419476
T_FADH2tx__permem	0.0	0.0	True	-0.2233806075842846
R03503__cytop	0.0	0.0	True	0.8315092165898619
R01021__cytop	0.0	0.0	True	-1.0
BMGR3613__er	0.0	0.0	True	0.4630392872831868
RXN_17790__pero	1e-323	1.5e-323	True	-0.871942407589638
BMGR6088__mito	8.78150153827399e-18	9.403945133898773e-18	True	0.1761426978818283
TR2900012th__chlomem	1e-323	1.5e-323	True	-0.002088346819504338
BMGR4814__ermem	0.0	0.0	True	0.5431958260047003
R04798__chlo	0.0	0.0	True	0.16597574272711307
TR2918366tm__mitmem	2.1213442299164643e-46	2.3331656163763965e-46	True	-0.042588502629325696
T_4HBZth__chlomem	0.0	0.0	True	0.16074213155968547
BMGR1095__er	4.840998776961906e-05	5.044022956797214e-05	True	-0.8884353741496598
R08539__er	0.0	0.0	True	0.2748297232913614
T_DHAPtm__mitmem	0.0	0.0	True	1.0
R01830__chlo	0.0	0.0	True	0.06041682253853658
R02327__cytop	0.0	0.0	True	0.529361258181968
BMGR3867__ermem	0.0	0.0	True	0.6513223356899712
T_FADth__chlomem	0.0	0.0	True	-0.8097657927402937
R02413__chlo	0.0	0.0	True	0.16798273682167464
R03460__chlo	0.0	0.0	True	0.16798273682167464
R00085__cytop	0.0	0.0	True	-1.0
BMGR0980__er	5.045176932817923e-06	5.2665805890667025e-06	True	-0.8413654618473897
BMGR1649__er	0.0	0.0	True	0.5746732675393851
R00292__chlo	0.0	0.0	True	-0.8140955207694174
BMGR1551__er	6.175533217766098e-48	6.79886374934761e-48	True	-1.0
R09504__mito	1e-323	1.5e-323	True	0.2716842346158679
RXN_17775__pero	4.28078084174734e-56	4.740874671692448e-56	True	-0.4268918342457602
R12459__nucl	0.0	0.0	True	1.0
