Reaction,Pvalue,Padj,Reject,FC,Padj_bootstrap
BMGR4709__chlomem,2.287545241675173e-53,2.523409551250956e-53,True,-1.0,
BMGR0188__er,0.0,0.0,True,1.0,
BMGR3936__ermem,0.0,0.0,True,0.7247633442049162,
BMGR5629__er,0.0,0.0,True,1.0,
BMGR4795__ermem,1e-323,1.5e-323,True,-0.729569308722403,
T_FA160th__chlomem,3.620805957893773e-124,4.160391635072187e-124,True,-1.0,
T_CO2th__chlomem,0.0,0.0,True,1.0038143233419476,
R03503__cytop,0.0,0.0,True,0.8315092165898619,
R01021__cytop,0.0,0.0,True,-1.0,
RXN_17790__pero,1e-323,1.5e-323,True,-0.871942407589638,
BMGR1095__er,4.840998776961906e-05,5.044022956797214e-05,True,-0.8884353741496598,
T_DHAPtm__mitmem,0.0,0.0,True,1.0,
T_FADth__chlomem,0.0,0.0,True,-0.8097657927402937,
R00085__cytop,0.0,0.0,True,-1.0,
BMGR0980__er,5.045176932817923e-06,5.2665805890667025e-06,True,-0.8413654618473897,
R00292__chlo,0.0,0.0,True,-0.8140955207694174,
BMGR1551__er,6.175533217766098e-48,6.79886374934761e-48,True,-1.0,
R12459__nucl,0.0,0.0,True,1.0,
BMGR0190__chlo,0.0,0.0,True,1.0,
R10996__mito,0.0,0.0,True,1.0,
R00216__chlo,0.0,0.0,True,1.0,
BMGR4809__ermem,0.0,0.0,True,1.0833333333333333,
T_FA161tx__permem,1e-323,1.5e-323,True,-0.871942407589638,
BMGR1116__er,9.057684509553072e-281,1.1435902068526636e-280,True,-0.9525989765688124,
BMGR0445__chlo,0.0,0.0,True,-1.0,
BMGR5609__lip,0.0,0.0,True,-1.0,
R03172__mito,0.0,0.0,True,-1.0,
R02529__cytop,0.0,0.0,True,1.0,
BMGR6075__cytop,6.72517656361e-208,8.11083861716934e-208,True,-1.0,
R00177__cytop,0.0,0.0,True,0.7776169231058169,
TR2000079th__chlomem,0.0,0.0,True,-0.9076102713887352,
R01843__chlo,0.0,0.0,True,-1.0,
T_CDPtn__nucmem,0.0,0.0,True,1.0,
BMGR1157__er,2.7522193691639167e-11,2.9151883038609746e-11,True,-0.8969325153374234,
STCHLbPSII__chlo,0.0,0.0,True,0.670122827329996,
