logFC..ML...LL	logFC..HL...LL	logCPM	F	PValue	FDR
KAF5836139	1.53190068426654	-0.837144051990188	11.6502502908309	1366.89985256634	4.19645358926825e-14	3.38937161213091e-10
KAF5830397	1.53006975491899	-0.986627888700422	8.33832377082079	1197.5324470303	8.77214717693694e-14	3.38937161213091e-10
KAF5836147	1.49364272773088	-0.764569789096469	10.1418456922103	1129.65069158479	1.21424824891243e-13	3.38937161213091e-10
KAF5837622	1.51089660161501	-0.717845487339374	10.8095017218457	1007.67320734852	2.29443067600726e-13	4.80339062022119e-10
KAF5831592	0.733330674544474	-1.66421057899085	10.157980278562	935.494179275301	3.47014690193588e-13	5.81180203136222e-10
KAF5838740	0.587381517111165	-1.64454705708941	8.84768664197681	820.79662136501	7.18370618060802e-13	1.00260592594019e-09
KAF5829869	1.38998437100233	-0.905438609722737	7.55655438786414	717.999866943965	1.51120083681651e-12	1.60506582111341e-09
KAF5834457	0.0639161574748715	-2.3362296908338	9.80177677841521	716.119128894093	1.53338029244176e-12	1.60506582111341e-09
KAF5836458	0.682688101711432	-1.96798071868006	6.44908705813963	695.244441333011	1.80721873181814e-12	1.68151662891612e-09
KAF5841723	2.24611505784488	1.88255089794334	7.68002232228052	660.737627014848	2.39755809235912e-12	2.00771514654153e-09
KAF5841900	1.84789806599628	-0.68943483227603	8.36351555993284	643.395423103189	2.7789856299853e-12	2.11556596959063e-09
KAF5840650	1.64541767965499	-0.510058550163386	7.37117056126228	606.527618728464	3.85553395908247e-12	2.69052011444638e-09
KAF5840697	1.55288675174261	-0.770907949822882	7.46693655861427	560.639169452237	5.96412905221533e-12	3.44300937021775e-09
KAF5838193	0.186724250387404	-1.96952328815237	7.0654365787607	555.985522483177	6.24614183522521e-12	3.44300937021775e-09
KAF5825528	1.98129935667037	-0.760796551900888	6.32773075181402	554.739063718054	6.32432743325595e-12	3.44300937021775e-09
KAF5835193	1.66740687346032	-0.652071252438657	7.71411767513852	550.809491306754	6.5784750326587e-12	3.44300937021775e-09
KAF5834285	2.21590630307059	1.28315934563736	6.83272789135405	533.098085312065	7.88457267797674e-12	3.88384774149278e-09
KAF5829909	1.01208749821691	-0.43458654781028	9.70148963007573	505.493636153494	1.05845925112765e-11	4.92418764941274e-09
KAF5833818	2.83187346984054	2.93478217976858	8.66118931380832	467.062952721484	1.63958862681965e-11	7.22627113736195e-09
KAF5839365	1.01643199804641	-1.2642206253174	8.66118703297902	459.247397188582	1.80000646701184e-11	7.53662707737856e-09
KAF5840958	1.68165367136166	-0.235539129343362	8.54115606797179	449.645191784391	2.02313139109077e-11	8.06747727094956e-09
KAF5828427	0.10962822684551	-1.61144394543909	7.70611965038041	434.794067011587	2.43592241898351e-11	8.8127517650198e-09
KAF5837245	1.16069262819839	-0.862293583938667	9.70018702338714	432.275467693639	2.5154071595963e-11	8.8127517650198e-09
KAF5828836	1.74738037239027	-1.00225446748204	6.15990573374595	431.954742207682	2.52574686363118e-11	8.8127517650198e-09
KAF5838578	2.17754979653612	2.26196001661416	6.6661829020241	420.736399885152	2.92105739411084e-11	9.5827479416073e-09
KAF5832155	1.22867928235781	-1.44028879455944	7.03275185871565	417.792491738247	3.03659765421923e-11	9.5827479416073e-09
KAF5833151	0.715003647129873	-1.25540818455381	8.04245079042658	415.013166080778	3.15065175887575e-11	9.5827479416073e-09
KAF5827635	1.11796770821828	-0.626643412212691	7.8838280646302	413.263150064577	3.2250580893699e-11	9.5827479416073e-09
KAF5826819	0.506134437178471	-1.39303473408398	7.81859862318016	411.129373875202	3.31860150831874e-11	9.5827479416073e-09
KAF5842226	-0.323595161153817	-1.54889837962494	8.65436766876167	404.811403974853	3.61492280709013e-11	1.00904545288576e-08
KAF5829216	1.21010369225234	-0.82236726554969	6.61845723656821	397.056294562371	4.02236690878724e-11	1.08655808045756e-08
KAF5833811	2.08243367972753	0.340436644829573	6.55026382606327	391.821528790339	4.3281089787112e-11	1.13261201836649e-08
KAF5838798	0.750176828676845	-1.34139497097443	7.54517260335353	382.421176035535	4.94879369267424e-11	1.2557938903774e-08
KAF5843378	0.555033791154217	-1.28708835168937	9.18588567138901	380.136129100024	5.11516868779535e-11	1.25983595857642e-08
KAF5828835	2.43544351245476	-1.03925921233795	5.08770894078003	377.024959453935	5.35241516763878e-11	1.28060356039449e-08
KAF5841543	0.373374845314034	-1.39768641174012	8.47093903787308	369.491179370791	5.98274390861523e-11	1.39165270807622e-08
KAF5832731	1.31466081848796	-1.67486744520335	6.36933542610457	366.087863181647	6.29595591588087e-11	1.42492796863747e-08
KAF5825384	-0.0372682749351095	-1.57732722837389	9.08340693272932	362.158569142211	6.68192696657801e-11	1.46938970708149e-08
KAF5830968	1.82195383991152	-0.322892169413492	7.36016523853962	360.593852972698	6.84334828948869e-11	1.46938970708149e-08
KAF5825952	0.342496941503317	-1.48211426072807	9.12585312783748	357.757016697584	7.14788193997355e-11	1.49328567152986e-08
KAF5842359	0.491289548442285	-1.03611681379713	7.34676034238892	356.29295571032	7.31128642616722e-11	1.49328567152986e-08
KAF5839068	0.663724651099097	-0.8715531261297	8.83034422079115	349.561376304729	8.12167720820524e-11	1.60602752365191e-08
KAF5832411	-0.829397453247933	-1.29724456908871	8.54468621346859	346.647549506807	8.50502409230497e-11	1.60602752365191e-08
KAF5843068	2.2222970852532	2.57616241151114	5.70042121453684	342.591438838809	9.07475911391324e-11	1.60602752365191e-08
KAF5842932	-0.215261073572595	-1.373316092053	8.97189081243727	341.734341511531	9.20083994254014e-11	1.60602752365191e-08
KAF5836815	-0.529390034503774	-1.4900594227656	10.5866776537381	341.720861899358	9.20283925168934e-11	1.60602752365191e-08
KAF5840324	0.989178830462445	-1.18285077841621	6.68841198749185	341.466511487665	9.24066091132728e-11	1.60602752365191e-08
KAF5835710	1.69899667864744	0.343480492513297	5.68496470461142	341.452974097118	9.24267903775699e-11	1.60602752365191e-08
KAF5827684	1.00370903193769	-1.6653682934836	4.86039940239323	339.327831847174	9.56603345924591e-11	1.60602752365191e-08
KAF5827296	-0.164964867633771	-1.39371779560463	7.0220718208115	338.898586603593	9.63295430348398e-11	1.60602752365191e-08
KAF5831045	0.253938413392133	-0.904603899051333	10.6481401753212	337.960369267974	9.78115640151033e-11	1.60602752365191e-08
KAF5830137	-0.193929489834593	-1.92603657798577	6.26931249149232	333.546454240354	1.05154975196506e-10	1.69339954287605e-08
KAF5842133	1.50114830458569	0.702365565872832	8.02045438601006	330.938719879414	1.09798691178942e-10	1.73481932062729e-08
KAF5836874	1.746988743744	-0.509424326163717	7.03286967337045	329.745672578478	1.12003558553481e-10	1.73688481356825e-08
KAF5839949	1.15804477590587	-1.39605542888787	5.64138575601644	321.113774180546	1.29609148905339e-10	1.97335820533329e-08
KAF5836699	0.146109981263689	-2.25470704386607	5.59100296749608	314.363837808472	1.45678082671786e-10	2.15673398138949e-08
KAF5834401	1.81714084725212	-0.124406669368526	5.9899685611438	313.756131596636	1.47236846474802e-10	2.15673398138949e-08
KAF5836102	0.882522562211293	-0.861321550275454	7.14455190829254	312.932825125845	1.49380094602105e-10	2.15673398138949e-08
KAF5835129	0.402857546786897	-2.01325331906515	5.68071280505985	311.961837507448	1.51955224387365e-10	2.15673398138949e-08
KAF5827521	0.185954250980252	-1.04749857067401	10.8894834375343	306.801743576538	1.66551201923352e-10	2.30957063079205e-08
KAF5837180	1.79611635377386	-0.380657967869901	4.82461851233589	305.573104947611	1.70266389209441e-10	2.30957063079205e-08
KAF5834790	-0.158436325274829	-1.2167747296946	10.1905627174652	305.335013752343	1.70997586707794e-10	2.30957063079205e-08
KAF5842151	0.503973528930625	-0.840117469620025	8.32822319281478	304.137854936141	1.74730733387791e-10	2.32253200220534e-08
KAF5842146	1.45002600617273	0.614399235036104	8.82328891647198	295.769607145878	2.03686330271343e-10	2.6651083276441e-08
KAF5828180	0.837323293792873	-1.07905733353654	7.49810168445063	289.577400223322	2.28791258870746e-10	2.94753538735943e-08
KAF5842616	1.47374315962972	-0.452320180748036	6.89358548839467	285.586094480587	2.46910800585251e-10	3.13088639788803e-08
KAF5841547	0.0673143597067354	-1.32568841256163	6.88507823478224	284.836265936267	2.50500822376998e-10	3.13088639788803e-08
KAF5841483	0.170641429131351	-1.35016869163391	6.84935091226079	280.041118073749	2.74970816717277e-10	3.33113845919082e-08
KAF5840026	0.858294688690483	-1.11112020808107	7.62966554617237	279.101547168853	2.80089872683445e-10	3.33113845919082e-08
KAF5838160	1.67072740377878	0.805685652179244	7.88239960256752	278.39012808254	2.84040709086264e-10	3.33113845919082e-08
KAF5836342	0.437247957340495	-0.984902284976489	8.33546860825722	278.346723648023	2.84283872429955e-10	3.33113845919082e-08
KAF5842885	1.02762229341391	-1.23995986938317	5.23056559592162	277.838912660224	2.8714707209061e-10	3.33113845919082e-08
KAF5825638	0.53899891326387	-1.3932869957976	8.02101172256847	277.27080434836	2.90390622785921e-10	3.33113845919082e-08
KAF5843794	0.657281735622761	-1.04262275521024	8.18353235740557	273.938407862752	3.10310002549053e-10	3.51153508289969e-08
KAF5840762	0.439614054776245	-1.16888198007092	6.2245308307682	271.930467146191	3.23089997238632e-10	3.60740751583507e-08
KAF5834250	0.811848531848664	-1.54310456909623	7.76231699679923	270.703958854054	3.3120162587162e-10	3.64931896716967e-08
KAF5834300	-0.148149981067907	-1.47909069135606	8.2761236391976	269.77813979241	3.37483865036372e-10	3.670246604954e-08
KAF5836457	1.38570131741396	-0.16258241485785	6.50723390653333	268.248561095982	3.48173452703632e-10	3.73795447812847e-08
KAF5827435	-0.637592506408712	-1.54592400961346	7.93188396742053	267.147791999759	3.56113610416639e-10	3.77480427041637e-08
KAF5841486	0.491037030470699	-1.19038046697782	6.9350529120121	260.276016106941	4.10800575232781e-10	4.30005502124913e-08
KAF5843151	0.159659478727225	-2.0333769009242	4.85442453254433	258.698868073287	4.24714072904551e-10	4.3908094401268e-08
KAF5829768	-0.219482748497998	-1.28329382728749	7.4391497057751	256.995857060663	4.40366148267435e-10	4.49710503120914e-08
KAF5834096	0.46413777532879	-1.2085917985851	5.99642145365027	255.354252307539	4.56101248260855e-10	4.60167693124868e-08
KAF5840033	-0.430795457527657	-1.23993316255831	10.42220655974	254.600905811232	4.63543537122506e-10	4.62108759507603e-08
KAF5829919	0.962431086919349	-0.692687387060099	7.82398960021684	253.193962081956	4.77829549785717e-10	4.62955393969139e-08
KAF5836329	1.04932030334238	-1.40338642350589	5.76297937495333	253.156353283512	4.78218491432028e-10	4.62955393969139e-08
KAF5830791	0.380864446368816	-1.04470759205909	6.72499521392914	252.890528344304	4.80978257407631e-10	4.62955393969139e-08
KAF5827522	-1.39145751037887	0.382771299275742	7.19536309805722	251.7050831079	4.93516247724347e-10	4.69625574823146e-08
KAF5831614	-1.19267500981401	0.0409109517084074	7.04099354158396	248.371932959495	5.30888695892302e-10	4.99512577460914e-08
KAF5839176	0.85057633100398	-0.0229317353409044	11.6318870795736	247.038882883464	5.46762749492232e-10	5.08732362694217e-08
KAF5843797	0.957076349483926	-0.504932819622067	6.51867359983656	244.823466538741	5.74399356616119e-10	5.24448470089534e-08
KAF5830500	-0.105888106723415	-1.18476212822341	8.56564093260725	244.562606826611	5.77760660825739e-10	5.24448470089534e-08
KAF5829880	-0.235560218733286	-1.11187777579793	8.13273315653006	244.202255438674	5.82442174806862e-10	5.24448470089534e-08
