p.geomean	stat.mean	p.val	q.val	set.size	HL_1	HL_2	HL_3
Purine metabolism	2.11514278975692e-11	0.291778392597641	2.30667992051517e-30	1.47627514912971e-28	161	7.86193106929099e-11	1.09113339218064e-11	1.57820211141274e-11
Oxidative phosphorylation	6.03153315599633e-11	0.370766064372445	8.11384528928698e-29	2.59643049257183e-27	85	2.51837043403043e-11	4.80447600996457e-11	4.04771100097586e-10
Photosynthesis	6.64661822264503e-11	0.39515347005537	1.69722614846421e-28	3.62074911672365e-27	74	8.53869837291437e-10	5.31934567505778e-11	2.19838935295911e-11
Pentose phosphate pathway	1.84662817173632e-06	0.416660211113693	6.10912094947512e-16	9.7745935191602e-15	38	3.00089157825547e-06	6.71476404979884e-07	3.38715551074381e-06
Methane metabolism	0.000189536125340955	0.323465570950193	3.84876580287179e-10	4.92642022767589e-09	41	0.000180406294684358	0.000187870761645889	0.000207658404699229
Glyoxylate and dicarboxylate metabolism	0.000425336086255167	0.304098942039174	7.176561123099e-09	7.6549985313056e-08	53	0.000145878449238822	0.000541530401313744	0.00170199689607172
Nitrogen metabolism	0.000652932226591882	0.338362736670537	1.3706794116001e-08	1.25319260489152e-07	32	0.000931121096040962	0.000949258080237592	0.00032681756165437
Glycolysis / Gluconeogenesis	0.000757143290302851	0.245432640347256	2.18201886260242e-08	1.74561509008194e-07	78	0.000823454038295131	0.00041754564301641	0.00137045591775348
Carbon fixation by Calvin cycle	0.00100399722978378	0.303350004665858	5.50333556825894e-08	3.91348307076191e-07	59	0.00130447417869866	0.000221784208806174	0.00376100069103998
Glutathione metabolism	0.00163945550064404	0.242735628437101	2.19499218827944e-07	1.40479500049884e-06	54	0.00162589496147432	0.000799862873720181	0.00402296582443243
Porphyrin metabolism	0.00142568857212629	0.242841171546187	2.56867035831403e-07	1.49449911756453e-06	61	0.000469822371334952	0.00121653616303047	0.00920478755575356
Alanine, aspartate and glutamate metabolism	0.00215847986143532	0.292891220199418	4.77077438234063e-07	2.544413003915e-06	36	0.00240577798794562	0.00190865072286918	0.0027492102323571
Riboflavin metabolism	0.00239835740410885	0.430528004094294	7.31195467434095e-07	3.59973153198324e-06	16	0.0043335564281845	0.00625007355954954	0.000642127564428807
Pyruvate metabolism	0.00557832623931106	0.276888410936054	6.32645746692019e-06	2.89209484202066e-05	76	0.00516585811343254	0.00317286106971112	0.0116558316037199
Metabolism of xenobiotics by cytochrome P450	0.00889526495166497	0.331673836208073	2.86068384962363e-05	0.000122055844250608	21	0.00385246595648811	0.0106201106121104	0.0226756183322104
Arginine biosynthesis	0.0149235514329634	0.282525122835393	0.000107728611709102	0.000430914446836407	27	0.0101032366967506	0.0109532549675718	0.0363745640334877
Nicotinate and nicotinamide metabolism	0.021152090894524	0.283751268731947	0.000238172172410676	0.00089664817848725	24	0.0145034162735317	0.0159893863031388	0.0424237294995146
Folate biosynthesis	0.0186432300875478	0.238136349495635	0.000490623399140086	0.00174443875249808	37	0.0567607013733965	0.00135133482617935	0.130010693436684
Drug metabolism - cytochrome P450	0.0327915947308766	0.305520070593078	0.000866340117658784	0.00291819829106117	18	0.0177405851498738	0.0426215002508964	0.0545835902127405
Phenylalanine, tyrosine and tryptophan biosynthesis	0.030288436768884	0.260296268298305	0.000926075494282371	0.00296344158170359	26	0.168562677244786	0.00955917289065617	0.0183653181708529
Thiamine metabolism	0.0391682348877866	0.306076348562992	0.00143727335219365	0.00438026164478066	33	0.0978483237846544	0.0351555380832567	0.0197393042358592
Drug metabolism - other enzymes	0.0410275024687296	0.206289879761086	0.00200207695968482	0.00582422388271949	39	0.0396949656406725	0.0623449223679124	0.0450438133383975
Fatty acid biosynthesis	0.0456440390387961	0.315781791195601	0.0046170097026292	0.0128473313464465	38	0.0981347284956569	0.0079731117179386	0.209950724713883
Fatty acid degradation	0.0496018852741657	0.293278988717585	0.00508597843478413	0.0135626091594243	25	0.0573436169334773	0.00850019902214981	0.313102082802737
Pentose and glucuronate interconversions	0.0661805290749326	0.365766723356009	0.00653498695575489	0.0167295666067325	15	0.0448311206868137	0.07478703694808	0.122926172991413
Tyrosine metabolism	0.0660749959690872	0.268938160637597	0.00758986164287411	0.0182348973016559	21	0.130386306790319	0.104784769255098	0.0339092488260801
Inositol phosphate metabolism	0.0746692138736816	0.21376703056669	0.00769284729913609	0.0182348973016559	38	0.123256753758511	0.0382456311960621	0.102617397636774
Fructose and mannose metabolism	0.0811133591342593	0.237687148921653	0.010573237284683	0.0241673995078469	35	0.0478422674650204	0.0941398690878735	0.155967826830924
Pyrimidine metabolism	0.0640314725492059	0.208344902540361	0.0122174619795358	0.0269626747134582	48	0.163622702812131	0.0444936409848263	0.111791555653422
N-Glycan biosynthesis	0.0883607749954202	0.209635286739713	0.0137895985586635	0.0291833643673078	30	0.214664593893718	0.0707192324797822	0.0599379441704724
Valine, leucine and isoleucine degradation	0.0944551878796215	0.216678063339424	0.0141356921154147	0.0291833643673078	25	0.160781949969084	0.0844603922660266	0.0760255334522257
Pantothenate and CoA biosynthesis	0.0877592464792094	0.243563134236061	0.017381262449655	0.0347625248993099	24	0.0682133764304779	0.0727844476856058	0.238243648196351
