p.geomean	stat.mean	p.val	q.val	set.size	ML_1	ML_2	ML_3
Purine metabolism	1.58655076964915e-08	0.308852408520805	7.1329425578689e-22	4.5650832370361e-20	161	7.16980446313631e-08	2.47930083421834e-08	3.11710022748442e-09
Pyruvate metabolism	3.87017842522991e-07	0.311001456610537	8.36173599142182e-18	2.67575551725498e-16	76	2.98777045928814e-08	3.0779653182406e-06	7.65507120244498e-07
Fatty acid biosynthesis	1.21645355844036e-06	0.420333692336313	3.24449276100937e-16	6.92158455682e-15	38	1.64633720979146e-08	2.83702457180412e-06	4.22494577396674e-05
Propanoate metabolism	2.5126774653543e-05	0.365214538220232	2.12630027883516e-12	3.40208044613626e-11	39	5.08925571348177e-07	7.79092470322564e-05	0.000433001950110009
Other carbon fixation pathways	6.73190676347221e-05	0.428756298931738	2.28863826271693e-11	2.92945697627767e-10	26	1.31492849867019e-05	9.39176399216071e-05	0.000264371647182207
Glycolysis / Gluconeogenesis	9.61383057109311e-05	0.254998703502548	1.09483925642954e-10	1.0399707562319e-09	78	7.61124752540808e-06	0.000704455759201359	0.000254688688218935
Glyoxylate and dicarboxylate metabolism	9.71468845275692e-05	0.326912200733689	1.13746801462864e-10	1.0399707562319e-09	53	2.31256721594834e-06	0.00123251502587409	0.000368889014052577
Starch and sucrose metabolism	0.000129938908205917	0.239534500747636	2.92078493297506e-10	2.33662794638005e-09	76	2.21584655864575e-05	0.000142165648010064	0.00127841666648007
Galactose metabolism	0.000311965427598756	0.333918116225173	1.89010856592475e-09	1.34407720243538e-08	36	6.83262013636942e-05	0.000404645200170146	0.00116668194063417
Fructose and mannose metabolism	0.000302495159244398	0.337524304596371	2.26418685430503e-09	1.44907958675522e-08	35	9.67169670921947e-05	0.000223225559802605	0.00176316266920463
One carbon pool by folate	0.00071527662201941	0.351857217781363	4.66647556500951e-08	2.71504032873281e-07	28	4.72547559496829e-05	0.00623361679225037	0.0022209022329147
Thiamine metabolism	0.00128334087367333	0.315739599776057	1.25660404294101e-07	6.70188822901874e-07	33	0.00852560497831814	0.00101839064827019	0.00026881309519393
Methane metabolism	0.00192128877653019	0.289876452866029	3.38956519169833e-07	1.66870901745149e-06	41	0.00103658018030395	0.00225020720567213	0.00363962437975361
Glycerolipid metabolism	0.00220084072504165	0.273241914026744	7.19411613218095e-07	3.28873880328272e-06	43	0.001314515445565	0.0107060965963998	0.00118687037463266
Carbon fixation by Calvin cycle	0.00237822256168355	0.319734081440274	8.63622525375131e-07	3.68478944160056e-06	59	0.000400165205431766	0.0108849044464673	0.00417838250131491
Pentose phosphate pathway	0.0034513426108697	0.299998724444955	2.17463763042318e-06	8.33272991935395e-06	38	0.00156772624915997	0.00552922463655882	0.00690867725065537
Inositol phosphate metabolism	0.00333546241607369	0.270333208817366	2.21338138482839e-06	8.33272991935395e-06	38	0.000645350186584085	0.00222793955410907	0.0294731220608451
Porphyrin metabolism	0.00393353869303513	0.23804407443934	4.33422001462047e-06	1.54105600519839e-05	61	0.000695711281706696	0.0117592400339253	0.012455328884511
Fatty acid degradation	0.00647730452586877	0.318701636245496	2.01943899468718e-05	6.80232082420946e-05	25	0.00102972626340058	0.0143662756639676	0.0327497843497851
Lipoic acid metabolism	0.013998277335949	0.259479964012187	0.000106633771570391	0.000341228069025251	32	0.00169385949282893	0.0285386220294911	0.0569992483565414
Amino sugar and nucleotide sugar metabolism	0.012004067319201	0.218751401116854	0.000132378631213836	0.000403439637985024	47	0.000680346502650849	0.0756492186867078	0.0464871708706361
Biosynthesis of unsaturated fatty acids	0.00941551714461853	0.360725154540266	0.000142124002944809	0.000413451644930354	18	0.000302633245365631	0.132288306994215	0.0408278162323152
Glycine, serine and threonine metabolism	0.013575690838316	0.226368961814691	0.000184196748359949	0.00051254747369725	57	0.000639437822091572	0.0788699139498448	0.0623015017495281
Sphingolipid metabolism	0.0133046275771018	0.376438476998559	0.000324029670773882	0.000864079122063684	16	0.00700900087631723	0.009118759436567	0.137884366230789
Pentose and glucuronate interconversions	0.026989025820166	0.405045351473923	0.00151057151756799	0.00385442748055785	15	0.0169486316082063	0.19950352430491	0.014933682118056
Valine, leucine and isoleucine degradation	0.0377260992799164	0.251099845715897	0.00156586116397663	0.00385442748055785	25	0.00878139161930303	0.0817580196257053	0.0886205575088305
beta-Alanine metabolism	0.0525501914197429	0.241911502826116	0.00381640183442012	0.00904628582973657	25	0.0239708386430827	0.0878647774832583	0.0986949045237472
Alanine, aspartate and glutamate metabolism	0.0613766480560634	0.309886472625929	0.0061991121360647	0.0141693991681479	36	0.021251692156662	0.137442267757798	0.112999420578408
Glycerophospholipid metabolism	0.0611415123464958	0.195573455370112	0.00700515443564782	0.0154596511683262	56	0.06237289991546	0.223649027866421	0.024964897923864
Citrate cycle (TCA cycle)	0.0732684596529611	0.391787254857794	0.0109469501141506	0.0233534935768546	37	0.0131414730087293	0.121104288230501	0.28138790483054
Glutathione metabolism	0.0739703826841792	0.228467128123919	0.0147105348891628	0.0303701365453685	54	0.00721681560983393	0.359515748825961	0.167017795937481
Selenocompound metabolism	0.0953460476067318	0.291517026338152	0.0226027552506165	0.045205510501233	18	0.0478408123297228	0.141047830936375	0.233594808404851
Carotenoid biosynthesis	0.120722738508717	0.228305634107772	0.0322521460147907	0.0625496165135335	22	0.0523027695410575	0.231168783533424	0.199313220034899
Pantothenate and CoA biosynthesis	0.17498257008293	0.251419892849868	0.0609975033130629	0.114818829765765	24	0.11207458014502	0.262034440845046	0.204435604939551
Biotin metabolism	0.158358313393719	0.251816340666541	0.0675544956934182	0.123528220696536	20	0.0946971814338643	0.211194724686868	0.317938960027127
Arginine and proline metabolism	0.176450028292604	0.292975415542486	0.0968438651758847	0.172166871423795	36	0.287375881389247	0.259307844214935	0.148085499259043
Butanoate metabolism	0.21862568167397	0.246926261457147	0.129224141318176	0.223522839036845	16	0.111811390342912	0.324972330055432	0.387231517363943
Riboflavin metabolism	0.242103279964508	0.342415438397581	0.188335271917476	0.314377467796909	16	0.124364081729626	0.625360094252635	0.242788655525646
Nitrogen metabolism	0.302899819135792	0.287034626167363	0.191867361584037	0.314377467796909	32	0.252437998860179	0.337880284549208	0.335934130177596
Metabolism of xenobiotics by cytochrome P450	0.268213215778384	0.254751555346483	0.197047157829217	0.314377467796909	21	0.132016377808732	0.531784350401267	0.330357213208657
Ascorbate and aldarate metabolism	0.152263024711358	0.260740381204699	0.201398065307395	0.314377467796909	27	0.123462221925414	0.571467753974579	0.318691991756505
Nicotinate and nicotinamide metabolism	0.267615335187569	0.302076382861046	0.2105351435516	0.320815456840533	24	0.234116887297502	0.125049899169311	0.685066475899949
Terpenoid backbone biosynthesis	0.309017099382217	0.245204960135427	0.232342151989005	0.345811575053403	27	0.17372311345622	0.454051967690921	0.416282368681893
Drug metabolism - other enzymes	0.287262304105561	0.232524673777304	0.23980063024801	0.348001407960119	39	0.122727543156861	0.491981266242483	0.482889769468643
Lysine degradation	0.262523081175047	0.240242326024768	0.244688489971959	0.348001407960119	22	0.0919424048582391	0.319572928906451	0.725885101659982
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.347446226792832	0.260781709195023	0.266305368846164	0.370511817525097	23	0.382842634258247	0.361044003457942	0.334634644629934
Drug metabolism - cytochrome P450	0.316542533412413	0.244587640700418	0.294378880033101	0.400856347279117	18	0.136076968840613	0.618896011191993	0.443983279355206
Tyrosine metabolism	0.364298515544435	0.279879502963784	0.349001167345917	0.465334889794556	21	0.289071447031805	0.280727833203885	0.678931267849237
Tryptophan metabolism	0.376908296436267	0.217338713129433	0.359094289570535	0.469021112908454	20	0.310648935965889	0.510401652424573	0.437571946901377
Valine, leucine and isoleucine biosynthesis	0.354098957535831	0.340236338856583	0.373659164411003	0.478283730446084	17	0.152286558249062	0.579014250591877	0.606141335175276
Ubiquinone and other terpenoid-quinone biosynthesis	0.387756860152425	0.255741907685973	0.420729873216301	0.527974742859672	22	0.276691306541845	0.589265775180298	0.508212049141345
Phenylalanine metabolism	0.391919788028054	0.310086305623443	0.436337698013339	0.537031012939494	15	0.44125984951934	0.3081168221122	0.644826756994228
Cysteine and methionine metabolism	0.444710965746183	0.257431374597525	0.616649622570766	0.744633506500548	68	0.201166327376011	0.825238256294689	0.661235066300917
Arginine biosynthesis	0.581111295525187	0.384286390696193	0.691130859947554	0.812345256011725	27	0.440132287550552	0.647949251743264	0.737363560715123
Photosynthesis	0.537628761104898	0.574201790684749	0.705066162515927	0.812345256011725	74	0.42213490799178	0.693627694282089	0.733652970412679
N-Glycan biosynthesis	0.547753448104741	0.2522601860284	0.711290674337533	0.812345256011725	30	0.296749836331982	0.726760114229784	0.814808465226484
Oxidative phosphorylation	0.429928243137215	0.468081573440322	0.742927362889543	0.812345256011725	85	0.216706720508898	0.851458196121898	0.808024711721297
Folate biosynthesis	0.476577982069618	0.238938341465586	0.750297696270458	0.812345256011725	37	0.206479246877675	0.904271533002215	0.752472461362778
Photosynthesis - antenna proteins	0.180437932847508	0.632090627731708	0.750767987622879	0.812345256011725	19	0.0388685548064155	0.816586319956748	0.979023056614095
Pyrimidine metabolism	0.612145266895693	0.27118663241478	0.761573677510992	0.812345256011725	48	0.579484200837894	0.832369891062535	0.527102702432233
Various types of N-glycan biosynthesis	0.653579405634447	0.282357068340223	0.833844670856107	0.874853425160505	20	0.547417259705477	0.680494119587485	0.862352981856638
Sulfur metabolism	0.617756296426268	0.409119751160963	0.859841951955391	0.887578789115242	27	0.515223675268988	0.897109418643288	0.714479024249774
Other types of O-glycan biosynthesis	0.64723486995311	0.328267655475648	0.874136222384425	0.888011400517511	15	0.417891273246726	0.791983800851548	0.916080433699315
Phenylalanine, tyrosine and tryptophan biosynthesis	0.898586252791563	0.391372660204727	0.995212517483539	0.995212517483539	26	0.846299820996623	0.950218604618725	0.965601447491058
Caprolactam degradation	NA	NA	NA	NA	5	NA	NA	NA
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	NA	NA	NA	NA	3	NA	NA	NA
Monobactam biosynthesis	NA	NA	NA	NA	9	NA	NA	NA
Lysine biosynthesis	NA	NA	NA	NA	11	NA	NA	NA
Primary bile acid biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Vitamin B6 metabolism	NA	NA	NA	NA	10	NA	NA	NA
Mycolic acid biosynthesis	NA	NA	NA	NA	4	NA	NA	NA
Steroid hormone biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Phosphonate and phosphinate metabolism	NA	NA	NA	NA	4	NA	NA	NA
Arachidonic acid metabolism	NA	NA	NA	NA	13	NA	NA	NA
alpha-Linolenic acid metabolism	NA	NA	NA	NA	13	NA	NA	NA
Fatty acid elongation	NA	NA	NA	NA	11	NA	NA	NA
Glycosphingolipid biosynthesis - globo and isoglobo series	NA	NA	NA	NA	5	NA	NA	NA
Cyanoamino acid metabolism	NA	NA	NA	NA	10	NA	NA	NA
Isoquinoline alkaloid biosynthesis	NA	NA	NA	NA	11	NA	NA	NA
Tropane, piperidine and pyridine alkaloid biosynthesis	NA	NA	NA	NA	12	NA	NA	NA
Biosynthesis of various nucleotide sugars	NA	NA	NA	NA	9	NA	NA	NA
Penicillin and cephalosporin biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
D-Amino acid metabolism	NA	NA	NA	NA	5	NA	NA	NA
Prodigiosin biosynthesis	NA	NA	NA	NA	6	NA	NA	NA
C5-Branched dibasic acid metabolism	NA	NA	NA	NA	9	NA	NA	NA
Glucosinolate biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Lipopolysaccharide biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Steroid biosynthesis	NA	NA	NA	NA	11	NA	NA	NA
Benzoate degradation	NA	NA	NA	NA	1	NA	NA	NA
Styrene degradation	NA	NA	NA	NA	3	NA	NA	NA
Phenazine biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Histidine metabolism	NA	NA	NA	NA	10	NA	NA	NA
Indole alkaloid biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Betalain biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Cutin, suberine and wax biosynthesis	NA	NA	NA	NA	13	NA	NA	NA
Streptomycin biosynthesis	NA	NA	NA	NA	8	NA	NA	NA
Ether lipid metabolism	NA	NA	NA	NA	4	NA	NA	NA
Atrazine degradation	NA	NA	NA	NA	3	NA	NA	NA
Novobiocin biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Degradation of flavonoids	NA	NA	NA	NA	4	NA	NA	NA
Biosynthesis of various plant secondary metabolites	NA	NA	NA	NA	8	NA	NA	NA
Peptidoglycan biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Pinene, camphor and geraniol degradation	NA	NA	NA	NA	1	NA	NA	NA
Glycosaminoglycan biosynthesis - keratan sulfate	NA	NA	NA	NA	2	NA	NA	NA
Glycosphingolipid biosynthesis - lacto and neolacto series	NA	NA	NA	NA	2	NA	NA	NA
Retinol metabolism	NA	NA	NA	NA	2	NA	NA	NA
Carbapenem biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Zeatin biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Sesquiterpenoid and triterpenoid biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Polyketide sugar unit biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Other glycan degradation	NA	NA	NA	NA	8	NA	NA	NA
Caffeine metabolism	NA	NA	NA	NA	2	NA	NA	NA
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	NA	NA	NA	NA	3	NA	NA	NA
Exopolysaccharide biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Biosynthesis of ansamycins	NA	NA	NA	NA	2	NA	NA	NA
Neomycin, kanamycin and gentamicin biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Glycosphingolipid biosynthesis - ganglio series	NA	NA	NA	NA	4	NA	NA	NA
Taurine and hypotaurine metabolism	NA	NA	NA	NA	2	NA	NA	NA
Glycosaminoglycan degradation	NA	NA	NA	NA	3	NA	NA	NA
Aminobenzoate degradation	NA	NA	NA	NA	2	NA	NA	NA
Aflatoxin biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Mannose type O-glycan biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Chloroalkane and chloroalkene degradation	NA	NA	NA	NA	1	NA	NA	NA
Naphthalene degradation	NA	NA	NA	NA	1	NA	NA	NA
