Pathways,ListReactions,SetSize,P-value,P-value_adj,Reject
Carbon fixation in photosynthetic organisms,14,33,0.01516970356434783,0.039530159869937714,True
Arginine and proline metabolism,11,24,0.016087516282652165,0.039530159869937714,True
Pantothenate and CoA biosynthesis,11,24,0.016087516282652165,0.039530159869937714,True
Glyoxylate and dicarboxylate metabolism,17,42,0.013608879247499888,0.03677292903047842,True
Cysteine and methionine metabolism,8,58,0.01242589417081646,0.03430627303681935,True
Oxidative phosphorylation,5,7,0.01236685535878229,0.03430627303681935,True
"Alanine, aspartate and glutamate metabolism",15,34,0.00877062138528992,0.02642093349412813,True
"Valine, leucine and isoleucine biosynthesis",14,30,0.006461936693339177,0.020773182429719723,True
Nitrogen metabolism,9,16,0.00654273462353377,0.020773182429719723,True
Pyruvate metabolism,20,47,0.004856398673617774,0.01695419753892305,True
Ubiquinone and other terpenoid-quinone biosynthesis,3,41,0.002248620410169101,0.009212090067466962,True
Biosynthesis of unsaturated fatty acids,14,27,0.0021331206925075535,0.00903021093161531,True
BOIMMG (PC),38,203,0.0018248652925338662,0.00799165145351038,True
Propanoate metabolism,13,23,0.001142863164800859,0.005375689701100336,True
Citrate cycle (TCA cycle),15,26,0.00037335586706598934,0.001975674796557527,True
Glycolysis / Gluconeogenesis,22,44,0.00029155495221425636,0.0016098903883135023,True
Carbon fixation pathways in prokaryotes,19,35,0.00019322108783651108,0.0012269539077618453,True
Purine metabolism,51,120,3.145108821165343e-05,0.00021022569488842027,True
Arginine biosynthesis,17,26,1.7376204030768884e-05,0.00012981046540633224,True
One carbon pool by folate,18,27,6.617820349790597e-06,6.0033084601671845e-05,True
Pentose phosphate pathway,21,31,7.68349903105996e-07,8.131703141205124e-06,True
Fatty acid elongation,24,34,3.7101477645053017e-08,4.7118876609217333e-07,True
Photosynthesis,15,16,1.3836339524591116e-08,1.9524612440256353e-07,True
BOIMMG (PI),6,122,4.638644200360337e-10,8.41582590636804e-09,True
Fatty acid degradation,31,44,4.213834355445069e-10,8.41582590636804e-09,True
Fatty acid biosynthesis,57,100,2.2494751865335453e-11,7.142083717244006e-10,True
MetaCyc: fatty acid beta-oxidation II,25,29,9.408880392901819e-12,3.98309269966177e-10,True
Photon Absorption,22,22,7.63572103817555e-14,4.8486828592414746e-12,True
Fatty acid metabolism,77,122,2.520263701882274e-18,3.2007349013904877e-16,True
