Reaction	Pvalue	Padj	Reject	FC
R03660__cytop	0.0	0.0	True	0.12936992918302562
R00706__mito	0.0	0.0	True	0.6491229989650996
R04535__chlo	0.0	0.0	True	0.845943821942831
R01655__mito	0.0	0.0	True	0.766666469609601
BMGR4787__ermem	0.0	0.0	True	0.3897613901805401
BMGR0542__chlo	0.0	0.0	True	0.7793132773466567
R01384__cytop	0.0	0.0	True	0.12949424643577365
BMGR5567__er	0.0	0.0	True	-0.04478833420132432
T_H2Sth__chlomem	0.0	0.0	True	0.1200122369417059
R10089__cytop	1.355034165354274e-74	1.5316960398942208e-74	True	0.0808220905308284
R04966__chlo	0.0	0.0	True	0.8537109930020422
BMGR3311__lip	0.0	0.0	True	0.8621502584814541
BMGR1583__er	0.0	0.0	True	-1.0
T_PC182182tr__ermem	0.03245716446609041	0.03438378124765644	True	-1.0
BMGR0399__er	0.0	0.0	True	0.7284834840899208
R00790__chlo	0.0	0.0	True	0.14873257925085617
ATPase__chlo	0.0	0.0	True	0.8317377453400537
SQDGS_140_140__chlo	0.0	0.0	True	0.7286568787384448
PHOA680__chlo	0.0	0.0	True	0.8181818671144985
BMGR5297__er	0.0	0.0	True	-0.007481268404716103
BMGR1567__chlo	2.6218417475918143e-06	2.807885708656148e-06	True	-1.0
BMGR2207__er	1e-323	1.5e-323	True	0.12258840247035038
BMGR5658__er	0.0	0.0	True	-1.0
BMGR0526__chlo	0.5689366476865705	0.5939581996557066	False	-0.005519367510317706
BMGR0970__er	6.6011427584807e-08	7.088183594416036e-08	True	-1.0
BMGR0045__er	0.0	0.0	True	0.9993869021066304
R00235__cytop	2.129600678930915e-230	2.556148090322085e-230	True	0.20418410216869853
R04742__pero	0.0	0.0	True	0.8887074491077531
R07512__chlo	1e-323	1.5e-323	True	0.12420839804350053
TI2000025th__chlomem	2.8367998864267103e-290	3.511886441677624e-290	True	0.15863489128807193
BMGR0936__er	3.0667934135073556e-77	3.469833362344046e-77	True	0.03626255082565767
R04218__chlo	1e-323	1.5e-323	True	0.12420839804350053
BMGR4808__ermem	1.1371326535186218e-82	1.2883639193016823e-82	True	-0.01026739547939123
R00842__chlo	0.0	0.0	True	0.9116164318786573
R07761__er	0.0	0.0	True	0.7999307063961897
R01090__mito	0.0	0.0	True	-1.0
BMGR5281__chlo	0.0	0.0	True	0.1296666896694501
DGTSS_160_183y__er	0.1808532467067878	0.19084427630474585	False	-1.0
R01063__chlo	0.0	0.0	True	0.583988000586747
R08689__chlo	0.0	0.0	True	0.20505734780589754
R02106__pero	0.0	0.0	True	0.999589771613955
T_PA161161tm__mitmem	0.0	0.0	True	0.20845921450151073
T_DGLYCtx__permem	1e-323	1.5e-323	True	0.1275815977704947
BMGR0056__er	0.0	0.0	True	0.3897613901805401
BMGR0185__er	0.0	0.0	True	-0.8856124997579817
R00770__chlo	0.0	0.0	True	0.8445622022084399
BMGR5028__er	0.0	0.0	True	-0.045242034544132746
BMGR0414__chlo	0.0	0.0	True	-0.1869088989574627
R04441__chlo	0.0	0.0	True	-1.0
BMGR5294__er	0.0	0.0	True	-0.007481268404716103
BMGR5612__er	0.0	0.0	True	-1.0
R05070__mito	0.0	0.0	True	-1.0
R11895__cytop	0.0	0.0	True	0.8545215814487815
R04204__mito	2.5039574007712966e-270	3.0687598219979052e-270	True	0.26308058692071307
BMGR3316__lip	1e-323	1.5e-323	True	0.13467890146149827
BMGR1602__chlo	0.0	0.0	True	0.14612191329405574
PHOA490__chlo	0.0	0.0	True	0.8181829964625403
R02904__eye	0.0	0.0	True	0.20077280234333633
SQDGS_181_181__chlo	0.0	0.0	True	0.27045058665001476
BMGR4803__ermem	0.0	0.0	True	-1.0
R01126__cytop	0.0	0.0	True	0.8207300554365866
R08184__cytop	0.0	0.0	True	0.12313644570544248
R04426__chlo	0.0	0.0	True	0.20421840889969878
BMGR3325__er	0.0	0.0	True	-0.04542622370564947
BMGR1600__chlo	0.0	0.0	True	0.12312449310624511
TR2918360tm__mitmem	0.0	0.0	True	0.2062540213614722
R05069__chlo	0.0	0.0	True	0.491252528744723
T_MALASPPUMPtm__mitmem	0.0	0.0	True	0.8075525583749384
T_PC2183a__ermem	1e-323	1.5e-323	True	0.8647042173789979
T_FA183tm__mitmem	1e-323	1.5e-323	True	0.30652938876580205
R08161__chlo	0.0	0.0	True	0.933544456577916
R03222__chlo	0.0	0.0	True	0.13403990024937654
T_CTPth__chlomem	0.0	0.0	True	0.20243428808003663
R04968__chlo	0.0	0.0	True	0.8559333068513202
R03051__mito	0.0	0.0	True	-1.0
BMGR3257__er	4.767929099263341e-184	5.653533776769577e-184	True	-0.17245563868035965
BMGR5279__chlo	0.0	0.0	True	0.1296666896694501
T_FA141COAth__chlomem	0.0	0.0	True	-0.03568114030223623
R00206__chlo	0.0	0.0	True	-0.33033708197852735
BMGR0909__chlo	0.0	0.0	True	-1.0
R02736__cytop	0.0	0.0	True	0.7463190011985711
BMGR5762__er	1.123237055192878e-12	1.2243934908366414e-12	True	-0.4125523012552301
T_SUCCtn__nucmem	0.0	0.0	True	0.7304514314532298
BMGR0980__er	0.7576249852868608	0.7892599441953023	False	-1.0
RXN_14389__chlo	0.0	0.0	True	0.2756931669584875
T_ALLTTtm__mitmem	0.0	0.0	True	0.999589771613955
BMGR5536__ermem	0.0	0.0	True	0.9998046132522147
BMGR5602__lip	0.0	0.0	True	0.7971024121704781
BMGR4809__ermem	0.0	0.0	True	-1.0
R03472__chlo	4.568256944595316e-309	5.681275803426015e-309	True	0.22193956691691993
BMGR3837__ermem	1.077e-321	1.354e-321	True	-0.021405049396267757
T_photon490the__chlomem	0.0	0.0	True	0.1350248163589437
R00479__pero	0.0	0.0	True	0.6051998697098787
R01108__chlo	0.0	0.0	True	0.948142429578524
R07481__er	0.0	0.0	True	0.11597158731275035
RXN_17791__pero	0.0	0.0	True	0.9482285063194171
BMGR3419__chlo	0.0	0.0	True	0.9935426734110843
BMGR0099__er	2.0890530595774075e-55	2.3227534018493684e-55	True	-0.16711935753171786
BMGR1141__er	8.158116756732367e-13	8.900756568590199e-13	True	-0.548447789275635
BMGR5737__er	0.0	0.0	True	-1.0
BMGR4819__ermem	0.0	0.0	True	0.8987809258154801
R01280__pero	0.0	0.0	True	0.8321266694642656
BMGR0428__er	1.0	1.0	False	-0.1403508771929825
BMGR3319__er	0.0	0.0	True	-0.03736703133006466
BMGR4814__ermem	0.0	0.0	True	-0.31711114119398937
T_4MTOBtm__mitmem	1e-323	1.5e-323	True	0.21712703451070442
T_DHAPtm__mitmem	0.0	0.0	True	0.2482273738263349
T_ASPth__chlomem	0.0	0.0	True	0.6461499885967071
BMGR0177__er	1.0	1.0	False	-1.0
