Reaction,Pvalue,Padj,Reject,FC,Padj_bootstrap
R04535__chlo,0.0,0.0,True,0.845943821942831,
R01655__mito,0.0,0.0,True,0.766666469609601,
BMGR0542__chlo,0.0,0.0,True,0.7793132773466567,
R04966__chlo,0.0,0.0,True,0.8537109930020422,
BMGR3311__lip,0.0,0.0,True,0.8621502584814541,
BMGR1583__er,0.0,0.0,True,-1.0,
T_PC182182tr__ermem,0.03245716446609041,0.03438378124765644,True,-1.0,
BMGR0399__er,0.0,0.0,True,0.7284834840899208,
ATPase__chlo,0.0,0.0,True,0.8317377453400537,
SQDGS_140_140__chlo,0.0,0.0,True,0.7286568787384448,
PHOA680__chlo,0.0,0.0,True,0.8181818671144985,
BMGR1567__chlo,2.6218417475918143e-06,2.807885708656148e-06,True,-1.0,
BMGR5658__er,0.0,0.0,True,-1.0,
BMGR0970__er,6.6011427584807e-08,7.088183594416036e-08,True,-1.0,
BMGR0045__er,0.0,0.0,True,0.9993869021066304,
R04742__pero,0.0,0.0,True,0.8887074491077531,
R00842__chlo,0.0,0.0,True,0.9116164318786573,
R07761__er,0.0,0.0,True,0.7999307063961897,
R01090__mito,0.0,0.0,True,-1.0,
R02106__pero,0.0,0.0,True,0.999589771613955,
BMGR0185__er,0.0,0.0,True,-0.8856124997579817,
R00770__chlo,0.0,0.0,True,0.8445622022084399,
R04441__chlo,0.0,0.0,True,-1.0,
BMGR5612__er,0.0,0.0,True,-1.0,
R05070__mito,0.0,0.0,True,-1.0,
R11895__cytop,0.0,0.0,True,0.8545215814487815,
PHOA490__chlo,0.0,0.0,True,0.8181829964625403,
BMGR4803__ermem,0.0,0.0,True,-1.0,
R01126__cytop,0.0,0.0,True,0.8207300554365866,
T_MALASPPUMPtm__mitmem,0.0,0.0,True,0.8075525583749384,
T_PC2183a__ermem,1e-323,1.5e-323,True,0.8647042173789979,
R08161__chlo,0.0,0.0,True,0.933544456577916,
R04968__chlo,0.0,0.0,True,0.8559333068513202,
R03051__mito,0.0,0.0,True,-1.0,
BMGR0909__chlo,0.0,0.0,True,-1.0,
R02736__cytop,0.0,0.0,True,0.7463190011985711,
T_SUCCtn__nucmem,0.0,0.0,True,0.7304514314532298,
T_ALLTTtm__mitmem,0.0,0.0,True,0.999589771613955,
BMGR5536__ermem,0.0,0.0,True,0.9998046132522147,
BMGR5602__lip,0.0,0.0,True,0.7971024121704781,
BMGR4809__ermem,0.0,0.0,True,-1.0,
R01108__chlo,0.0,0.0,True,0.948142429578524,
RXN_17791__pero,0.0,0.0,True,0.9482285063194171,
BMGR3419__chlo,0.0,0.0,True,0.9935426734110843,
BMGR5737__er,0.0,0.0,True,-1.0,
BMGR4819__ermem,0.0,0.0,True,0.8987809258154801,
R01280__pero,0.0,0.0,True,0.8321266694642656,
R01528__cytop,0.0,0.0,True,0.7463190011985711,
BMGR4780__ermem,0.0,0.0,True,0.8621502584814541,
BMGR5771__chlo,0.0,0.0,True,1.0,
T_FA140tx__permem,0.0,0.0,True,0.902157708225674,
TO0000021t__plas,0.0,0.0,True,0.8376850436256594,
rxn05736__er,0.0,0.0,True,0.7976452114966117,
BMGR0122__er,0.0,0.0,True,1.0,
STCHLbPSII__chlo,0.0,0.0,True,0.8327999084360209,
T_RIBth__chlomem,0.0,0.0,True,0.9996903038382869,
R01231__cytop,0.0,0.0,True,0.999838788395818,
T_4MOPth__chlomem,0.0,0.0,True,-1.0,
T_VVPA__vacmem,0.0,0.0,True,0.8024996920023737,
R04745__pero,0.0,0.0,True,0.9069704681147144,
RXN_17017__chlo,0.0,0.0,True,0.8944243486887464,
BMGR4843__chlomem,0.0,0.0,True,0.9102483229497379,
T_GLYCLTth__chlomem,0.0,0.0,True,0.8655982287373826,
BMGR0609__mito,3.0416065020756895e-11,3.308152979348337e-11,True,-0.954110898661568,
T_FA120tx__permem,0.0,0.0,True,0.7821064815635665,
BMGR0045__chlo,0.0,0.0,True,0.9873324280766088,
R04591__chlo,0.0,0.0,True,0.9870075854061118,
R00621__mito,0.0,0.0,True,0.6935575989499335,
R00010__cytop,0.0,0.0,True,0.7733075760708916,
rxn08442__cytop,0.0,0.0,True,0.8421956899331328,
R02425__mito,0.0,0.0,True,0.999589771613955,
R01863__cytop,0.0,0.0,True,0.8566254999413699,
BMGR4765__ermem,0.0,0.0,True,0.8198713578431661,
R08186__cytop,0.0,0.0,True,0.8115155284582402,
RXN_17776__pero,0.0,0.0,True,0.9150199686169532,
R07764__chlo,0.0,0.0,True,0.8746610914457968,
BMGR0035__chlo,0.0,0.0,True,-0.6898155730992236,
TR2918366tm__mitmem,1e-323,1.5e-323,True,-1.0,
RXN_20564__er,0.0,0.0,True,0.7339280121939502,
BMGR1560__er,2.146443285936436e-37,2.372537899690138e-37,True,-1.0,
BMGR0201__chlo,0.0,0.0,True,0.8398416430954195,
T_ORNth__chlomem,0.0,0.0,True,0.8210107919472652,
R00181__cytop,0.0,0.0,True,-1.0,
R00755__cytop,0.0,0.0,True,-1.0,
BMGR1546__er,0.0,0.0,True,-1.0,
R01108__mito,0.0,0.0,True,0.9688424651133618,
T_AMPth__chlomem,0.0,0.0,True,0.8275654715453943,
R01827__cytop,0.0,0.0,True,0.804497472769448,
RXN_9644__pero,0.0,0.0,True,0.9150199686169532,
R01082__mito,0.0,0.0,True,-1.0,
R01187__cytop,0.0,0.0,True,1.0,
R01600__cytop,0.0,0.0,True,0.7733075760708916,
BMGR5818__lip,0.0,0.0,True,1.0,
BMGR0205__chlo,0.0,0.0,True,0.9102483229497379,
BMGR4794__ermem,0.0,0.0,True,0.8597644668529235,
BMGR6403__chlo,0.0,0.0,True,0.9955731670922174,
rxn08552__chlo,0.0,0.0,True,0.9421135634306417,
MGDGS_183_183__chlo,0.0,0.0,True,1.0,
CHLAPSIIdex__chlo,0.0,0.0,True,0.8112307968563605,
MGDGS_182_182__chlo,0.0,0.0,True,-1.0,
R04954__chlo,0.0,0.0,True,0.8458389186811525,
BMGR0052__er,0.0,0.0,True,0.8198713578431661,
R01829__cytop,0.0,0.0,True,0.804497472769448,
CYSPH_RXN__chlo,0.0,0.0,True,-0.8252512663600404,
BMGR5699__er,0.0,0.0,True,1.0,
T_FADth__chlomem,0.0,0.0,True,0.8667708306576845,
R00946__cytop,0.0,0.0,True,0.9417653916248592,
R00669__chlo,0.0,0.0,True,1.0,
T_CITtx__permem,0.0,0.0,True,0.9243897185562789,
BMGR4742__ermem,0.0,0.0,True,-1.0,
R07758__er,0.0,0.0,True,0.7999307063961897,
R00127__nucl,0.0,0.0,True,-1.0,
T_MALGLUPUMPtm__mitmem,0.0,0.0,True,0.7617427603551683,
R01220__cytop,0.0,0.0,True,0.7647360640377485,
BMGR1513__chlo,0.025348024964927197,0.026864291737861725,True,-1.0,
DGDGS_181_160__chlo,0.0005290265350566941,0.0005623782079189639,True,-1.0,
BMGR3286__lip,0.0,0.0,True,0.914115714392721,
BMGR5668__er,0.0,0.0,True,-1.0,
PRODISULFREDUCT_A_RXN__chlo,0.0,0.0,True,0.974692647699868,
R02093__cytop,0.0,0.0,True,0.8407319346357225,
R00239__cytop,0.0,0.0,True,0.9959709820666192,
R00258__mito,0.0,0.0,True,0.9671462853199415,
R01274__chlo,0.0,0.0,True,0.8058856549953182,
BMGR1557__er,0.0,0.0,True,-1.0,
BMGR5720__er,0.0,0.0,True,1.0,
T_SERt2h__chlomem,0.0,0.0,True,0.791909428076917,
NGAM_D1__chlo,0.0,0.0,True,0.8239442580689403,
R05779__cytop,0.0,0.0,True,0.8980138511950695,
BMGR5691__er,0.0,0.0,True,1.0,
BMGR1526__chlo,0.0,0.0,True,-1.0,
T_AMPtn__nucmem,0.0,0.0,True,0.7561053107145068,
BMGR4866__chlomem,0.0,0.0,True,-1.0,
BMGR5773__chlo,0.0,0.0,True,1.0,
R01056__cytop,0.0,0.0,True,0.8362113548856189,
BMGR0592__er,0.0,0.0,True,0.9904807234650167,
R04737__pero,0.0,0.0,True,0.829070514535738,
BMGR4165__ermem,0.0,0.0,True,-1.0,
EX_C00080__dra,0.0,0.0,True,0.7333803933492489,
BMGR5730__er,0.0,0.0,True,0.9998515878119099,
R01132__cytop,0.0,0.0,True,0.8566254999413699,
R00515__cytop,0.0,0.0,True,0.7736892564767295,
T_NADtn__nucmem,0.0,0.0,True,0.8445460519578376,
T_DAG1836Z9Z12Z140tr__ermem,0.0,0.0,True,-1.0,
DM_pho_loss__chlo,0.0,0.0,True,0.8189246609514731,
T_PC140183__ermem,0.0038596010962783566,0.004097579105688485,True,-1.0,
T_NH4th__chlomem,0.0,0.0,True,-0.9948573610663013,
PHOA673__chlo,0.0,0.0,True,0.8181818181818181,
BMGR4905__chlomem,0.0,0.0,True,0.9956441020404578,
ETBCAROPSI__chlo,0.0,0.0,True,0.8238170580772772,
