Reaction	Pvalue	Padj	Reject	FC
R03660__cytop	0.0	0.0	True	0.21662743189295683
R00706__mito	0.0	0.0	True	0.35704784990065774
R04535__chlo	0.0	0.0	True	0.4750176074137982
R01655__mito	0.0	0.0	True	0.2692129210679563
BMGR4787__ermem	0.0	0.0	True	0.3889316381315472
BMGR0542__chlo	0.0	0.0	True	0.811922449719152
R01384__cytop	0.0	0.0	True	0.2168326788884508
BMGR5567__er	0.0	0.0	True	-0.1975322409246553
T_H2Sth__chlomem	0.0	0.0	True	0.21092351022393901
R10089__cytop	0.0	0.0	True	0.4319886241891813
R04966__chlo	0.0	0.0	True	0.4948518927170395
BMGR3311__lip	0.0	0.0	True	0.5749075682196702
BMGR1583__er	0.0	0.0	True	-1.0
T_PC182182tr__ermem	0.03245716446609041	0.034140128549517326	True	-1.0
BMGR0399__er	0.0	0.0	True	0.5082014979611903
R00790__chlo	0.0	0.0	True	0.1930930721648726
SQDGS_140_140__chlo	0.0	0.0	True	0.818512456810329
ATPase__chlo	0.0	0.0	True	0.40323660810033074
PHOA680__chlo	0.0	0.0	True	0.6
BMGR5297__er	0.0	0.0	True	-0.09387068169146226
BMGR1567__chlo	4.695033861901312e-06	4.984086078553108e-06	True	-0.9574468085106382
BMGR2207__er	0.0	0.0	True	-0.8898175397292525
BMGR5658__er	1.5302180063410597e-129	1.7301856052961677e-129	True	0.1420122754267823
BMGR0526__chlo	0.5689366476865705	0.5948086043808494	False	-0.005519367510317706
BMGR0970__er	8.836587783886384e-199	1.0250611682028703e-198	True	0.7194998310239947
BMGR0045__er	1e-323	1e-323	True	0.03292430003456619
R00235__cytop	0.0	0.0	True	0.5297692215166263
R04742__pero	0.0	0.0	True	0.5930721717681149
R07512__chlo	0.0	0.0	True	0.14167009645821013
TI2000025th__chlomem	8.492421924207678e-126	9.588730834909885e-126	True	-0.001343906921509841
BMGR0936__er	1e-323	1e-323	True	0.3125369953829762
R04218__chlo	0.0	0.0	True	0.14167009645821013
BMGR4808__ermem	0.0	0.0	True	-1.0
R00842__chlo	0.0	0.0	True	0.6326161152748806
R07761__er	0.0	0.0	True	0.48063222208114853
R01090__mito	4.353459402528541e-298	5.323835358512613e-298	True	-0.2772099546970887
BMGR5281__chlo	0.0	0.0	True	0.2265423770391266
DGTSS_160_183y__er	0.1808532467067878	0.18981727719573294	False	-1.0
R01063__chlo	0.0	0.0	True	0.2733103577664571
R08689__chlo	0.0	0.0	True	0.04063165503144394
R02106__pero	0.0	0.0	True	0.9981849770973882
T_PA161161tm__mitmem	0.0	0.0	True	0.20845921450151073
T_DGLYCtx__permem	1.1785812678484173e-197	1.3606385368656525e-197	True	0.0338294839706061
BMGR0056__er	0.0	0.0	True	0.3889316381315472
BMGR0185__er	1e-323	1e-323	True	-0.37329554267665005
R00770__chlo	0.0	0.0	True	0.6114144719921458
BMGR5028__er	0.0	0.0	True	-0.19768481449432518
BMGR0414__chlo	0.0	0.0	True	0.1965737312781013
R04441__chlo	0.0	0.0	True	-1.0
BMGR5294__er	0.0	0.0	True	-0.09387068169146226
BMGR5612__er	0.0	0.0	True	-1.0
R05070__mito	0.0	0.0	True	-1.0
R11895__cytop	0.0	0.0	True	0.5986477679725519
R04204__mito	0.0	0.0	True	0.3757420653425333
BMGR3316__lip	0.0	0.0	True	-0.08238461288962415
BMGR1602__chlo	0.0	0.0	True	0.25112601341207114
PHOA490__chlo	0.0	0.0	True	0.6000015802241114
R02904__eye	0.0	0.0	True	0.2181298280056337
SQDGS_181_181__chlo	0.0	0.0	True	0.2862149908357183
BMGR4803__ermem	1.45498276194e-313	1.79475134765e-313	True	0.2341419200221221
R01126__cytop	0.0	0.0	True	0.40038278207897576
R08184__cytop	0.0	0.0	True	0.19066777764551857
R04426__chlo	0.0	0.0	True	0.1673872781593763
BMGR3325__er	0.0	0.0	True	-0.1981158958713981
BMGR1600__chlo	0.0	0.0	True	0.18314248612914666
TR2918360tm__mitmem	0.0	0.0	True	0.2627943109836261
R05069__chlo	0.0	0.0	True	0.5472602775324098
T_MALASPPUMPtm__mitmem	0.0	0.0	True	0.6028275538028002
T_PC2183a__ermem	0.0	0.0	True	0.9836530898396088
T_FA183tm__mitmem	0.0	0.0	True	0.699361545850048
R08161__chlo	0.0	0.0	True	0.6697177886720765
R03222__chlo	1.2368469271974868e-275	1.485447006096882e-275	True	-0.11877994231887705
T_CTPth__chlomem	0.0	0.0	True	0.04875392482455943
R04968__chlo	0.0	0.0	True	0.4980747659153073
R03051__mito	0.0	0.0	True	0.7021976695660713
BMGR3257__er	1e-323	1e-323	True	-0.07042021115161007
BMGR5279__chlo	0.0	0.0	True	0.2265423770391266
T_FA141COAth__chlomem	0.0	0.0	True	-0.17033434991272914
R00206__chlo	5.0316980200028694e-253	5.962945027141348e-253	True	-0.06565057099370702
BMGR0909__chlo	5.751985933031566e-183	6.605753588172313e-183	True	-0.005703795974562448
R02736__cytop	0.0	0.0	True	0.47330717062145355
BMGR5762__er	5.697492326986149e-28	6.192591840317227e-28	True	-0.8150537634408602
T_SUCCtn__nucmem	0.0	0.0	True	0.28717140307871947
BMGR0980__er	0.7576249852868608	0.7907076154269269	False	-1.0
RXN_14389__chlo	0.0	0.0	True	0.3094923670170619
T_ALLTTtm__mitmem	0.0	0.0	True	0.9981849770973882
BMGR5536__ermem	0.0	0.0	True	-0.3614352235531204
BMGR5602__lip	0.0	0.0	True	0.43028604975902135
BMGR4809__ermem	0.0	0.0	True	-1.0
R03472__chlo	0.0	0.0	True	0.4618949536560246
BMGR3837__ermem	0.0	0.0	True	-0.28837966007823046
T_photon490the__chlomem	0.0	0.0	True	0.21450669589736562
R00479__pero	0.0	0.0	True	0.21325917170849334
R01108__chlo	0.0	0.0	True	0.6657173771940134
R07481__er	0.0	0.0	True	0.22812404052809349
RXN_17791__pero	0.0	0.0	True	0.7273765390444638
BMGR3419__chlo	0.0	0.0	True	0.9735606806696913
BMGR0099__er	5.792095136073363e-167	6.620320861023247e-167	True	-0.20336058385901395
BMGR1141__er	8.158116756732367e-13	8.744979507438692e-13	True	0.22759267949319575
BMGR5737__er	5.4592827908090716e-09	5.831287016377477e-09	True	-0.8706099815157117
BMGR4819__ermem	0.0	0.0	True	0.6804371096550149
R01280__pero	0.0	0.0	True	0.4571216824476061
BMGR0428__er	0.9866029618997998	1.0	False	-1.0
BMGR3319__er	0.0	0.0	True	-0.17511712220357845
BMGR4814__ermem	0.0	0.0	True	0.417804837913444
T_4MTOBtm__mitmem	2.1957291855648208e-57	2.409313751797035e-57	True	0.10586601874349191
T_DHAPtm__mitmem	0.0	0.0	True	0.3302302075991118
T_ASPth__chlomem	9.335971383765419e-139	1.0565886038635593e-138	True	-0.016614778706076253
BMGR0177__er	1.0	1.0	False	-1.0
TI2000026th__chlomem	1.305663280962155e-115	1.4639438737773535e-115	True	0.05586835776617966
BMGR5904__cytop	0.2369059200442076	0.2482165325463182	False	-1.0
R07675__cytop	0.0	0.0	True	0.21544973742734855
R01528__cytop	0.0	0.0	True	0.47330717062145355
BMGR4780__ermem	0.0	0.0	True	0.5749075682196702
BMGR0159__chlo	0.0	0.0	True	-0.33000063402572194
BMGR5771__chlo	0.0	0.0	True	1.0
T_FA140tx__permem	0.0	0.0	True	0.638301297183812
TO0000021t__plas	0.0	0.0	True	0.6226484558486959
BMGR1519__chlo	1.0	1.0	False	0.0
BMGR5264__er	0.0	0.0	True	-0.1580247196576741
BMGR6089__mito	1.0	1.0	False	0.0
rxn05736__er	0.0	0.0	True	0.4584054319804678
R09543__mito	0.0	0.0	True	0.48971515887630757
BMGR0122__er	0.0	0.0	True	1.0
R00842__cytop	0.0	0.0	True	0.33415978244406697
R06962__chlo	0.0	0.0	True	-0.032159768877036345
STCHLbPSII__chlo	0.0	0.0	True	-0.7646681586112968
BMGR0423__er	1e-323	1e-323	True	-0.15544957745662225
T_RIBth__chlomem	0.0	0.0	True	0.7028706836825881
RXN_19720__er	0.0	0.0	True	0.22812404052809349
BMGR5257__er	0.0	0.0	True	-0.19768481449432518
R01231__cytop	0.0	0.0	True	0.9993800628841514
BMGR1562__chlo	0.0	0.0	True	0.9829448550312677
T_4MOPth__chlomem	4.353459402528541e-298	5.323835358512613e-298	True	-0.2772099546970887
R02722__chlo	6.208432462096073e-203	7.226208275554447e-203	True	0.052071460987109394
BMGR5289__er	0.0	0.0	True	-0.40387914937623887
BMGR0613__chlo	0.0	0.0	True	0.20127940294529212
R00734__chlo	0.0	0.0	True	0.20378898890517064
R01286__chlo	0.0	0.0	True	0.2167879086102581
R08166__chlo	0.0	0.0	True	0.2117099651027533
R00894__chlo	0.0	0.0	True	0.1981307946608336
T_NA1Ht__plas	0.0	0.0	True	0.5036242525162501
R07604__mito	0.0	0.0	True	0.3757420653425333
T_VVPA__vacmem	0.0	0.0	True	0.5428482960430709
R04745__pero	0.0	0.0	True	0.6246462445201646
BMGR4796__ermem	0.0	0.0	True	-0.13878371910045417
RXN_17017__chlo	0.0	0.0	True	0.6180828152117654
BMGR4843__chlomem	0.0	0.0	True	0.6394234150674774
BMGR5447__er	0.0	0.0	True	-0.16241478057360487
T_LIPOtm__mitmem	1.075940514845141e-267	1.2782088596634694e-267	True	0.1198859979773835
T_GLYCLTth__chlomem	0.0	0.0	True	0.4629417867776388
R00497__chlo	0.0	0.0	True	0.1981307946608336
R00578__cytop	0.0	0.0	True	0.44297054247211165
R04224__mito	0.0	0.0	True	0.2286729717417122
BMGR5276__chlo	0.0	0.0	True	0.47912893811269913
BMGR1607__chlo	0.0	0.0	True	0.37685338926272255
RXN_13442__er	0.0	0.0	True	-0.13878371910045417
BMGR1295__er	0.0	0.0	True	0.2856775520699409
BMGR0609__mito	0.01209899987480774	0.012759714153685401	True	0.18108974358974358
R03845_hn646__chlo	2.2377834e-317	2.7788115e-317	True	-1.0
T_FA120tx__permem	0.0	0.0	True	0.321935933787119
BMGR0045__chlo	1.2265701494988556e-277	1.4767782248829114e-277	True	-0.04307999586762628
R04591__chlo	0.0	0.0	True	0.9455979304670451
