Reaction,Pvalue,Padj,Reject,FC,Padj_bootstrap
BMGR0542__chlo,0.0,0.0,True,0.811922449719152,
BMGR1583__er,0.0,0.0,True,-1.0,
T_PC182182tr__ermem,0.03245716446609041,0.034140128549517326,True,-1.0,
SQDGS_140_140__chlo,0.0,0.0,True,0.818512456810329,
BMGR1567__chlo,4.695033861901312e-06,4.984086078553108e-06,True,-0.9574468085106382,
BMGR2207__er,0.0,0.0,True,-0.8898175397292525,
BMGR0970__er,8.836587783886384e-199,1.0250611682028703e-198,True,0.7194998310239947,
BMGR4808__ermem,0.0,0.0,True,-1.0,
R02106__pero,0.0,0.0,True,0.9981849770973882,
R04441__chlo,0.0,0.0,True,-1.0,
BMGR5612__er,0.0,0.0,True,-1.0,
R05070__mito,0.0,0.0,True,-1.0,
T_PC2183a__ermem,0.0,0.0,True,0.9836530898396088,
T_FA183tm__mitmem,0.0,0.0,True,0.699361545850048,
R03051__mito,0.0,0.0,True,0.7021976695660713,
BMGR5762__er,5.697492326986149e-28,6.192591840317227e-28,True,-0.8150537634408602,
T_ALLTTtm__mitmem,0.0,0.0,True,0.9981849770973882,
BMGR4809__ermem,0.0,0.0,True,-1.0,
RXN_17791__pero,0.0,0.0,True,0.7273765390444638,
BMGR3419__chlo,0.0,0.0,True,0.9735606806696913,
BMGR5737__er,5.4592827908090716e-09,5.831287016377477e-09,True,-0.8706099815157117,
BMGR4819__ermem,0.0,0.0,True,0.6804371096550149,
BMGR5771__chlo,0.0,0.0,True,1.0,
BMGR0122__er,0.0,0.0,True,1.0,
STCHLbPSII__chlo,0.0,0.0,True,-0.7646681586112968,
T_RIBth__chlomem,0.0,0.0,True,0.7028706836825881,
R01231__cytop,0.0,0.0,True,0.9993800628841514,
BMGR1562__chlo,0.0,0.0,True,0.9829448550312677,
R03845_hn646__chlo,2.2377834e-317,2.7788115e-317,True,-1.0,
R04591__chlo,0.0,0.0,True,0.9455979304670451,
R02425__mito,0.0,0.0,True,0.9981849770973882,
RXN_17776__pero,0.0,0.0,True,0.6726549966050326,
BMGR0035__chlo,0.0,0.0,True,-0.7299662960913526,
BMGR1560__er,0.0,0.0,True,0.9568432877738251,
T_ORNth__chlomem,0.0,0.0,True,-0.9876250561579816,
R00181__cytop,0.0,0.0,True,-1.0,
R01108__mito,0.0,0.0,True,0.794035027146461,
RXN_9644__pero,0.0,0.0,True,0.6726549966050326,
R01082__mito,0.0,0.0,True,-1.0,
BMGR1495__er,1e-323,1e-323,True,0.9123693966970002,
R01187__cytop,0.0,0.0,True,1.0,
BMGR6114__mito,0.0,0.0,True,0.699361545850048,
BMGR6403__chlo,0.0,0.0,True,0.976147936394497,
MGDGS_183_183__chlo,0.0,0.0,True,1.0,
CHLAPSIIdex__chlo,0.0,0.0,True,0.9914412020730716,
BMGR4771__ermem,0.0,0.0,True,-0.9891262487823664,
T_CITtx__permem,0.0,0.0,True,0.6922205664080847,
R00127__nucl,0.0,0.0,True,-1.0,
T_MALGLUPUMPtm__mitmem,0.0,0.0,True,-0.8103692989972717,
BMGR1513__chlo,0.0,0.0,True,0.9001910219675262,
DGDGS_181_160__chlo,0.0005290265350566941,0.0005596275440959069,True,-1.0,
BMGR3286__lip,0.0,0.0,True,0.6913779349871519,
PRODISULFREDUCT_A_RXN__chlo,0.0,0.0,True,0.7164984794736717,
R02093__cytop,0.0,0.0,True,0.6715250654207906,
R00239__cytop,0.0,0.0,True,-0.8618967083370364,
BMGR1276__er,6.402020683114004e-180,7.3417947406352515e-180,True,0.9941118743866536,
R00258__mito,0.0,0.0,True,0.883898500532274,
BMGR1509__chlo,0.0,0.0,True,0.8092520276359267,
BMGR4866__chlomem,0.0,0.0,True,-1.0,
BMGR5773__chlo,0.0,0.0,True,1.0,
R01056__cytop,0.0,0.0,True,0.9974158415271538,
BMGR0398__er,0.0,0.0,True,-1.0,
BMGR0592__er,1.079011324427773e-62,1.1866666684139607e-62,True,0.9676637025060632,
DM_pho_loss__chlo,0.0,0.0,True,0.8282732314811139,
T_PC140183__ermem,0.0038596010962783566,0.00407928066830821,True,-1.0,
BMGR4905__chlomem,0.0,0.0,True,0.9817810928626689,
PRODISULFREDUCT_A_RXN__mito,0.0,0.0,True,0.7396174440443529,
BMGR6120__mito,0.0,0.0,True,0.699361545850048,
BMGR1547__er,0.0,0.0,True,-0.7047767127871045,
BMGR1117__er,8.836587783886384e-199,1.0250611682028703e-198,True,0.7194998310239947,
R04439__chlo,0.0,0.0,True,-1.0,
R03004__cytop,0.0,0.0,True,0.675999884454387,
BMGR5810__chlomem,0.014473851205715274,0.015244274350173068,True,-1.0,
BMGR0051__chlo,0.0,0.0,True,0.6832865657104427,
RXN_19710__er,0.0,0.0,True,-1.0,
R01890__nucl,5.083384050378214e-23,5.480700802864229e-23,True,-1.0,
R10997__mito,0.0,0.0,True,0.696383562691955,
R04439__mito,0.0,0.0,True,-1.0,
BMGR5749__er,0.0,0.0,True,1.0,
RXN_17781__pero,0.0,0.0,True,0.6726549966050326,
R00908__mito,0.0,0.0,True,-1.0,
ETNEOPSII__chlo,0.0,0.0,True,0.9374563283028223,
BMGR5272__chlo,0.0,0.0,True,1.0,
BMGR1290__er,4.960742576107605e-217,5.804766155464741e-217,True,0.9077551020408163,
BMGR0039__chlo,0.0,0.0,True,0.976147936394497,
BMGR3254__er,8.300515761340325e-06,8.807668152912328e-06,True,-1.0,
BMGR3238__cytop,0.0,0.0,True,0.9836530898396088,
T_GLXtr__ermem,0.0,0.0,True,0.9981849770973882,
BMGR0057__er,0.0,0.0,True,0.6804371096550149,
