Pathways,ListReactions,SetSize,P-value,P-value_adj,Reject
Arginine and proline metabolism,11,24,0.019420654071477635,0.04484405576504836,True
"Glycine, serine and threonine metabolism",7,50,0.016275414145043757,0.03827736289667698,True
BOIMMG (PG),22,117,0.011151457149973964,0.027769314863660653,True
Glycolysis / Gluconeogenesis,5,44,0.008720907691660264,0.023565005890230924,True
Amino sugar and nucleotide sugar metabolism,5,44,0.008720907691660264,0.023565005890230924,True
Fatty acid elongation,3,34,0.008198113336936926,0.023136897639799772,True
Fatty acid biosynthesis,16,100,0.0037989259160394746,0.012061589783425333,True
Pyrimidine metabolism,40,105,0.0031031840254068005,0.01010524028786317,True
One carbon pool by folate,14,27,0.0028113707880155978,0.009395897107315287,True
Carbon fixation pathways in prokaryotes,17,35,0.0025492711060665957,0.008750200823525883,True
Arginine biosynthesis,14,26,0.0018283463296317776,0.007036363147370781,True
Ubiquinone and other terpenoid-quinone biosynthesis,3,41,0.0016616213884572757,0.006594559885439813,True
Oxidative phosphorylation,6,7,0.0016498323414802347,0.006594559885439813,True
Fatty acid degradation,3,44,0.00081013016295941,0.0035478114033050023,True
BOIMMG (MGDG),5,62,0.00018488906645570735,0.0009937070068935206,True
BOIMMG (PA),32,193,0.00011336247117332624,0.000685573039952973,True
BOIMMG (DAG),110,290,3.8456533016465626e-05,0.0002441989846545567,True
Glyoxylate and dicarboxylate metabolism,24,42,1.6951718153953447e-05,0.00011330885292379409,True
Photosynthesis,13,16,6.008581686553066e-06,5.450641958515996e-05,True
BOIMMG (PI),12,122,1.5325212252174945e-06,1.7693654145692893e-05,True
Purine metabolism,58,120,1.851574994615758e-07,2.351500243162013e-06,True
BOIMMG (DGDG),25,36,6.026530079123967e-08,8.504103556097154e-07,True
Fatty acid metabolism,8,122,5.52058039937659e-09,1.0015910153154671e-07,True
Photon Absorption,22,22,1.453717705790042e-13,6.154071621177845e-12,True
BOIMMG (TAG),108,197,5.594888898274427e-17,3.552754450404261e-15,True
BOIMMG (PC),125,203,1.1583160074816335e-25,1.4710613295016746e-23,True
