Reaction	Pvalue	Padj	Reject	FC
R03660__cytop	0.0	0.0	True	0.18904462163537505
R04535__chlo	0.0	0.0	True	-0.17640504558376544
R01655__mito	0.0	0.0	True	0.8717149894174596
BMGR4787__ermem	0.0	0.0	True	1.0
BMGR0542__chlo	0.0	0.0	True	0.9952849528495284
R01384__cytop	0.0	0.0	True	0.18904160093178546
BMGR5567__er	0.0	0.0	True	-0.26835456373069727
BMGR5890__cytop	0.0	0.0	True	0.8582121854751981
T_H2Sth__chlomem	0.0	0.0	True	0.18905687129686838
BMGR5889__cytop	0.0	0.0	True	-0.9894852792700636
BMGR3260__lip	0.0	0.0	True	1.0
R10089__cytop	1e-323	1e-323	True	0.08057267017888493
R04966__chlo	0.0	0.0	True	-0.17355378162584056
BMGR3311__lip	0.0	0.0	True	1.0
T_PC181181__ermem	0.0	0.0	True	0.8850390770336942
BMGR5902__cytop	0.0	0.0	True	0.8637220881406165
R00085__nucl	0.0	0.0	True	1.0
T_PC182182tr__ermem	0.0	0.0	True	0.8637170018742669
R00790__chlo	0.0	0.0	True	0.6308761814977933
ATPase__chlo	0.0	0.0	True	0.823751070153418
SQDGS_140_140__chlo	0.0	0.0	True	0.9971821827246126
PHOA680__chlo	0.0	0.0	True	0.8181818671144985
BMGR5297__er	0.0	0.0	True	-0.20123479374371167
BMGR2207__er	9.911098008110411e-174	1.1048437123795212e-173	True	-0.18257389162561574
BMGR5658__er	0.0	0.0	True	0.9998606801510939
BMGR0526__chlo	1.0	1.0	False	0.0
BMGR0970__er	1.238208098389354e-286	1.4328013631011943e-286	True	0.7729336966394187
BMGR0045__er	0.0	0.0	True	-1.0
R00235__cytop	0.0	0.0	True	-0.39731161727467046
R04742__pero	0.0	0.0	True	0.189045036406676
R07512__chlo	2.7153111869143866e-265	3.1109016175153924e-265	True	0.1334421348176507
TI2000025th__chlomem	1e-323	1e-323	True	-0.08981341757487409
BMGR0936__er	0.0	0.0	True	0.7457563183704263
R04218__chlo	2.7153111869143866e-265	3.1109016175153924e-265	True	0.1334421348176507
BMGR4808__ermem	0.0	0.0	True	1.0
R00842__chlo	0.0	0.0	True	0.12923345830952984
BMGR5838__lip	0.0	0.0	True	1.0
R07761__er	0.0	0.0	True	-0.20483569332633514
R01090__mito	2.3134760150816066e-44	2.4959199938724564e-44	True	0.034377499708212744
BMGR5281__chlo	0.0	0.0	True	0.19428742157155682
R01063__chlo	0.0	0.0	True	0.5238433446027161
R08689__chlo	0.0	0.0	True	0.16484538736575943
R02106__pero	0.0	0.0	True	-0.987926618659585
T_PA161161tm__mitmem	0.0	0.0	True	0.32488166561848336
T_DGLYCtx__permem	0.0	0.0	True	-1.0
BMGR5028__er	0.0	0.0	True	0.998880386225552
BMGR5294__er	0.0	0.0	True	-0.20123479374371167
T_ABCFA180th__chlomem	0.0	0.0	True	-0.9830064456570482
R05070__mito	1.1211242232501435e-68	1.2215076362650008e-68	True	0.09168457404595651
BMGR3316__lip	0.0	0.0	True	1.0
BMGR1602__chlo	1e-323	1e-323	True	0.12887693999755587
PHOA490__chlo	0.0	0.0	True	0.8181828678271018
BMGR1058__er	0.0	0.0	True	-1.0
R02904__eye	0.0	0.0	True	0.07367122129096224
SQDGS_181_181__chlo	0.0	0.0	True	0.33001469998663635
BMGR4803__ermem	5.539032590120237e-53	6.015144832483789e-53	True	1.0
R01126__cytop	0.0	0.0	True	-1.0
BMGR1614__chlo	0.0	0.0	True	0.3053749374783579
R08184__cytop	0.0	0.0	True	-1.0
R04426__chlo	0.0	0.0	True	0.18642995648776087
BMGR3325__er	0.0	0.0	True	-0.2685053077413161
BMGR1600__chlo	0.0	0.0	True	0.11328407356838797
TR2918360tm__mitmem	0.0	0.0	True	0.18647540983606528
T_MALASPPUMPtm__mitmem	0.0	0.0	True	0.8639769639159465
T_PC2183a__ermem	0.0	0.0	True	0.8763402935826341
R08161__chlo	0.0	0.0	True	-0.19032693725059754
R03222__chlo	0.0	0.0	True	0.19823030515962728
T_CTPth__chlomem	0.0	0.0	True	0.1657549629500992
R04968__chlo	0.0	0.0	True	-0.17026676830204204
BMGR3257__er	0.0	0.0	True	0.9675356615838663
R03051__mito	0.0	0.0	True	1.0
BMGR5279__chlo	0.0	0.0	True	0.19428742157155682
