Reaction,Pvalue,Padj,Reject,FC,Padj_bootstrap
R01655__mito,0.0,0.0,True,0.8717149894174596,
BMGR4787__ermem,0.0,0.0,True,1.0,
BMGR0542__chlo,0.0,0.0,True,0.9952849528495284,
BMGR5890__cytop,0.0,0.0,True,0.8582121854751981,
BMGR5889__cytop,0.0,0.0,True,-0.9894852792700636,
BMGR3260__lip,0.0,0.0,True,1.0,
BMGR3311__lip,0.0,0.0,True,1.0,
T_PC181181__ermem,0.0,0.0,True,0.8850390770336942,
BMGR5902__cytop,0.0,0.0,True,0.8637220881406165,
R00085__nucl,0.0,0.0,True,1.0,
T_PC182182tr__ermem,0.0,0.0,True,0.8637170018742669,
ATPase__chlo,0.0,0.0,True,0.823751070153418,
SQDGS_140_140__chlo,0.0,0.0,True,0.9971821827246126,
PHOA680__chlo,0.0,0.0,True,0.8181818671144985,
BMGR5658__er,0.0,0.0,True,0.9998606801510939,
BMGR0970__er,1.238208098389354e-286,1.4328013631011943e-286,True,0.7729336966394187,
BMGR0045__er,0.0,0.0,True,-1.0,
BMGR0936__er,0.0,0.0,True,0.7457563183704263,
BMGR4808__ermem,0.0,0.0,True,1.0,
BMGR5838__lip,0.0,0.0,True,1.0,
R02106__pero,0.0,0.0,True,-0.987926618659585,
T_DGLYCtx__permem,0.0,0.0,True,-1.0,
BMGR5028__er,0.0,0.0,True,0.998880386225552,
T_ABCFA180th__chlomem,0.0,0.0,True,-0.9830064456570482,
BMGR3316__lip,0.0,0.0,True,1.0,
PHOA490__chlo,0.0,0.0,True,0.8181828678271018,
BMGR1058__er,0.0,0.0,True,-1.0,
BMGR4803__ermem,5.539032590120237e-53,6.015144832483789e-53,True,1.0,
R01126__cytop,0.0,0.0,True,-1.0,
R08184__cytop,0.0,0.0,True,-1.0,
T_MALASPPUMPtm__mitmem,0.0,0.0,True,0.8639769639159465,
T_PC2183a__ermem,0.0,0.0,True,0.8763402935826341,
BMGR3257__er,0.0,0.0,True,0.9675356615838663,
R03051__mito,0.0,0.0,True,1.0,
R00206__chlo,0.0,0.0,True,0.8961815049828477,
BMGR0108__er,0.0,0.0,True,1.0,
R02736__cytop,0.0,0.0,True,1.0,
T_AMPtm__mitmem,0.0,0.0,True,1.0,
BMGR0980__er,2.8831612633786395e-215,3.270789421458005e-215,True,0.8630824372759857,
R00183__cytop,0.0,0.0,True,0.8968245818363205,
T_ALLTTtm__mitmem,0.0,0.0,True,-0.987926618659585,
BMGR4809__ermem,0.0,0.0,True,0.9999987645626014,
BMGR3837__ermem,0.0,0.0,True,0.9999781476657462,
R00479__pero,0.0,0.0,True,1.0,
R00573__cytop,0.0,0.0,True,-1.0,
BMGR0099__er,0.0,0.0,True,-0.9146119038784044,
BMGR1141__er,7.643147484576831e-24,8.139547206053263e-24,True,-0.7471502590673575,
BMGR5737__er,0.0,0.0,True,0.9997647025030693,
BMGR4819__ermem,0.0,0.0,True,1.0,
BMGR0074__er,0.0,0.0,True,1.0,
BMGR0428__er,0.0016901574904271007,0.0017762018717579348,True,-1.0,
BMGR4814__ermem,0.0,0.0,True,0.9998838608884647,
TI2000026th__chlomem,0.0,0.0,True,0.8375068182135821,
BMGR5904__cytop,0.0,0.0,True,-0.9870520189060215,
R01528__cytop,0.0,0.0,True,1.0,
BMGR0159__chlo,0.0,0.0,True,-1.0,
BMGR4780__ermem,0.0,0.0,True,1.0,
TO0000021t__plas,0.0,0.0,True,0.8869868315338371,
BMGR1519__chlo,9.379316706833986e-17,9.94723863587164e-17,True,-0.9967479674796749,
rxn05736__er,0.0,0.0,True,0.9837142405887667,
BMGR5149__ermem,0.0,0.0,True,1.0,
STCHLbPSII__chlo,0.0,0.0,True,0.8180695329740387,
BMGR5619__er,0.0,0.0,True,0.9999460398254274,
BMGR0423__er,0.0,0.0,True,1.0,
T_RIBth__chlomem,0.0,0.0,True,-0.9901842646800738,
TI3000010tv__vacmem,0.0,0.0,True,0.7822541308898961,
BMGR5755__er,0.0,0.0,True,0.9999586266076033,
BMGR0960__er,2.529410128391676e-140,2.8034497683804194e-140,True,0.9988839285714284,
BMGR5805__chlo,0.0,0.0,True,0.9271264366701307,
BMGR3239__cytop,0.0,0.0,True,-0.9995508413087794,
BMGR1470__ermem,0.0,0.0,True,-0.8980618824462381,
T_GLYCLTth__chlomem,0.0,0.0,True,0.7178015116064027,
BMGR5674__er,0.0,0.0,True,0.9997997775588165,
T_DAG1829Z12Z180th__chlomem,0.0,0.0,True,1.0,
R04591__chlo,0.0,0.0,True,-0.824036298233786,
R00217__chlo,0.0,0.0,True,1.0,
R02425__mito,0.0,0.0,True,-0.987926618659585,
R01863__cytop,0.0,0.0,True,-1.0,
BMGR4765__ermem,0.0,0.0,True,1.0,
T_PC183a183a__ermem,0.0,0.0,True,-0.9286821060513099,
R05725__chlo,0.0,0.0,True,0.8840818072872947,
T_CDPCHOLtm__mitmem,0.0,0.0,True,0.8847566620642603,
BMGR5694__er,0.0,0.0,True,0.9997077188502953,
MGDGS_160_182__chlo,9.379316706833986e-17,9.94723863587164e-17,True,-0.9967479674796749,
T_L_SERtx__permem,0.0,0.0,True,-1.0,
DGDGG_160_183__chlo,0.0,0.0,True,0.8732539541411626,
TR2918366tm__mitmem,0.0,0.0,True,-0.9029518603017389,
R02142__cytop,0.0,0.0,True,-0.9810274006355916,
BMGR4776__ermem,2.5100616975477324e-183,2.8212263707974513e-183,True,1.0,
RXN_20564__er,0.0,0.0,True,0.9960032408379867,
T_ORNth__chlomem,0.0,0.0,True,0.7012569049219384,
R00181__cytop,0.0,0.0,True,-0.796727749318044,
BMGR1546__er,0.0,0.0,True,-1.0,
R01108__mito,0.0,0.0,True,0.8954639331838647,
T_AMPth__chlomem,0.0,0.0,True,1.0,
