Reaction	Pvalue	Padj	Reject	FC
BMGR1046__er	2.45986773719227e-22	2.5778303649278655e-22	True	1.0
R03660__cytop	0.0	0.0	True	0.29808251554706705
R04535__chlo	0.0	0.0	True	-0.36994960302857566
R01655__mito	0.0	0.0	True	-1.0
BMGR0542__chlo	0.0	0.0	True	0.9954105557218397
R01384__cytop	0.0	0.0	True	0.29808145737523606
BMGR5567__er	0.0	0.0	True	-0.6175710738966996
BMGR5890__cytop	0.0	0.0	True	0.8380377019222626
T_H2Sth__chlomem	0.0	0.0	True	0.29808021433588006
BMGR5889__cytop	0.0	0.0	True	0.4357101285848871
R10089__cytop	5.741979323437544e-132	6.26781190594627e-132	True	0.0350945694785012
R04966__chlo	0.0	0.0	True	-0.3629596520613656
BMGR6283__chlo	0.0	0.0	True	1.0
T_PC181181__ermem	0.0	0.0	True	0.8122998132774776
BMGR5902__cytop	0.0	0.0	True	0.7761528005736256
T_PC182182tr__ermem	0.0	0.0	True	0.7761459822754327
R00790__chlo	0.0	0.0	True	0.5437231934079269
SQDGS_140_140__chlo	0.0	0.0	True	0.9974033756117048
ATPase__chlo	0.0	0.0	True	0.6060409544245766
PHOA680__chlo	0.0	0.0	True	0.6
BMGR5297__er	0.0	0.0	True	-0.4459387300101841
BMGR2207__er	0.0	0.0	True	-0.999826449149601
BMGR5658__er	0.0	0.0	True	1.0
BMGR0526__chlo	1.0	1.0	False	0.0004997501249374754
BMGR0970__er	0.0	0.0	True	0.9642380316612625
BMGR0045__er	0.0	0.0	True	-1.0
R00235__cytop	0.0	0.0	True	-0.10467194018348602
R04742__pero	0.0	0.0	True	0.298125333751419
R07512__chlo	0.0	0.0	True	-1.0
TI2000025th__chlomem	2.079900567563569e-205	2.3145773165747357e-205	True	0.11430895760048145
BMGR0936__er	1.9472407007758132e-65	2.0857277856940353e-65	True	-0.6787048567870487
R04218__chlo	0.0	0.0	True	-1.0
R00842__chlo	0.0	0.0	True	0.7518516378164516
R07761__er	0.0	0.0	True	-0.44181183239028937
R01090__mito	0.0	0.0	True	0.2569955790040157
BMGR5281__chlo	0.0	0.0	True	0.2813269515718107
DGTSS_160_183y__er	1.0	1.0	False	1.0
R01063__chlo	0.0	0.0	True	0.3614900969223205
R08689__chlo	0.0	0.0	True	0.14857374618675193
R02106__pero	0.0	0.0	True	-0.9888760334723704
T_PA161161tm__mitmem	0.0	0.0	True	0.34085253530685455
T_DGLYCtx__permem	7.40838600930741e-195	8.219657747509317e-195	True	-0.07806900412070146
BMGR0185__er	0.0	0.0	True	1.0
BMGR5028__er	0.0	0.0	True	-0.617063522461599
BMGR5294__er	0.0	0.0	True	-0.4459387300101841
T_ABCFA180th__chlomem	0.0	0.0	True	0.9654953924870622
R05070__mito	2.079900567563569e-205	2.3145773165747357e-205	True	-0.015967425895301486
BMGR1602__chlo	0.0	0.0	True	0.19748722220971332
PHOA490__chlo	0.0	0.0	True	0.6000012741119158
BMGR1058__er	0.0	0.0	True	-1.0
R02904__eye	0.0	0.0	True	0.26021603007368954
SQDGS_181_181__chlo	0.0	0.0	True	0.3321344123622073
R01126__cytop	0.0	0.0	True	-1.0
BMGR1614__chlo	0.0	0.0	True	0.45475960376902624
R08184__cytop	0.0	0.0	True	0.3261078459853853
R04426__chlo	0.0	0.0	True	0.26801163136466466
BMGR3325__er	0.0	0.0	True	-0.6185980741266588
BMGR1600__chlo	0.0	0.0	True	0.20886404758065952
TR2918360tm__mitmem	0.0	0.0	True	0.28810013448989874
T_MALASPPUMPtm__mitmem	0.0	0.0	True	0.869338253103887
T_PC2183a__ermem	0.0	0.0	True	0.8457648563322332
R08161__chlo	0.0	0.0	True	-0.4028283874645755
R03222__chlo	2.0890530595774075e-55	2.2226726824811652e-55	True	-0.028740135470067683
T_CTPth__chlomem	0.0	0.0	True	0.15518059304022602
R04968__chlo	0.0	0.0	True	-0.354939039200477
BMGR3257__er	0.0	0.0	True	0.9675356615838663
R03051__mito	0.0	0.0	True	1.0
BMGR5279__chlo	0.0	0.0	True	0.2813269515718107
T_FA141COAth__chlomem	0.0	0.0	True	-0.5646939156494376
R00206__chlo	4.1054023894591765e-98	4.431448874626879e-98	True	-0.023514013761870345
R02736__cytop	0.0	0.0	True	1.0
BMGR5762__er	0.0	0.0	True	-0.7363555025350432
BMGR0980__er	0.10027104449847714	0.10299730792032513	False	-0.578512396694215
R00183__cytop	0.0	0.0	True	0.8023303931212771
RXN_14389__chlo	0.0	0.0	True	0.29729378090033837
T_ALLTTtm__mitmem	0.0	0.0	True	-0.9888760334723704
BMGR5536__ermem	0.0	0.0	True	-0.4588041260977126
BMGR4809__ermem	0.0	0.0	True	1.0
BMGR3837__ermem	0.0	0.0	True	-0.504809639530174
T_photon490the__chlomem	0.0	0.0	True	0.29019964612420024
R00573__cytop	0.0	0.0	True	-1.0
R07481__er	0.0	0.0	True	0.31538284511950554
BMGR3419__chlo	1e-323	1e-323	True	-0.1043244592249519
BMGR0099__er	0.0	0.0	True	0.9719642156273756
BMGR1141__er	4.508716049367898e-25	4.733833289703743e-25	True	-0.8070739549839229
BMGR5737__er	0.0	0.0	True	0.9656377152647779
BMGR0428__er	4.194493523049377e-301	4.7995513669800104e-301	True	0.8310038119440916
BMGR3319__er	0.0	0.0	True	-0.5742328679753383
BMGR4814__ermem	0.0	0.0	True	1.0
T_4MTOBtm__mitmem	0.0	0.0	True	0.6301207812333646
T_ASPth__chlomem	1.1785812678484173e-197	1.310907008999063e-197	True	0.010834502462788933
T_DHAPtm__mitmem	0.0	0.0	True	1.0
BMGR0177__er	0.0	0.0	True	1.0
