Reaction,Pvalue,Padj,Reject,FC,Padj_bootstrap
BMGR1046__er,2.45986773719227e-22,2.5778303649278655e-22,True,1.0,
R01655__mito,0.0,0.0,True,-1.0,
BMGR0542__chlo,0.0,0.0,True,0.9954105557218397,
BMGR5890__cytop,0.0,0.0,True,0.8380377019222626,
BMGR6283__chlo,0.0,0.0,True,1.0,
T_PC181181__ermem,0.0,0.0,True,0.8122998132774776,
BMGR5902__cytop,0.0,0.0,True,0.7761528005736256,
T_PC182182tr__ermem,0.0,0.0,True,0.7761459822754327,
SQDGS_140_140__chlo,0.0,0.0,True,0.9974033756117048,
BMGR2207__er,0.0,0.0,True,-0.999826449149601,
BMGR5658__er,0.0,0.0,True,1.0,
BMGR0970__er,0.0,0.0,True,0.9642380316612625,
BMGR0045__er,0.0,0.0,True,-1.0,
R07512__chlo,0.0,0.0,True,-1.0,
BMGR0936__er,1.9472407007758132e-65,2.0857277856940353e-65,True,-0.6787048567870487,
R04218__chlo,0.0,0.0,True,-1.0,
R00842__chlo,0.0,0.0,True,0.7518516378164516,
R02106__pero,0.0,0.0,True,-0.9888760334723704,
BMGR0185__er,0.0,0.0,True,1.0,
T_ABCFA180th__chlomem,0.0,0.0,True,0.9654953924870622,
BMGR1058__er,0.0,0.0,True,-1.0,
R01126__cytop,0.0,0.0,True,-1.0,
T_MALASPPUMPtm__mitmem,0.0,0.0,True,0.869338253103887,
T_PC2183a__ermem,0.0,0.0,True,0.8457648563322332,
BMGR3257__er,0.0,0.0,True,0.9675356615838663,
R03051__mito,0.0,0.0,True,1.0,
R02736__cytop,0.0,0.0,True,1.0,
BMGR5762__er,0.0,0.0,True,-0.7363555025350432,
R00183__cytop,0.0,0.0,True,0.8023303931212771,
T_ALLTTtm__mitmem,0.0,0.0,True,-0.9888760334723704,
BMGR4809__ermem,0.0,0.0,True,1.0,
R00573__cytop,0.0,0.0,True,-1.0,
BMGR0099__er,0.0,0.0,True,0.9719642156273756,
BMGR1141__er,4.508716049367898e-25,4.733833289703743e-25,True,-0.8070739549839229,
BMGR5737__er,0.0,0.0,True,0.9656377152647779,
BMGR0428__er,4.194493523049377e-301,4.7995513669800104e-301,True,0.8310038119440916,
BMGR4814__ermem,0.0,0.0,True,1.0,
T_DHAPtm__mitmem,0.0,0.0,True,1.0,
BMGR0177__er,0.0,0.0,True,1.0,
TI2000026th__chlomem,0.0,0.0,True,0.8294181516525808,
BMGR4882__chlomem,0.0,0.0,True,1.0,
R01528__cytop,0.0,0.0,True,1.0,
BMGR0159__chlo,0.0,0.0,True,0.9702096911173359,
BMGR4780__ermem,0.0,0.0,True,1.0,
BMGR5771__chlo,0.0,0.0,True,1.0,
TO0000021t__plas,0.0,0.0,True,0.7864570195147285,
BMGR1519__chlo,0.0,0.0,True,0.8101422387136674,
rxn05736__er,0.0,0.0,True,0.8554583255271366,
STCHLbPSII__chlo,0.0,0.0,True,0.7970359848012176,
T_RIBth__chlomem,0.0,0.0,True,-0.9834895414887896,
BMGR0036__chlo,0.0,0.0,True,1.0,
TI3000010tv__vacmem,0.0,0.0,True,0.7921131488561528,
BMGR5755__er,0.0,0.0,True,-1.0,
T_PE180__ermem,0.0,0.0,True,1.0,
BMGR3239__cytop,0.0,0.0,True,0.9997135902899522,
T_NA1Ht__plas,0.0,0.0,True,0.9884954611833409,
BMGR1470__ermem,0.0,0.0,True,-1.0,
RXN_17017__chlo,0.0,0.0,True,0.8400650842266462,
T_GLYCLTth__chlomem,0.0,0.0,True,0.7250445474420498,
BMGR5674__er,0.0,0.0,True,-0.807675311873279,
BMGR0609__mito,0.0,0.0,True,1.0,
R03845_hn646__chlo,0.0,0.0,True,-0.884224389488091,
R04591__chlo,0.0,0.0,True,-0.7861272162498485,
BMGR0002__er,0.0,0.0,True,0.7401094496148349,
BMGR0006__er,0.0,0.0,True,-0.8420512820512821,
rxn08442__cytop,0.0,0.0,True,1.0,
R02425__mito,0.0,0.0,True,-0.9888760334723704,
R01863__cytop,0.0,0.0,True,-1.0,
T_PC183a183a__ermem,0.0,0.0,True,0.999588664905898,
R05725__chlo,0.0,0.0,True,0.8502105559507112,
T_CDPCHOLtm__mitmem,0.0,0.0,True,-1.0,
R08186__cytop,0.0,0.0,True,1.0,
MGDGS_160_182__chlo,0.0,0.0,True,0.8101422387136674,
BMGR0035__chlo,0.0,0.0,True,1.0,
DGDGG_160_183__chlo,0.0,0.0,True,0.7999432685392392,
TR2918366tm__mitmem,0.0,0.0,True,1.0,
R02142__cytop,0.0,0.0,True,-0.9987972148486499,
RXN_20564__er,0.0,0.0,True,0.988976582448809,
R00181__cytop,0.0,0.0,True,-0.7569259493229931,
R00755__cytop,0.0,0.0,True,0.9708716464113901,
BMGR1546__er,0.0,0.0,True,-1.0,
R01108__mito,0.0,0.0,True,0.7620397719916873,
BMGR5807__chlomem,0.0,0.0,True,-0.7704918032786887,
R01827__cytop,0.0,0.0,True,-1.0,
TR2000078th__chlomem,0.0,0.0,True,0.8175690750614438,
R01187__cytop,0.0,0.0,True,-1.0,
BMGR1277__er,0.0,0.0,True,-1.0,
BMGR5899__cytop,0.0,0.0,True,0.9999999391224572,
R02090__cytop,0.0,0.0,True,1.0,
BMGR0038__chlo,0.0,0.0,True,1.0,
BMGR0093__er,0.0,0.0,True,0.9895127201246849,
rxn08552__chlo,0.0,0.0,True,0.8752508506195923,
BMGR5676__er,0.0,0.0,True,-1.0,
CHLAPSIIdex__chlo,0.0,0.0,True,0.7359105848525518,
TR2918394tm__mitmem,4.193819117691314e-31,4.419868942474675e-31,True,0.7756436493776031,
R01829__cytop,0.0,0.0,True,-1.0,
BMGR1067__er,0.0,0.0,True,0.9989707841581906,
BMGR1515__chlo,0.0,0.0,True,-1.0,
BMGR3231__cytop,0.0,0.0,True,0.999704610354681,
BMGR5699__er,0.0,0.0,True,-1.0,
R09654__chlo,0.0,0.0,True,-1.0,
BMGR4771__ermem,0.0,0.0,True,1.0,
BMGR5943__er,0.0,0.0,True,0.7904368629677007,
BMGR0124__er,0.0,0.0,True,1.0,
T_CITtx__permem,0.0,0.0,True,0.8682168703221225,
SQDGS_161_161__chlo,0.0,0.0,True,0.9527436047646946,
BMGR0569__chlo,0.0,0.0,True,1.0,
R01220__cytop,0.0,0.0,True,0.7666932991291133,
T_MALGLUPUMPtm__mitmem,0.0,0.0,True,0.7146979144526384,
BMGR1513__chlo,1.333544814897419e-266,1.514249308408735e-266,True,0.7742848160955675,
BMGR4792__ermem,0.0,0.0,True,1.0,
DGDGS_181_160__chlo,0.0,0.0,True,0.7775626809273668,
PRODISULFREDUCT_A_RXN__chlo,0.0,0.0,True,0.7643173439160202,
R02093__cytop,0.0,0.0,True,0.8167029075407355,
R00258__mito,0.0,0.0,True,0.9123300188682102,
R01274__chlo,0.0,0.0,True,0.8797933960217658,
BMGR6085__cytop,0.0,0.0,True,1.0,
BMGR0457__chlo,0.0,0.0,True,1.0,
BMGR1509__chlo,1.333544814897419e-266,1.514249308408735e-266,True,0.7742848160955675,
T_SERt2h__chlomem,0.0,0.0,True,0.7751182500539983,
R05779__cytop,0.0,0.0,True,1.0,
BMGR5691__er,0.0,0.0,True,-1.0,
T_AMPtn__nucmem,0.0,0.0,True,0.7755993961479057,
BMGR5773__chlo,0.0,0.0,True,-0.8767263366988327,
R01056__cytop,0.0,0.0,True,-0.770312528868956,
T_PQHtu__chlomem,0.0,0.0,True,-1.0,
R00214__mito,0.0,0.0,True,0.8238100164766556,
R00502__cytop,0.0,0.0,True,0.7949332190309081,
BMGR5551__er,0.0,0.0,True,-0.9654293289822558,
EX_C00080__dra,0.0,0.0,True,0.9320343782422063,
R00515__cytop,0.0,0.0,True,0.7125157943910045,
BMGR1138__er,3.0516336648740955e-05,3.157888318943528e-05,True,-0.8684931506849316,
R04798__chlo,0.0,0.0,True,1.0,
T_PC140183__ermem,0.0,0.0,True,0.8612752401926885,
R01058__cytop,0.0,0.0,True,-0.7919495875518732,
BMGR1929__er,0.0,0.0,True,-1.0,
rxn41994__chlo,0.0,0.0,True,0.8573983124950046,
PRODISULFREDUCT_A_RXN__mito,0.0,0.0,True,0.8369871548461453,
TR2900129tm__mitmem,0.0,0.0,True,0.8698267401703259,
BMGR1078__er,0.0,0.0,True,0.9692938890784908,
RXN0_7248__er,0.0,0.0,True,0.8911432222148057,
BMGR5620__er,0.0,0.0,True,-0.714247031062628,
BMGR1117__er,0.0,0.0,True,0.9642380316612625,
R09656__chlo,0.0,0.0,True,-1.0,
R00480__chlo,0.0,0.0,True,0.9262201438029067,
R03004__cytop,0.0,0.0,True,0.767799491251528,
BMGR1166__er,3.8413548220909056e-13,4.0067290119048335e-13,True,-0.7948717948717949,
RXN_19710__er,0.0,0.0,True,0.9949003806250014,
R00662__cytop,0.0,0.0,True,0.7977492929166266,
TI3000010t__plas,0.0,0.0,True,0.8012532246070075,
