Reaction,Pvalue,Padj,Reject,FC,Padj_bootstrap
TI3000022t__plas,0.0,0.0,True,-0.6796719695115719,
BMGR6026__cytop,0.0,0.0,True,1.0,
BMGR3276__lip,0.0,0.0,True,0.7614266228261797,
R01135__cytop,0.0,0.0,True,0.9956583887249605,
BMGR6177__cytop,0.0,0.0,True,1.0,
R02649__mito,0.0,0.0,True,-0.7211617438328205,
R03231__mito,1e-323,2.5e-323,True,-1.0,
BMGR5903__er,0.0,0.0,True,-0.9969745674576912,
BMGR1283__er,0.0,0.0,True,-1.0,
BMGR5942__er,0.0,0.0,True,1.0,
R10120__mito,1e-323,2.5e-323,True,-1.0,
R01786__cytop,0.0,0.0,True,-1.0,
R02024__cytop,0.0,0.0,True,1.0,
R01456__er,0.0,0.0,True,1.0,
R02135__chlo,1.9910433863701831e-50,2.9126120394900965e-50,True,-1.0,
R04509__chlo,1.9910433863701831e-50,2.9126120394900965e-50,True,-1.0,
T_MEOHtx__permem,1e-323,2.5e-323,True,-1.0,
BMGR5636__er,0.0,0.0,True,1.0,
R10121__mito,1e-323,2.5e-323,True,-1.0,
EX_C00080__dra,0.0,0.0,True,12.40148336048632,
BMGR7077__er,0.0,0.0,True,-1.0,
DGDGS_161_160__chlo,0.0,0.0,True,0.9983834847280779,
R10117__mito,1e-323,2.5e-323,True,-1.0,
R00945__mito,0.0,0.0,True,0.8553475298095883,
BMGR5657__er,0.0,0.0,True,0.6741550814586548,
BMGR4872__chlomem,0.0,0.0,True,-1.778403955553193,
BMGR5900__er,0.0,0.0,True,1.0,
BMGR0131__er,0.0,0.0,True,-1.0,
R01078__mito,1e-323,2.5e-323,True,-1.0,
BMGR0477__chlo,5.986294404734517e-29,7.711530212137421e-29,True,-1.0,
BMGR5638__er,0.0,0.0,True,1.0,
R00548__chlo,0.0,0.0,True,1.0,
AMOBR__mito,1e-323,2.5e-323,True,-1.0,
T_BTNtm__mitmem,1e-323,2.5e-323,True,-1.0,
BMGR6176__cytop,0.0,0.0,True,1.0,
R02283__mito,0.0,0.0,True,-0.7211617438328205,
T_SERtr__ermem,0.0,0.0,True,1.0,
BMGR1295__er,0.0,0.0,True,-0.7963788005896868,
T_NGLCNACPItr__ermem,0.0,0.0,True,-1.0,
R02297__cytop,0.0,0.0,True,0.8493143973811285,
BMGR4922__chlomem,0.0,0.0,True,-1.0316226616882331,
BMGR6179__nucl,0.0,0.0,True,1.0,
BMGR4169__chlo,0.0,0.0,True,-1.0,
T_PI160160tn__nucmem,0.0,0.0,True,-1.0,
BMGR5968__cytop,0.0,0.0,True,1.0,
R00014__cytop,0.0,0.0,True,1.0,
BMGR1279__er,0.0,0.0,True,-1.0,
BMGR6498__er,0.0,0.0,True,1.0,
BMGR5640__er,0.0,0.0,True,-1.0,
BMGR5890__er,0.0,0.0,True,-1.0,
