Reaction	Pvalue	Padj	Reject	FC
T_ALAth__chlomem	0.0	0.0	True	-0.646857235183319
T_ABCFACOA183th__chlomem	1.5214382948537709e-31	1.6989282240810777e-31	True	-0.07797383740973049
T_34HPPt2m__mitmem	1e-323	1.5e-323	True	0.3141765937403614
DGTSS_205_181__er	0.0	0.0	True	-0.558586594274868
HEPACP__chlo	0.0	0.0	True	-0.7573787196875037
R00287__chlo	0.0	0.0	True	-0.7046239018338635
RXN_21315__cytop	0.0	0.0	True	-0.7745691452789143
RXN_14381__mito	0.0	0.0	True	-0.8996807049463977
PHOA437__chlo	1.580602185391697e-38	1.7839132302299324e-38	True	0.0003178332768538321
BMGR6283__er	2.3340154752133844e-05	2.378248833009767e-05	True	-0.03917389877871675
R02301__mito	0.0	0.0	True	-1.0
T_FALDtx__permem	0.0	0.0	True	-1.0
R03991__pero	6.911261873213953e-103	9.182312699059758e-103	True	-0.14497593794364497
R12570__cytop	2.8124744337426564e-166	3.9860476130497434e-166	True	-0.210616984948103
BMGR3419__chlo	2.103220066912491e-20	2.255873136285172e-20	True	-0.06602973000479677
BMGR6173__er	0.0	0.0	True	-1.0
BMGR4795__ermem	3.090874873145668e-54	3.717582486644028e-54	True	-0.11994908664817475
R02619__cytop	0.08717458640626448	0.08762536986819026	False	0.02156065330113636
R01752__cytop	1e-323	1.5e-323	True	-0.08353769846638141
R00239__cytop	0.0	0.0	True	0.9931988486152877
R07396__chlo	0.0	0.0	True	-1.0
BMGR0396__er	7.458588214095583e-76	9.377041003492308e-76	True	-0.12821474043023165
BMGR4806__ermem	4.7483360666371624e-80	5.9995226201960545e-80	True	-0.1118853811502859
BMGR0546__er	0.0	0.0	True	-0.9702542960232967
R08182__cytop	0.0	0.0	True	1.0
BMGR6302__er	0.0	0.0	True	-1.0
T_ABCFA202th__chlomem	9.59242820642689e-52	1.139636392930924e-51	True	-0.14222340087738722
RXN_14389__mito	0.0	0.0	True	-0.8996807049463977
BMGR6163__chlo	0.0	0.0	True	-0.6953058824246336
BMGR6218__cytop	0.0	0.0	True	1.0
T_PC140140tg__golmem	3.527297123823144e-28	3.8737417783142483e-28	True	-0.11292785445738016
R10092__chlo	0.0	0.0	True	1.0468830899374124
BMGR4794__ermem	3.930639500523146e-26	4.288741803895505e-26	True	-0.053031051883280424
BMGR6396__chlo	0.0	0.0	True	-0.7234115365603255
BMGR3296__lip	2.098855001445061e-78	2.64661007417748e-78	True	-0.14382874801193207
BMGR4889__chlomem	0.0	0.0	True	0.7288154116428831
TZ2900022th__chlomem	0.0	0.0	True	0.03543984671549997
R03663__cytop	0.0	0.0	True	-0.7025421156421607
BMGR6133__er	0.0	0.0	True	0.45983533331723686
T_PQtu__chlomem	0.0	0.0	True	-0.701046337817638
BMGR6278__chlo	0.0	0.0	True	-1.0
R02737__cytop	4.727828077144241e-08	4.860545789643408e-08	True	0.0199095207341659
BMGR1229__ermem	7.128875417953623e-27	7.801935115274493e-27	True	-0.09604432926109367
R12401__er	0.0	0.0	True	-0.7084879561799093
BMGR4799__ermem	1.7450851279821908e-143	2.41767002105866e-143	True	-0.14087710683966673
R01195__chlo	0.0	0.0	True	-0.02631993890002575
BMGR4808__ermem	9.658683238549156e-15	1.0140212938850735e-14	True	-0.668715234508688
R00342__cytop	0.0	0.0	True	-1.0
TO0000205t__plas	1.7966003941245165e-77	2.2632149531169754e-77	True	-0.15240091336170664
T_ACACtm__mitmem	0.0	0.0	True	1.011663999833031
SQDGS_183_182__chlo	1.669865745518459e-104	2.2409722458444748e-104	True	-1.0
R04958__chlo	0.0	0.0	True	-1.0
T_MLTHFtm__mitmem	0.0	0.0	True	-0.472309416006243
R03270__chlo	0.0	0.0	True	0.8319325893865951
T_O2th__chlomem	0.0	0.0	True	-0.3774238757659876
RXN_16095__er	0.0	0.0	True	-0.6137023869561413
BMGR3355__chlo	0.0	0.0	True	-1.0
PKS_C184__cytop	1e-323	1.5e-323	True	-0.2668436280137772
BMGR6059__er	1e-323	1.5e-323	True	1.0
DGDGS_160_161__chlo	0.0	0.0	True	-0.6915246394694224
RXN_14387__mito	0.0	0.0	True	-0.8996807049463977
RXN_14486__er	0.0	0.0	True	0.28284876108199725
R03509__chlo	0.0	0.0	True	-0.7045326041556146
R12255__chlo	0.0	0.0	True	-0.49992498874831204
R04533__chlo	1.446298102635636e-211	2.1162682717777953e-211	True	-0.050189443171039586
R01771__chlo	0.0	0.0	True	0.31908582625659226
BMGR5829__lip	4.391952565512371e-51	5.2105465413379156e-51	True	-0.12870804800010643
R00236__mito	7.278418855575177e-66	9.011545540440211e-66	True	0.13379990976513456
TR2900003tm__mitmem	0.0	0.0	True	1.0
BMGR6993__er	0.0	0.0	True	1.0
R04746__pero	1.5404091351668781e-251	2.3239485878010157e-251	True	-0.06357504799200889
R10092__cytop	0.0	0.0	True	0.977926175010724
R04749__mito	1.5695776985128702e-278	2.392233319747903e-278	True	-0.29274514797708345
R04954__mito	0.0	0.0	True	-0.8996807049463977
BMGR0042__chlo	0.0	0.0	True	0.3489930285098682
BMGR1250__ermem	3.527297123823144e-28	3.8737417783142483e-28	True	-0.11292785445738016
R00494__cytop	1.1412253294374254e-87	1.474374441456224e-87	True	-0.11143209470651264
T_FA161COAtr__ermem	0.0	0.0	True	0.3534784977966907
R02569__chlo	0.0	0.0	True	0.825998122035545
RXN_16097__er	0.0	0.0	True	-0.6137023869561413
R00531__chlo	1.3502658545533624e-36	1.5191993831061206e-36	True	-0.0964288530053154
MGDGS_201_183__chlo	0.0	0.0	True	-1.0
R02313__cytop	0.0	0.0	True	1.0
T_IPDPtr__ermem	0.0	0.0	True	-0.7153409859164951
R00024__chlo	0.0	0.0	True	0.22240101356163958
R12658__mito	0.0	0.0	True	-1.0
BMGR0274__ermem	4.28078084174734e-56	5.165966182949153e-56	True	-0.123791508497591
R03200__er	0.0	0.0	True	-0.7033682534817151
T_ABCFACOA140th__chlomem	1.4376338548973336e-13	1.5024403438070977e-13	True	-0.060860359425819646
R00996__mito	0.0	0.0	True	1.0
R00161__chlo	2.773523165873862e-38	3.128880821501451e-38	True	-0.10651490119215117
EX_C00059__dra	0.0	0.0	True	-0.7064171821627561
BMGR5635__er	0.0	0.0	True	1.0
R03869__mito	0.0	0.0	True	1.0
TR0000243th__chlomem	0.0	0.0	True	0.9888872306215397
BMGR3355__er	0.0	0.0	True	0.40277527842760885
R09077__cytop	0.0	0.0	True	-0.9307205067300078
R10124__mito	0.0	0.0	True	-1.0
R04440__chlo	1.2861093164014709e-18	1.368420312651165e-18	True	-0.04954770402642026
BMGR6185__cytop	6.770900818906189e-51	8.025359460307664e-51	True	-0.1162348962540351
BMGR6383__er	0.0	0.0	True	-1.0
R00236__cytop	0.0	0.0	True	-0.4632716584186459
BMGR6968__lip	0.0	0.0	True	-0.25867578056510004
RXN_14387__chlo	0.0	0.0	True	-0.6500799746893291
R02999__cytop	0.0	0.0	True	-1.0
BMGR6271__chlo	0.0	0.0	True	-0.7260574183651107
BMGR4082__ermem	0.0	0.0	True	0.47112322916468047
R02199__chlo	5.351855570510697e-81	6.768838351691957e-81	True	-0.1542497054419377
T_SLC25A17__ATP_AMPtx__permem	1.0944310303141385e-183	1.5758559621674233e-183	True	-0.09492184542877113
T_H2Otu__chlomem	0.0	0.0	True	0.043523545165513766
R01324__mito	2.0987281682788422e-210	3.063827892108974e-210	True	0.22484804720861884
T_PE205181__ermem	0.0	0.0	True	-1.0
R01361__cytop	0.0	0.0	True	-1.0
BMGR6352__er	0.0	0.0	True	-1.0
T_FA183yth__chlomem	1.3773911375052783e-29	1.522601664250148e-29	True	-0.07179620004996631
PKS_C144__cytop	0.0	0.0	True	-0.4098371006440205
BMGR6406__cytop	0.0	0.0	True	-0.2586368129788719
R03004__cytop	8.743410263654057e-58	1.0602014268835798e-57	True	-0.09983292920121341
R00710__cytop	0.0	0.0	True	-0.7745691452789143
BMGR4825__chlomem	4.94385703236124e-07	5.070262467847749e-07	True	-0.03058847223532391
ETBCAROPSII__chlo	0.0	0.0	True	0.28087922734075216
BMGR3258__er	3.917354618969243e-106	5.279549398472148e-106	True	0.05138623031799942
T_INOSTtr__ermem	0.0	0.0	True	-0.8619802045108319
R00570__mito	6.926660787212929e-43	8.018173068844284e-43	True	0.09906850524907444
R08165__cytop	0.0	0.0	True	-0.49992498874831204
T_VALth__chlomem	7.412500752300525e-11	7.67679893486206e-11	True	0.20347437395164447
RXN1YI0_20__chlo	0.0	0.0	True	-0.03442628014109262
R03425__mito	0.0	0.0	True	0.7819225179989502
R03105__cytop	5.483907319894756e-239	8.243803567741849e-239	True	-0.31511596346731635
BMGR0457__chlo	0.0	0.0	True	-1.0
TR6900007tm__mitmem	0.0	0.0	True	-0.7558531778269073
BMGR6154__chlo	0.0	0.0	True	-0.7009609931433138
R04968__chlo	5.657748269038265e-228	8.405132202151497e-228	True	-0.05238894574687174
BMGR7093__chlo	0.0	0.0	True	-1.0
T_H2Otm__mitmem	0.0	0.0	True	0.13039952163645088
BMGR5636__er	0.0	0.0	True	-1.0
T_PC161183tg__golmem	9.307989615117201e-62	1.1412561745463933e-61	True	-0.17071713107572697
R07459__chlo	0.0	0.0	True	-1.0
BMGR6210__cytop	0.0	0.0	True	1.0
R09725__mito	0.0	0.0	True	-1.0
MGDGS_182_163__chlo	0.0	0.0	True	-1.0
R00945__cytop	0.0	0.0	True	-0.45351142152494944
R00274__chlo	6.873513406769612e-45	7.99326662628017e-45	True	0.058628666597405205
R09737__mito	0.0	0.0	True	-1.0
BMGR6148__ermem	1.6098607121739107e-41	1.844951482840577e-41	True	-0.09654121540660335
BMGR0192__er	5.293654522797713e-14	5.541451938322212e-14	True	-0.07058812385305234
BMGR6138__er	4.97817346324813e-42	5.746845290830528e-42	True	-0.10539530104107264
BMGR6271__er	0.0	0.0	True	-0.6919783460777291
R00569__cytop	2.8769245998385956e-136	3.97050161867402e-136	True	-0.19263146924334776
R02291__chlo	0.0	0.0	True	0.29391968654312856
