Reaction,Pvalue,Padj,Reject,FC,Padj_bootstrap
HEPACP__chlo,0.0,0.0,True,-0.7573787196875037,
R00287__chlo,0.0,0.0,True,-0.7046239018338635,
RXN_21315__cytop,0.0,0.0,True,-0.7745691452789143,
RXN_14381__mito,0.0,0.0,True,-0.8996807049463977,
R02301__mito,0.0,0.0,True,-1.0,
T_FALDtx__permem,0.0,0.0,True,-1.0,
BMGR6173__er,0.0,0.0,True,-1.0,
R00239__cytop,0.0,0.0,True,0.9931988486152877,
R07396__chlo,0.0,0.0,True,-1.0,
BMGR0546__er,0.0,0.0,True,-0.9702542960232967,
R08182__cytop,0.0,0.0,True,1.0,
BMGR6302__er,0.0,0.0,True,-1.0,
RXN_14389__mito,0.0,0.0,True,-0.8996807049463977,
BMGR6163__chlo,0.0,0.0,True,-0.6953058824246336,
BMGR6218__cytop,0.0,0.0,True,1.0,
R10092__chlo,0.0,0.0,True,1.0468830899374124,
BMGR6396__chlo,0.0,0.0,True,-0.7234115365603255,
BMGR4889__chlomem,0.0,0.0,True,0.7288154116428831,
R03663__cytop,0.0,0.0,True,-0.7025421156421607,
T_PQtu__chlomem,0.0,0.0,True,-0.701046337817638,
BMGR6278__chlo,0.0,0.0,True,-1.0,
R12401__er,0.0,0.0,True,-0.7084879561799093,
R00342__cytop,0.0,0.0,True,-1.0,
T_ACACtm__mitmem,0.0,0.0,True,1.011663999833031,
SQDGS_183_182__chlo,1.669865745518459e-104,2.2409722458444748e-104,True,-1.0,
R04958__chlo,0.0,0.0,True,-1.0,
R03270__chlo,0.0,0.0,True,0.8319325893865951,
BMGR3355__chlo,0.0,0.0,True,-1.0,
BMGR6059__er,1e-323,1.5e-323,True,1.0,
DGDGS_160_161__chlo,0.0,0.0,True,-0.6915246394694224,
RXN_14387__mito,0.0,0.0,True,-0.8996807049463977,
R03509__chlo,0.0,0.0,True,-0.7045326041556146,
TR2900003tm__mitmem,0.0,0.0,True,1.0,
BMGR6993__er,0.0,0.0,True,1.0,
R10092__cytop,0.0,0.0,True,0.977926175010724,
R04954__mito,0.0,0.0,True,-0.8996807049463977,
R02569__chlo,0.0,0.0,True,0.825998122035545,
MGDGS_201_183__chlo,0.0,0.0,True,-1.0,
R02313__cytop,0.0,0.0,True,1.0,
T_IPDPtr__ermem,0.0,0.0,True,-0.7153409859164951,
R12658__mito,0.0,0.0,True,-1.0,
R03200__er,0.0,0.0,True,-0.7033682534817151,
R00996__mito,0.0,0.0,True,1.0,
EX_C00059__dra,0.0,0.0,True,-0.7064171821627561,
BMGR5635__er,0.0,0.0,True,1.0,
R03869__mito,0.0,0.0,True,1.0,
TR0000243th__chlomem,0.0,0.0,True,0.9888872306215397,
R09077__cytop,0.0,0.0,True,-0.9307205067300078,
R10124__mito,0.0,0.0,True,-1.0,
BMGR6383__er,0.0,0.0,True,-1.0,
R02999__cytop,0.0,0.0,True,-1.0,
BMGR6271__chlo,0.0,0.0,True,-0.7260574183651107,
T_PE205181__ermem,0.0,0.0,True,-1.0,
R01361__cytop,0.0,0.0,True,-1.0,
BMGR6352__er,0.0,0.0,True,-1.0,
R00710__cytop,0.0,0.0,True,-0.7745691452789143,
T_INOSTtr__ermem,0.0,0.0,True,-0.8619802045108319,
