Reaction	Pvalue	Padj	Reject	FC
R01195__chlo	0.0	0.0	True	0.02507280985216288
R00357__mito	5.409049204108268e-12	5.620058735381759e-12	True	0.03371519956615745
R04957__cytop	9.1940963288919e-224	1.1513707788016001e-223	True	-0.05558312180802022
R04966__chlo	1e-323	1.5e-323	True	0.24219655876161783
BMGR3294__lip	1.368869072571013e-184	1.690000030805592e-184	True	-0.1931085385181984
EX_e_Biomass__dra	0.0	0.0	True	-0.6018556514349498
BMGR1230__ermem	1.0676733005603153e-09	1.1004240153014294e-09	True	-0.03622867903898549
T_Pitr__ermem	2.079900567563569e-205	2.5853744106766274e-205	True	-0.05636012933382118
TO3001162t__plas	5.1253317121443994e-30	5.659112466796445e-30	True	-0.07571070867885352
T_Sulfite__chlomem	0.0	0.0	True	-0.6031725910426795
ETBCAROPSI__chlo	3.5762268608403584e-206	4.4478812437786686e-206	True	0.015578563005923762
T_INOSTtr__ermem	0.0	0.0	True	-0.6067646314278621
R00066__chlo	0.0	0.0	True	-0.714465193307064
BMGR0611__chlo	0.0	0.0	True	-1.0
R08210__chlo	0.0	0.0	True	-0.16919452683486516
TI3000022t__plas	0.0	0.0	True	-0.47967474396270604
BMGR4785__ermem	1.6654672754661733e-52	1.9063839253763744e-52	True	-0.09615041299945822
R12170__er	0.0	0.0	True	-0.5122038933510681
TR0000020tm__mitmem	0.0	0.0	True	0.4291576666299442
RXN_11878__er	0.0	0.0	True	-0.5955323660778775
PKS_C184__cytop	1.083351520234478e-31	1.2010353909604568e-31	True	-0.06662121128033563
BMGR6375__er	0.0	0.0	True	-1.0
BMGR3125__er	0.0	0.0	True	-1.0
R00570__mito	1.680366247837351e-285	2.184476122188556e-285	True	-0.2829343688894272
BMGR3276__lip	0.0	0.0	True	0.9582359082240749
T_PC160161tg__golmem	3.0920160608991445e-13	3.2434981157558747e-13	True	-0.05681042397841987
DGHSS_170_205__er	0.0	0.0	True	-1.0
R01220__mito	0.0	0.0	True	0.48033992372330886
T_CTPtr__ermem	0.0	0.0	True	-0.6041380766388683
R06947__chlo	0.0	0.0	True	-0.9987115480022779
R01135__cytop	0.0	0.0	True	0.982468854942435
R02999__cytop	0.0	0.0	True	-1.0
MGDGS_161_140__chlo	0.0	0.0	True	-0.6046727678836156
R00702__er	0.0	0.0	True	-0.6016895003692672
BMGR0445__chlo	0.0	0.0	True	-0.6149502002258959
e_DGDG__chlo	0.0	0.0	True	-0.6030841829046887
R08163__cytop	1e-323	1.5e-323	True	-0.319589275007169
R03084__chlo	0.0	0.0	True	-0.6033721301494691
RXN0_7248__chlo	0.0	0.0	True	-0.21752466115600763
R01384__cytop	0.0	0.0	True	-0.6212910189165135
PKS_C123__cytop	0.0	0.0	True	-0.6360261534088059
T_PC161183tr__ermem	2.3417957249669973e-24	2.5182086968625907e-24	True	-2.013794767677611
R00158__cytop	1.1187982921854954e-39	1.2582159990386829e-39	True	-0.06425938837773444
T_ABCFA183yth__chlomem	0.0	0.0	True	1.0
T_PE160160tg__golmem	8.776318950499625e-22	9.391220278241636e-22	True	-0.07684923183483958
R04428__mito	0.0	0.0	True	1.0
BMGR7091__chlo	0.0	0.0	True	-1.0
BMGR6334__er	0.0	0.0	True	-0.47941069290436755
DGDGS_205_205__chlo	0.0	0.0	True	-0.6409335727109514
BMGR0036__er	0.0	0.0	True	-0.6560756082818735
R08772__mito	0.0	0.0	True	-1.0
BMGR5652__er	0.0	0.0	True	1.0
BMGR6002__nucl	0.0	0.0	True	-1.0
R01090__chlo	0.0	0.0	True	1.0
BMGR4803__ermem	0.0	0.0	True	0.980796424910805
BMGR0211__chlo	0.0	0.0	True	-1.0
R00996__chlo	0.0	0.0	True	-0.7668443128585756
R04559__cytop	0.0	0.0	True	-0.6007881582361682
R00188__cytop	2.622390435745755e-92	3.09751255363371e-92	True	-0.116435792689089
T_10FTHFtm__mitmem	0.0	0.0	True	0.48033992372330886
BMGR1545__er	0.0	0.0	True	-0.6853246357260994
BMGR5903__er	0.0	0.0	True	1.0
R00316__chlo	4.911394967593853e-49	5.604224978696434e-49	True	0.1269163649028055
R07484__er	0.0	0.0	True	-0.6102397804870443
MGDGS_162_163__chlo	0.0	0.0	True	-0.6008342564041153
R00192__cytop	0.0	0.0	True	-0.6026953149831542
BMGR4723__ermem	0.0	0.0	True	0.3661331956316948
BMGR0086__er	0.0	0.0	True	1.0
DGDGS_163_163__chlo	0.0	0.0	True	-1.0
RXN_14486__er	0.0	0.0	True	0.06074440497722763
R01138__mito	0.0069327102806515	0.006958198186095072	True	1.0
BMGR3355__chlo	0.0	0.0	True	-1.0
R00335__cytop	1.4091977843589386e-43	1.5930061910144523e-43	True	-0.12263927872642531
SQDGS_183_160__chlo	0.0	0.0	True	-0.679748923155754
R07263__pero	0.0	0.0	True	-1.0
R08705__cytop	0.0	0.0	True	-0.6300968036664804
T_DHNAth__chlomem	0.0	0.0	True	-0.3368700265251989
BMGR4873__chlomem	0.0	0.0	True	-0.6150181422700454
BMGR6159__er	0.0	0.0	True	0.23799105473780405
R11308__cytop	0.0	0.0	True	1.0
BMGR5558__ermem	1e-323	1.5e-323	True	0.3089191115028097
T_ABCFACOA204th__chlomem	0.0	0.0	True	-0.5919241795125533
R03458__chlo	0.0	0.0	True	-0.714465193307064
BMGR5942__er	0.0	0.0	True	1.0
MGDGS_205_160__chlo	0.0	0.0	True	-0.6007382712330108
R00722__mito	1e-323	1.5e-323	True	-0.2502905078232189
R00160__chlo	1.1383638313332442e-26	1.2418514523635392e-26	True	-0.07938888321488609
R01218__cytop	0.0	0.0	True	-0.434982436296727
RXN_14386__chlo	0.0	0.0	True	-0.6888961784484173
EX_C00244__dra	0.0	0.0	True	-0.6225877603714465
TI2903793tm__mitmem	1e-323	1.5e-323	True	0.16705662634495827
R00894__chlo	0.0	0.0	True	-0.5129435258018165
R01717__cytop	0.0	0.0	True	-0.3368700265251989
BMGR1335__er	0.0	0.0	True	-0.5885930568221558
R02094__mito	2.1458700492543286e-219	2.6826446408537226e-219	True	-0.22627984794132452
R00275__chlo	2.887112438050816e-41	3.2535880106826534e-41	True	0.08142443139099563
BMGR0119__er	0.0	0.0	True	-0.40532930902826797
R04725__chlo	0.0	0.0	True	-0.4913108575435782
DGTSS_205_205__er	0.0	0.0	True	-0.5931417256893706
BMGR3608__er	0.0	0.0	True	-0.6955506515150126
T_FA180th__chlomem	0.0	0.0	True	-0.34567239208441897
R02024__cytop	0.0	0.0	True	1.0
RXN_16380__pero	0.0	0.0	True	1.0
R05046__cytop	0.0	0.0	True	-0.619083896771736
BMGR0284__ermem	3.375297900126846e-08	3.4543817309639325e-08	True	-0.0034237827021752856
R04231__mito	0.0	0.0	True	-0.5995274423820107
BMGR6150__ermem	4.767929099263341e-184	5.883139634345274e-184	True	-0.06480111983538549
RXN_4221__er	0.0	0.0	True	-0.6082011338659186
BMGR4730__ermem	0.0	0.0	True	0.6588273649549139
BMGR1555__er	0.0	0.0	True	-0.4652109224575531
R03509__chlo	0.0	0.0	True	-0.6032103886734601
T_CMPth__chlomem	1.1633754714723069e-76	1.3579968090302076e-76	True	-0.21293878321945042
BMGR1554__er	0.0	0.0	True	-0.21745594573437738
BMGR6271__chlo	0.0	0.0	True	-0.6303916616358866
EX_C00080__dra	0.0	0.0	True	0.4694195952371179
DGHSS_204_205__er	0.0	0.0	True	-0.5870797245821762
R00578__cytop	1.666735726454748e-55	1.9128485688792273e-55	True	-0.1335251595316809
BMGR6389__er	0.0	0.0	True	-1.0
R12399__er	0.0	0.0	True	-0.6102397804870443
R00275__cytop	2.6159915072928845e-08	2.6810537080843077e-08	True	0.023243721584294764
T_PPCOAth__chlomem	0.0	0.0	True	0.2752364874078271
e_RNA__cytop	0.0	0.0	True	-0.5973194900722476
R00959__chlo	0.0	0.0	True	-0.6033218957813282
R01071__cytop	0.0	0.0	True	-0.6017817422617658
BMGR6265__chlo	0.0	0.0	True	-1.0
BMGR4743__ermem	0.0	0.0	True	0.697880002204917
MGDGS_183_161__chlo	0.0	0.0	True	-1.0
BMGR6103__er	0.0	0.0	True	-0.4290904250737949
BMGR5553__er	1.996291515373941e-63	2.3129446522953248e-63	True	-0.0917928645415138
R06982__cytop	1e-323	1.5e-323	True	0.21363435103920073
R06869__cytop	0.0	0.0	True	-0.6034393322941739
T_G3PShuttle__mitmem	0.0	0.0	True	1.0
T_SOXtu__chlomem	1.392878102579388e-255	1.7989626114922434e-255	True	-0.1587191800016895
R12377__er	0.0	0.0	True	-0.6102397804870443
T_PC162182tr__ermem	0.0	0.0	True	-0.3621635412680187
BMGR1534__er	0.0	0.0	True	-1.0
BMGR6685__chlo	0.0	0.0	True	-0.6744928256575935
R01056__chlo	0.0	0.0	True	-0.18788024057416428
BMGR5555__er	3.935728004769394e-46	4.4722320303935255e-46	True	-0.12341918976872937
T_FORtr__ermem	0.0	0.0	True	-0.6016895003692672
R00515__chlo	1.157619770243162e-47	1.3195415335130824e-47	True	-0.18625624035288954
BMGR4758__ermem	0.0	0.0	True	-1.0
RXN_11881__er	0.0	0.0	True	-0.5955323660778775
R01286__cytop	0.0	0.0	True	-0.6004515921491812
BMGR6388__er	0.0	0.0	True	-1.0
R01195__mito	0.0	0.0	True	-1.0
R01466__chlo	4.870096159e-314	6.4035460635e-314	True	-0.21209522047293694
MGDGS_182_160__chlo	0.0	0.0	True	-0.5879856619010341
BMGR4780__ermem	1.7886728303530644e-200	2.2183199667751802e-200	True	-0.24172219200435133
BMGR4062__ermem	1e-323	1.5e-323	True	0.28638039120173336
R04743__mito	0.0	0.0	True	-0.916938370499438
BMGR6157__er	0.0	0.0	True	0.2331830388223983
R05069__chlo	0.0	0.0	True	-0.7668443128585756
R04621__cytop	0.0	0.0	True	-0.619083896771736
T_H2Otn__nucmem	0.0	0.0	True	-1.0
BMGR6147__ermem	0.0	0.0	True	0.24685572563204328
BMGR0161__er	0.0	0.0	True	-0.8475629590316893
DGDGS_161_160__chlo	0.0	0.0	True	-0.5737697930652343
R03845_hn450__chlo	0.0	0.0	True	-0.6271674053339553
PHOA673__chlo	0.0	0.0	True	0.0015587675181951244
R07764__chlo	0.0	0.0	True	-0.40955187309591146
RXN_14389__mito	0.0	0.0	True	1.0
R00509__cytop	0.0	0.0	True	0.5960202464281154
R00408__chlo	1.2201987546301659e-95	1.4498988466334507e-95	True	-0.14970602066592048
R04969__cytop	0.0	0.0	True	0.2023590328675487
R12621__cytop	0.0	0.0	True	-0.5829017525078033
R01513__chlo	0.0	0.0	True	0.34716874737747455
R00945__mito	1.4554842841061212e-179	1.7938925939547228e-179	True	0.12460813968763287
BMGR5657__er	0.0	0.0	True	1.0
BMGR0069__er	0.0	0.0	True	1.0
T_FACOA205tr__ermem	0.0	0.0	True	-0.5984842330611133
R03276__mito	4.005607723764709e-77	4.68572430032251e-77	True	-0.05024173459167028
T_IPDPth__chlomem	0.0	0.0	True	-0.6165092756818943
R02291__chlo	5.8898576431463905e-238	7.465727854110108e-238	True	-0.1826192392619856
R02098__cytop	4.178088166110865e-09	4.296113255549025e-09	True	-0.033822963831646596
BMGR4759__ermem	0.0	0.0	True	-1.0104424176593092
R02731__cytop	8.491643077615723e-09	8.711013847587008e-09	True	-0.023788600158977956
R07459__cytop	0.0	0.0	True	-0.5850278031371898
R06447__er	0.0	0.0	True	-1.0
BMGR4872__chlomem	0.0	0.0	True	-0.47229551451187324
BMGR5900__er	0.0	0.0	True	1.0
RXN_14391__chlo	0.0	0.0	True	-0.6888961784484173
R00256__cytop	4.61876687561161e-32	5.144001456571013e-32	True	-0.09649344155630979
R12570__cytop	0.00016121649523459045	0.00016270648132733157	True	-0.02077932848988464
BMGR5929__chlo	0.0	0.0	True	-0.5728229992097223
R02739__cytop	0.0	0.0	True	2.777898751611891
BMGR3355__er	0.0	0.0	True	0.1972111553784859
R04957__mito	0.0	0.0	True	1.0
BMGR1557__er	0.0	0.0	True	1.0
TI2903796tm__mitmem	0.0	0.0	True	-1.1978951337269368
BMGR5638__er	0.0	0.0	True	1.0
T_ABCFACOA163th__chlomem	0.0	0.0	True	-0.6036940223747419
R00485__cytop	1.8189464709249053e-116	2.186339621629055e-116	True	-0.11559329676486767
R01086__cytop	0.0	0.0	True	-0.6025216661464999
DGTSS_160_204__er	0.0	0.0	True	-0.3353936131326221
R00548__chlo	0.0	0.0	True	1.0
R01776__mito	0.0	0.0	True	-0.6004515921491812
BMGR0157__chlo	0.0	0.0	True	-0.22439015945014798
SQDGS_140_160__chlo	0.0	0.0	True	-0.6516043619133889
T_FA160tr__ermem	0.0	0.0	True	0.25057476852762767
BMGR1180__ermem	6.6822517286412225e-28	7.33737444713546e-28	True	-0.11594670878193084
T_H2Stm__mitmem	0.0	0.0	True	-1.0
R04994__chlo	0.0	0.0	True	-0.3368700265251989
T_NADtr__ermem	0.0	0.0	True	-0.6054389085976022
R00425__chlo	0.0	0.0	True	-0.714465193307064
BMGR5742__er	0.0	0.0	True	1.0
R01061__chlo	5.549853125161596e-172	6.817142421458338e-172	True	-0.13418124021319888
BMGR6307__er	0.0	0.0	True	-0.6317843729287872
R03663__cytop	0.0	0.0	True	-0.6006951534374249
BMGR6387__er	0.0	0.0	True	-1.0
T_PC161160tg__golmem	9.973746915952199e-08	1.018833641928887e-07	True	-0.021979865549267962
T_PC161180tg__golmem	1.0676733005603153e-09	1.1004240153014294e-09	True	-0.03622867903898549
BMGR6309__er	0.0	0.0	True	-0.6317843729287872
BMGR1295__er	0.0	0.0	True	-0.5554271233912018
R07507__er	0.0	0.0	True	-0.5574608380882783
SQDGS_161_162__chlo	0.0	0.0	True	-1.0
R00878__cytop	0.0	0.0	True	1.0
e_DGTS__er	0.0	0.0	True	-0.607014953935318
SQDGS_204_182__chlo	0.0	0.0	True	-0.5737243701777568
R07059__cytop	0.0	0.0	True	-0.530981887511916
R00746__cytop	1e-323	1.5e-323	True	0.14419864588777084
BMGR4765__ermem	2.5850482130160186e-185	3.1951020357821075e-185	True	-0.1933550068287778
R04746__mito	0.0	0.0	True	-0.916938370499438
R00768__cytop	0.0	0.0	True	-0.621719361159657
BMGR4890__chlomem	0.0	0.0	True	-1.0
BMGR1036__er	0.0	0.0	True	-0.5780679732495093
BMGR3419__er	0.0	0.0	True	-1.0
R00571__mito	0.0	0.0	True	-0.6766889147861709
R04952__cytop	0.0	0.0	True	-0.3506108338955805
e_PG__chlo	0.0	0.0	True	-0.6039718576309294
R04956__chlo	0.0	0.0	True	-0.20149712291258653
R00217__cytop	4.732707608876252e-14	4.9813173097762574e-14	True	-0.07172353413294172
BMGR4922__chlomem	0.0	0.0	True	-0.6197096863745781
R04544__cytop	9.1940963288919e-224	1.1513707788016001e-223	True	-0.05558312180802022
RXN_12777__er	0.0	0.0	True	-0.5785455210460544
T_PE203205__ermem	0.0	0.0	True	-1.0
