Reaction,Pvalue,Padj,Reject,FC,Padj_bootstrap
TI3000022t__plas,0.0,0.0,True,-0.9064313462060977,
PKS_C184__cytop,0.0,0.0,True,0.7207756992277322,
BMGR3276__lip,0.0,0.0,True,0.945997631146175,
R01135__cytop,0.0,0.0,True,0.9695204541824876,
RXN0_7248__chlo,0.0,0.0,True,0.7921547210377007,
R04428__mito,0.0,0.0,True,1.0,
R01090__chlo,0.0,0.0,True,1.0,
BMGR0101__chlo,0.0,0.0,True,1.0,
R01138__mito,0.0,0.0,True,1.0,
R02024__cytop,0.0,0.0,True,1.0,
RXN_16380__pero,0.0,0.0,True,1.0,
R01456__er,0.0,0.0,True,1.0,
EX_C00080__dra,0.0,0.0,True,2.4314104916343076,
BMGR0049__er,0.0,0.0,True,1.0,
BMGR1534__er,0.0,0.0,True,-0.895001496157155,
R01195__mito,0.0,0.0,True,-1.0,
BMGR4780__ermem,0.0,0.0,True,1.3169831310237519,
R04743__mito,0.0,0.0,True,0.7006627173506691,
BMGR0161__er,0.0,0.0,True,-0.7652651899896455,
RXN_14389__mito,0.0,0.0,True,1.0,
BMGR4872__chlomem,0.0,0.0,True,-1.382406626112561,
R02739__cytop,0.0,0.0,True,-0.8054016700519977,
R04957__mito,0.0,0.0,True,1.0,
TI2903796tm__mitmem,0.0,0.0,True,-1.2545491315580268,
R00548__chlo,0.0,0.0,True,1.0,
R04746__mito,0.0,0.0,True,0.7006627173506691,
BMGR4890__chlomem,0.0,0.0,True,-1.012258048991373,
R00351__pero,0.0,0.0,True,1.0,
BMGR3419__er,0.0,0.0,True,0.999235516494596,
BMGR4922__chlomem,0.0,0.0,True,-1.4613113633359296,
TZ3100001t__plas,0.0,0.0,True,1.0,
BMGR0632__er,0.0,0.0,True,0.6900456312320433,
BMGR0061__er,0.0,0.0,True,-1.0,
R04958__mito,0.0,0.0,True,1.0,
R00014__cytop,0.0,0.0,True,1.0,
BMGR6498__er,0.0,0.0,True,1.0,
BMGR4826__ermem,0.0,0.0,True,-1.0129211214272704,
BMGR0411__er,0.0,0.0,True,1.0,
BMGR0186__chlo,0.0,0.0,True,1.0,
RXN_14390__mito,0.0,0.0,True,1.0,
FACOAL203y__er,0.0,0.0,True,1.0,
SQDGS_201_182__chlo,0.0,0.0,True,0.9009599847923202,
BMGR2886__er,0.0,0.0,True,1.0,
R00926__mito,0.0,0.0,True,0.9485232360200715,
BMGR0396__er,0.0,0.0,True,1.0,
BMGR4901__chlomem,0.0,0.0,True,-1.0,
R02018__cytop,0.0,0.0,True,1.0,
R02020__cytop,0.0,0.0,True,-1.0,
R01325__mito,0.0,0.0,True,0.7277340803450646,
R04738__mito,0.0,0.0,True,0.7006627173506691,
BMGR0054__er,0.0,0.0,True,1.0,
RXN_14381__mito,0.0,0.0,True,1.0,
BMGR3367__chlo,0.0,0.0,True,0.9009599847923202,
BMGR0056__er,0.0,0.0,True,1.0,
T_COAtm__mitmem,0.0,0.0,True,0.8569918341126718,
BMGR4911__chlomem,0.0,0.0,True,-1.0,
R10507__mito,0.0,0.0,True,0.679626554212632,
R04953__mito,0.0,0.0,True,1.0,
T_Htx__permem,0.0,0.0,True,0.9971947530905769,
BMGR0170__chlo,0.0,0.0,True,0.9796847156150748,
R04751__mito,0.0,0.0,True,0.7006627173506691,
BMGR4748__ermem,0.0,0.0,True,-1.0,
R08174__mito,0.0,0.0,True,1.0,
R00238__pero,0.0,0.0,True,-1.0,
BMGR0167__chlo,0.0,0.0,True,1.0,
BMGR3283__lip,0.0,0.0,True,1.0,
R10707__mito,0.0,0.0,True,1.0,
R04780__cytop,0.0,0.0,True,0.7949019458222908,
PKS_C163__cytop,0.0,0.0,True,0.7207756992277322,
R01015__cytop,0.0,0.0,True,1.6433379956237903,
DM_C00404__vacu,0.0,0.0,True,-1.0,
T_CoA_ADP__mitmem,0.0,0.0,True,-1.0,
T_PE161161tr__ermem,0.0,0.0,True,2.2482458582712095,
T_RIBFLVth__chlomem,0.0,0.0,True,-1.0013712180078067,
R00221__mito,0.0,0.0,True,1.0,
T_PC160182tr__ermem,0.0,0.0,True,3.263402540869138,
R05336__mito,0.0,0.0,True,1.0,
T_FA161COAtr__ermem,0.0,0.0,True,1.0,
R01512__cytop,0.0,0.0,True,-0.9061700815192888,
BMGR0912__chlo,0.0,0.0,True,1.0,
BMGR6280__er,0.0,0.0,True,-1.0,
R00160__mito,0.0,0.0,True,0.999121813810695,
TR2000138tm__mitmem,0.0,0.0,True,1.0,
BMGR0161__chlo,0.0,0.0,True,0.886836631169387,
R00713__mito,0.0,0.0,True,1.0,
BMGR0158__chlo,0.0,0.0,True,1.0,
BMGR0169__er,0.0,0.0,True,1.0,
BMGR0045__chlo,0.0,0.0,True,1.0,
R04537__mito,0.0,0.0,True,1.0,
R08182__cytop,0.0,0.0,True,1.0,
DGHSS_160_182__er,0.0,0.0,True,1.0,
BMGR4770__ermem,0.0,0.0,True,1.3961724703252156,
TO0000063t__plas,0.0,0.0,True,1.0,
R04779__cytop,0.0,0.0,True,1.0,
T_ACtm__mitmem,0.0,0.0,True,-1.755842255028064,
R08183__cytop,0.0,0.0,True,1.0,
R06286_hn646__chlo,0.0,0.0,True,-0.7468059477076135,
T_AKGCITtm__mitmem,0.0,0.0,True,1.0,
BMGR0040__er,0.0,0.0,True,1.0,
ETANTHPSII__chlo,0.0,0.0,True,-0.6899620946230622,
R00589__cytop,0.0,0.0,True,1.0,
R00945__cytop,0.0,0.0,True,1.4890120558770998,
R01457__er,0.0,0.0,True,1.0,
R03857__mito,0.0,0.0,True,0.7006627173506691,
BMGR3142__er,0.0,0.0,True,1.0,
BMGR6279__chlo,0.0,0.0,True,1.0,
T_FA181COAtr__ermem,0.0,0.0,True,1.0,
R01137__mito,0.0,0.0,True,1.0,
T_3hbcoa__Rtx__permem,0.0,0.0,True,1.0,
BMGR6676__er,0.0,0.0,True,1.0,
rxn28968__chlo,0.0,0.0,True,0.8308187079310132,
BMGR0032__chlo,0.0,0.0,True,1.0,
FACOAL203__er,0.0,0.0,True,1.0,
TI2903797tm__mitmem,0.0,0.0,True,0.909527407758177,
T_LEUth__chlomem,0.0,0.0,True,1.0,
TZ2900003t__plas,0.0,0.0,True,1.0,
R01900__mito,0.0,0.0,True,0.7277340803450646,
R00238__mito,0.0,0.0,True,1.0459422920711021,
RXN_14388__mito,0.0,0.0,True,1.0,
R03778__mito,0.0,0.0,True,0.7006627173506691,
R01057__cytop,0.0,0.0,True,-0.8728726848849397,
T_PC161162tr__ermem,0.0,0.0,True,0.9245573518090839,
R00769__cytop,0.0,0.0,True,1.0,
BMGR0909__chlo,0.0,0.0,True,1.0,
T_ABCFACOA183th__chlomem,0.0,0.0,True,0.984790463693226,
R04170__mito,0.0,0.0,True,0.7006627173506691,
R00755__cytop,0.0,0.0,True,1.0,
BMGR6668__er,0.0,0.0,True,1.0,
R08179__cytop,0.0,0.0,True,1.0,
R10179__mito,0.0,0.0,True,2.3665372659147152,
BMGR5604__lip,0.0,0.0,True,0.9693293784072571,
R04739__mito,0.0,0.0,True,0.7006627173506691,
FACOAL183y__er,0.0,0.0,True,0.9904590372266697,
R04748__mito,0.0,0.0,True,0.7006627173506691,
BMGR0185__er,0.0,0.0,True,1.0,
BMGR0158__er,0.0,0.0,True,1.0,
R00181__cytop,0.0,0.0,True,1.0,
R04742__mito,0.0,0.0,True,0.7006627173506691,
BMGR0184__er,0.0,0.0,True,1.0,
FACOAL203y__cytop,0.0,0.0,True,1.0,
R02023__cytop,0.0,0.0,True,-1.0,
R01061__cytop,0.0,0.0,True,-0.9061700815192888,
R04533__mito,0.0,0.0,True,1.0,
R04744__mito,0.0,0.0,True,0.7006627173506691,
BMGR0175__er,0.0,0.0,True,1.0,
R02740__cytop,0.0,0.0,True,-0.8082513256476921,
T_LIPOtm__mitmem,0.0,0.0,True,-1.0,
T_CoA_AMP__mitmem,0.0,0.0,True,-1.0,
T_COAtr__ermem,0.0,0.0,True,-20.876150783131358,
MGDGS_201_183__chlo,0.0,0.0,True,0.9954105557218397,
BMGR0031__er,0.0,0.0,True,1.0,
R04429__mito,0.0,0.0,True,1.0,
BMGR4894__chlomem,0.0,0.0,True,-1.0456443655558134,
R04956__mito,0.0,0.0,True,1.0,
R00842__cytop,0.0,0.0,True,0.9767936464823044,
R08174__pero,0.0,0.0,True,1.0,
BMGR0165__er,0.0,0.0,True,1.0,
R04754__mito,0.0,0.0,True,0.7006627173506691,
TE_2__cytop,0.0,0.0,True,0.7207756992277322,
BMGR4882__chlomem,0.0,0.0,True,-1.1180445285313694,
R04959__mito,0.0,0.0,True,1.0,
BMGR0194__chlo,0.0,0.0,True,1.0,
BMGR0185__chlo,0.0,0.0,True,1.0,
BMGR4772__ermem,0.0,0.0,True,0.8372990863051569,
R00221__chlo,0.0,0.0,True,1.0,
RXN_16380__cytop,0.0,0.0,True,0.88692000345146,
R04737__mito,0.0,0.0,True,0.7006627173506691,
RXN_14386__mito,0.0,0.0,True,1.0,
T_PC160181tr__ermem,0.0,0.0,True,3.7702365849218924,
TZ3100029t__plas,0.0,0.0,True,1.0,
R04952__mito,0.0,0.0,True,1.0,
R02326__cytop,0.0,0.0,True,1.0,
BMGR5523__er,0.0,0.0,True,0.9988383054157547,
R01324__mito,0.0,0.0,True,0.7255398183649043,
BMGR4887__chlomem,0.0,0.0,True,-1.1626611045999584,
R07460__mito,0.0,0.0,True,1.0,
BMGR2886__chlo,0.0,0.0,True,1.0,
FACOAL162__cytop,0.0,0.0,True,0.9505371534670797,
BMGR0038__er,0.0,0.0,True,1.0,
R01857__cytop,0.0,0.0,True,1.0,
BMGR0039__er,0.0,0.0,True,1.0,
