Pathways,ListReactions,SetSize,P-value,P-value_adj,Reject
Glycolysis / Gluconeogenesis,9,55,0.016747110469729154,0.04819066482105736,True
Terpenoid backbone biosynthesis,14,30,0.013863816737304142,0.04112633997097975,True
Metacyc: [2Fe-2S] iron-sulfur cluster biosynthesis,13,27,0.013104732647930368,0.04106149563018182,True
Folate biosynthesis,17,38,0.011831612211845277,0.037914939133413275,True
Glycerophospholipid metabolism,14,29,0.010238327780835665,0.03357219109529835,True
O-Antigen nucleotide sugar biosynthesis,8,13,0.009226196714916332,0.030973660400076257,True
Pyrimidine metabolism,15,85,0.007460521774356406,0.025656916345957397,True
Riboflavin metabolism,9,15,0.007233554053323947,0.025498278037966914,True
Ubiquinone and other terpenoid-quinone biosynthesis,19,41,0.005707769735570897,0.02117882980830254,True
Pentose phosphate pathway,3,34,0.004710396559155588,0.017950430130836158,True
Purine metabolism,43,108,0.0032042256823396355,0.012908452034568247,True
BOIMMG (DGDG),15,28,0.002646985151279597,0.01146485767622238,True
Pyruvate metabolism,7,56,0.0027645756098692263,0.01146485767622238,True
BOIMMG (SQDG),13,23,0.0027412799430696637,0.01146485767622238,True
"Glycine, serine and threonine metabolism",7,58,0.001822882076933924,0.008862978374058044,True
BOIMMG (PA),66,172,0.0017508973853809083,0.008817018976382431,True
Biosynthesis of unsaturated fatty acids,7,60,0.0011894328429765649,0.006450385802295987,True
BOIMMG (DGTS),28,60,0.0010159272650134851,0.005729829774676056,True
Aminoacyl-tRNA biosynthesis,21,39,0.0004177740713031397,0.0026211602200230904,True
"Valine, leucine and isoleucine degradation",4,49,0.00042756514227327007,0.0026211602200230904,True
BOIMMG (PG),39,86,0.0003063616694846255,0.0020569997808253426,True
Porphyrin and chlorophyll metabolism,23,42,0.00016968095564068973,0.001259211302386171,True
Steroid biosynthesis,34,60,2.3177256117200963e-06,2.51384085578872e-05,True
Fatty acid biosynthesis,21,166,1.9372436445259969e-07,2.4831941261651412e-06,True
Biotin metabolism,15,15,4.684055694309687e-09,8.363717728546216e-08,True
BOIMMG (PE),36,53,1.4786044564865547e-09,3.474720472743404e-08,True
BOIMMG (TAG),106,217,2.4614269690015215e-10,6.94122405258429e-09,True
BOIMMG (PI),86,166,1.6160284310728016e-10,5.696500219531626e-09,True
BOIMMG (MGDG),29,36,6.979108576011005e-11,3.2801810307251727e-09,True
Fatty acid metabolism,21,216,5.927421880036033e-13,4.178832425425403e-11,True
