Reaction	Pvalue	Padj	Reject	FC
R01195__chlo	0.0	0.0	True	0.005085171043036529
R00357__mito	1.2745528834914456e-07	1.439205638822361e-07	True	-0.021657915651963774
BMGR6213__cytop	1.9567714141031812e-10	2.3210854961662478e-10	True	-0.0596111999627295
R04957__cytop	7.7722886348539816e-205	1.7327489514872755e-204	True	-0.09360451854749412
R04966__chlo	1e-323	2.5e-323	True	-0.14113224506353422
BMGR3294__lip	7.009623877275314e-71	1.2231644343364775e-70	True	-0.14327365671329648
EX_e_Biomass__dra	0.0	0.0	True	7.254414425882987e-06
R04439__chlo	1.6842344649918124e-59	2.874226316149718e-59	True	-0.013655076842467148
BMGR1230__ermem	1.4969703202135986e-15	1.9066254589304253e-15	True	-0.055099271171057965
T_Pitr__ermem	3.506281702057064e-41	5.597165723718041e-41	True	0.021070880479577503
TO3001162t__plas	6.094375172737131e-25	8.775777810264869e-25	True	-0.07497786336930265
T_Sulfite__chlomem	4.99659201396918e-22	6.920400629975672e-22	True	0.08077854633808337
ETBCAROPSI__chlo	0.0	0.0	True	0.029248164402638163
T_INOSTtr__ermem	0.0	0.0	True	-0.24086142808088898
R00066__chlo	3.9720207266406064e-49	6.499876383149897e-49	True	0.004999874375015837
BMGR0611__chlo	0.9999999999999998	1.0	False	0.0012515644555695597
R08210__chlo	0.0	0.0	True	0.603034176669291
TI3000022t__plas	0.0	0.0	True	-0.7885512968662608
BMGR6202__nucl	1.3300435004447138e-15	1.6962787881561363e-15	True	-0.052021721808939526
R12170__er	0.0	0.0	True	0.007826207470655407
BMGR4785__ermem	1e-323	2.5e-323	True	0.278085335825215
TR0000020tm__mitmem	0.05012122567386552	0.052196714132572625	False	0.016243222692159696
BMGR6026__cytop	3.4056831292405253e-15	4.30895566263574e-15	True	-0.03673562266858523
RXN_11878__er	0.0	0.0	True	0.005753180014868973
PKS_C184__cytop	0.0	0.0	True	0.2257015093681188
BMGR6375__er	1e-323	2.5e-323	True	0.04975855553222752
BMGR3125__er	0.9999999999999998	1.0	False	0.0012515644555695597
R00570__mito	2.290948558382432e-51	3.796618217851117e-51	True	-0.11010496414776466
BMGR3276__lip	0.0	0.0	True	0.7744776243432525
T_PC160161tg__golmem	3.527297123823144e-28	5.202037476337939e-28	True	-0.09638174413363895
DGHSS_170_205__er	0.9999999999999998	1.0	False	0.0012515644555695597
BMGR6229__cytop	3.712630915102377e-11	4.455467908580374e-11	True	-0.03958136685030629
R01220__mito	4.236435032129471e-111	8.059627894568808e-111	True	-0.20520449929266493
BMGR6206__nucl	3.6730768441242556e-08	4.177196077788275e-08	True	-0.04931263761492515
T_CTPtr__ermem	2.0987281682788422e-210	4.75280699720019e-210	True	0.09450366592949935
R06947__chlo	1.1814935135653617e-15	1.5095106521354242e-15	True	0.055246855183339195
R01135__cytop	0.0	0.0	True	0.9964398194840033
R02999__cytop	0.9999999472370762	1.0	False	0.0018032458425166137
BMGR6188__cytop	9.921022788592234e-19	1.3131843183238197e-18	True	0.07857487786911213
MGDGS_161_140__chlo	0.0	0.0	True	-0.044497740237155456
R00702__er	0.0	0.0	True	0.0005260578413496626
BMGR0445__chlo	1e-323	2.5e-323	True	0.010058999328607819
e_DGDG__chlo	0.0	0.0	True	-0.0015451781739164144
R08163__cytop	0.38574770611965037	0.39839289389230464	False	-0.0005049356689186145
R03084__chlo	3.4527100661515062e-118	6.630220870499911e-118	True	-0.08422627382491982
BMGR6194__nucl	7.131543412158206e-30	1.0643485144538042e-29	True	-0.03312307719548559
RXN0_7248__chlo	9.733848364570182e-29	1.4429650083362313e-28	True	-0.026231721860644628
