Reaction,Pvalue,Padj,Reject,FC,Padj_bootstrap
R00066__chlo,0.0,0.0,True,-0.6749869994799791,
BMGR0611__chlo,0.0,0.0,True,-1.0,
BMGR6375__er,0.0,0.0,True,-1.0,
BMGR3125__er,0.0,0.0,True,-1.0,
DGHSS_170_205__er,0.0,0.0,True,-1.0,
R06947__chlo,0.0,0.0,True,-0.9984161846291592,
R01135__cytop,0.0,0.0,True,0.9862410035179565,
R02999__cytop,0.0,0.0,True,-1.0,
T_PC161183tr__ermem,1.4978274993369265e-24,1.7320992071040543e-24,True,-1.5823318843577625,
T_ABCFA183yth__chlomem,0.0,0.0,True,1.0,
R04428__mito,0.0,0.0,True,1.0,
BMGR7091__chlo,0.0,0.0,True,-1.0,
BMGR0036__er,0.0,0.0,True,-0.6886118599870611,
R08772__mito,0.0,0.0,True,-1.0,
BMGR6002__nucl,0.0,0.0,True,-1.0,
R01090__chlo,0.0,0.0,True,1.0,
BMGR0211__chlo,0.0,0.0,True,-1.0,
R00996__chlo,0.0,0.0,True,0.7208583337361016,
BMGR1545__er,0.0,0.0,True,-0.7690857777460799,
BMGR0101__chlo,0.0,0.0,True,1.0,
DGDGS_163_163__chlo,0.0,0.0,True,-1.0,
R01138__mito,0.0,0.0,True,-1.0,
BMGR3355__chlo,0.0,0.0,True,-1.0,
BMGR1283__er,0.0,0.0,True,-1.0,
R07263__pero,0.0,0.0,True,-1.0,
BMGR4873__chlomem,0.0,0.0,True,-1.0134647094294296,
R11308__cytop,0.0,0.0,True,1.0,
R03458__chlo,0.0,0.0,True,-0.6749869994799791,
BMGR0119__er,0.0,0.0,True,1.0,
FACOAL183y__chlo,0.0,0.0,True,1.0,
BMGR6389__er,0.0,0.0,True,-1.0,
BMGR6265__chlo,4.695033861901312e-06,4.99582990319304e-06,True,-1.0,
BMGR0049__er,0.0,0.0,True,1.0,
MGDGS_183_161__chlo,0.0,0.0,True,-0.7602312765380794,
T_G3PShuttle__mitmem,0.0,0.0,True,1.0,
BMGR1534__er,0.0,0.0,True,-1.0,
BMGR6388__er,0.0,0.0,True,-1.0,
BMGR5950__er,0.0,0.0,True,-1.0,
R01195__mito,0.0,0.0,True,-1.0,
BMGR4780__ermem,0.0,0.0,True,-0.6787279169017999,
R04743__mito,0.0,0.0,True,-0.9889692863754553,
R05069__chlo,0.0,0.0,True,0.7208583337361016,
T_H2Otn__nucmem,0.0,0.0,True,-1.0,
BMGR0161__er,0.0,0.0,True,-0.7291106072849084,
RXN_14389__mito,0.0,0.0,True,1.0,
BMGR5657__er,0.0,0.0,True,1.0,
R06447__er,0.0,0.0,True,-1.0,
BMGR4872__chlomem,0.0,0.0,True,-2.726746543778802,
R04957__mito,0.0,0.0,True,1.0,
TI2903796tm__mitmem,0.0,0.0,True,0.8158901836096504,
BMGR5638__er,0.0,0.0,True,1.0,
R01776__mito,0.0,0.0,True,0.9551969922247714,
BMGR0157__chlo,0.0,0.0,True,0.9940026551102015,
